test.spp
Actiniaria
Actinostolidae
Anthoptilum grandiflorum
Antimora microlepis
Antiplanes sp.
Aphrodita sp.
Aphroditidae
Argentina sialis
Armina californica
Asterias amurensis
Asterina miniata
Asteronyx loveni
Astropecten californicus
Aurelia sp.
Bathyagonus pentacanthus
Bathymasteridae
Benthopectinidae
Brachiopoda
Calinaticina oldroyi
Cancer productus
Careproctus abbreviatus
Chiroteuthis sp.
Chrysaora sp.
Dasycottus setiger
Embiotocidae
Florometra serratissima
Gastropoda
Gephyreaster swifti
Gersemia sp.
Hemilepidotus spinosus
Henricia aspera
Hexagrammos decagrammus
Hexanchus griseus
Histioteuthis heteropsis
Histioteuthis sp.
Jordania zonope
Leptychaster sp.
Liparis pulchellus
Lithodidae
Lycodapus fierasfer
Lycodapus mandibularis
Lycodes pacificus
Malacocottus zonurus
Melanostomiinae
Metridium farcimen (=Metridium giganteum)
Mollusca
Mya sp.
Mytilidae
Nemichthys scolopaceus
Nudibranchia
Octocorallia
Octopus rubescens
Oncorhynchus gorbuscha
Ophidion scrippsae
Ophiomusium jolliensis
Ophiopholis longispina
Ophiopholis sp.
Opisthoteuthis californiana
Paguridae
Pagurus aleuticus
Pagurus sp.
Pandalus goniurus
Pandalus stenolepis
Pannychia moseleyi
Parastichopus californicus
Parastichopus sp.
Pennatulacea
Pentamera sp.
Peprilus simillimus
Photonectes margarita
Platichthys stellatus
Platyhelminthes
Pleuronectiformes larvae
Pleuronichthys ritteri
Polynoidae
Psettichthys melanostictus
Pseudarchaster dissonus
Pteraster militaris
Raja inornata
Rhabdocalyptus sp.
Sebastes auriculatus
Sebastes carnatus
Sebastes dalli
Sebastes emphaeus
Sebastes eos
Sebastes hopkinsi
Sebastes phillipsi
Sebastes rosaceus
Sebastes variegatus
Solaster sp.
Somniosus pacificus
Stomphia coccinea
Tarletonbeania crenularis
Tethya sp.
Thaliacea
Trachipterus altivelis
Trichodon trichodon
Xeneretmus latifrons
Zaniolepis latipinnis
