test.spp
ACANTHOSTRACION QUADRICORNIS
APOGON QUADRISQUAMATUS
ASTROPECTEN CINGULATUS
ASTROPECTEN DUPLICATUS
CALAMUS PRORIDENS
CRYPTOTOMUS ROSEUS
DISTORSIO CLATHRATA
ECHENEIS
EPINEPHELUS MORIO
EUCINOSTOMUS
HALIEUTICHTHYS
ILIACANTHA SUBGLOBOSA
ISOSTICHOPUS BADIONOTUS
LACHNOLAIMUS MAXIMUS
LYTECHINUS VARIEGATUS
MEOMA VENTRICOSA
MESOPENAEUS TROPICALIS
MITHRAX HISPIDUS
NARCISSIA TRIGONARIA
NICHOLSINA USTA
OCYURUS CHRYSURUS
OGCOCEPHALUS CUBIFRONS
OPHIDION ANTIPHOLUS
OPHIODERMA BREVISPINUM
OPHIOLEPIS ELEGANS
OPHIOTHRIX
OREASTER RETICULATUS
PALICUS ALTERNATA
PARABLENNIUS MARMOREUS
POLYSTIRA ALBIDA
POMACANTHUS ARCUATUS
PORIFERBALL
PORIFERBARREL
PORIFERENCOTH
PORIFERFINBRA
PORIFERVASTUB
PTEROIS
PTEROIS VOLITANS
RHYNCHOCONGER FLAVUS
SAURIDA NORMANI
SCUTELLIDAE
SICYONIA BURKENROADI
SQUILLA RUGOSA
STEPHANOLEPIS HISPIDA
SYNODUS MACROSTIGMUS
TETHYASTER
TETHYASTER GRANDIS
