test.spp,region
Actinostolidae,Eastern Bering Sea
Alcyonidium pedunculatum,Eastern Bering Sea
Aplidium sp.,Eastern Bering Sea
Aplidium sp. A (Clark 2006),Eastern Bering Sea
Chesnonia verrucosa,Eastern Bering Sea
Chrysaora melanaster,Eastern Bering Sea
Leptychaster anomalus,Eastern Bering Sea
Liponema brevicorne,Eastern Bering Sea
Suberites montalbidus,Eastern Bering Sea
Triglops sp.,Eastern Bering Sea
