test.spp,region
Abietinaria greenei,Aleutian Islands
Abietinaria sp.,Aleutian Islands
Actinostola sp. B (Clark 2006),Aleutian Islands
Aequorea sp.,Aleutian Islands
Aglaophenia sp.,Aleutian Islands
Alaskagorgia aleutiana,Aleutian Islands
Alcyonidium disciforme,Aleutian Islands
Alcyonidium pedunculatum,Aleutian Islands
Alcyonidium sp.,Aleutian Islands
Alcyonidium sp. A,Aleutian Islands
Alcyonium sp. A (Clark 2006),Aleutian Islands
Amaroucium soldatovi,Aleutian Islands
Ammodytes personatus,Aleutian Islands
Anarrhichthys ocellatus,Aleutian Islands
Aphrodita negligens,Aleutian Islands
Aplidium sp.,Aleutian Islands
Arthrogorgia otsukai,Aleutian Islands
Asbestopluma sp. A (Clark 2006),Aleutian Islands
Ascidia paratropa,Aleutian Islands
Astarte elliptica,Aleutian Islands
Axinella sp.,Aleutian Islands
Bathyraja panthera,Aleutian Islands
Bugula pacifica,Aleutian Islands
Calcigorgia beringi,Aleutian Islands
Careproctus scottae,Aleutian Islands
Ceramaster stellatus,Aleutian Islands
Chaetopterus sp.,Aleutian Islands
Cheiraster sp.,Aleutian Islands
Chondrocladia gigantea,Aleutian Islands
Cladocroce kiska,Aleutian Islands
Clavularia incrustans,Aleutian Islands
Craniella arb,Aleutian Islands
Craniella sigmoancoratum,Aleutian Islands
Craniella spinosa,Aleutian Islands
Craniella sputnika,Aleutian Islands
Craniella villosa,Aleutian Islands
Crella brunnea,Aleutian Islands
Cryogorgia koolsae,Aleutian Islands
Cucumaria frondosa,Aleutian Islands
Dendrobeania sp.,Aleutian Islands
Distaplia occidentalis,Aleutian Islands
Distaplia smithi,Aleutian Islands
Distaplia sp.,Aleutian Islands
Elassochirus gilli,Aleutian Islands
Errinopora dichotoma,Aleutian Islands
Errinopora fisheri,Aleutian Islands
Farrea sp.,Aleutian Islands
Geodia mesotriaena,Aleutian Islands
Geodia sp.,Aleutian Islands
Geodinella lendenfeldi,Aleutian Islands
Geodinella sp.,Aleutian Islands
Gorgonocephalus sp.,Aleutian Islands
Halichondria oblonga,Aleutian Islands
Halichondria sitiens,Aleutian Islands
Haliclona digitata,Aleutian Islands
Haliclona sp. 2 (Stone et al. 2011),Aleutian Islands
Halipteris willemoesi,Aleutian Islands
Henricia dyscrita,Aleutian Islands
Henricia sp. E (Clark 2006),Aleutian Islands
Hymeniacidon assimilis,Aleutian Islands
Inflatella globosa,Aleutian Islands
Isodictya palmata,Aleutian Islands
Japelion sp. A,Aleutian Islands
Latrunculia oparinae,Aleutian Islands
Latrunculia sp.,Aleutian Islands
Latrunculia sp. B (Clark 2006),Aleutian Islands
Lebbeus washingtonianus,Aleutian Islands
Leptasterias katharinae,Aleutian Islands
Leptasterias truculenta,Aleutian Islands
Leucandra tuba,Aleutian Islands
Malacocottus kincaidi,Aleutian Islands
Monanchora alaskensis,Aleutian Islands
Mycale tylota,Aleutian Islands
Myxilla lacunosa,Aleutian Islands
Odontohenricia ahearnae,Aleutian Islands
Odontohenricia sp. B (Clark),Aleutian Islands
Ophiolebes sp. F (Clark 2006),Aleutian Islands
Ophiura luetkenii,Aleutian Islands
Ophiura sp.,Aleutian Islands
Pandalopsis longirostris,Aleutian Islands
Pandalopsis sp. cf. lamelligera,Aleutian Islands
Phorbas paucistylifer,Aleutian Islands
Plakina tanaga,Aleutian Islands
Plumarella aleutiana,Aleutian Islands
Plumarella superba,Aleutian Islands
Polymastia fluegeli,Aleutian Islands
Polymastia pacifica,Aleutian Islands
Polymastia sp.,Aleutian Islands
Polymastia sp. A (Clark 2006),Aleutian Islands
Pteraster sp. D (Clark),Aleutian Islands
Pteraster willsi,Aleutian Islands
Pyrulofusus sp.,Aleutian Islands
Rocinela angustata,Aleutian Islands
Sasakiopus salebrosus,Aleutian Islands
Sebastes aleutianus,Aleutian Islands
Sebastes melanostictus,Aleutian Islands
Stylaster alaskanus,Aleutian Islands
Stylaster crassiseptum,Aleutian Islands
Stylaster trachystomus,Aleutian Islands
Suberites domuncula,Aleutian Islands
Suberites sp. A (Clark 2006),Aleutian Islands
Swiftia pacifica,Aleutian Islands
Synallactes sp. A (Clark 2006),Aleutian Islands
Tentorium semisuberites,Aleutian Islands
Vulcanella sp.,Aleutian Islands
