"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"63"	"MERLUCCIUS BILINEARIS"	72	164791	"SILVER HAKE"	"(Mitchill, 1814)"
"64"	"GADUS MORHUA"	73	164712	"ATLANTIC COD"	"Linnaeus, 1758"
"65"	"MELANOGRAMMUS AEGLEFINUS"	74	164744	"HADDOCK"	"(Linnaeus, 1758)"
"66"	"POLLACHIUS VIRENS"	75	164727	"POLLOCK"	"(Linnaeus, 1758)"
"67"	"UROPHYCIS TENUIS"	76	164732	"WHITE HAKE"	"(Mitchill, 1814)"
"68"	"UROPHYCIS CHUSS"	77	164730	"RED HAKE"	"(Walbaum, 1792)"
"69"	"UROPHYCIS REGIA"	78	164731	"SPOTTED HAKE"	"(Walbaum, 1792)"
"70"	"UROPHYCIS CHESTERI"	79	164733	"LONGFIN HAKE"	"(Goode and Bean, 1878)"
"71"	"GADIDAE"	80	164701	"HAKE UNCL"	"Rafinesque, 1810"
"72"	"ANTIMORA ROSTRATA"	81	164672	"BLUE HAKE"	"(Guenther, 1878)"
"73"	"PHYSICULUS FULVUS"	82	550838	"METALLIC CODLING"	"Bean, 1885"
"74"	"ENCHELYOPUS CIMBRIUS"	83	164748	"FOURBEARD ROCKLING"	"(Linnaeus, 1776)"
"75"	"BROSME BROSME"	84	164740	"CUSK"	"(Ascanius, 1772)"
"76"	"GAIDROPSARUS ENSIS"	85	164769	"THREEBEARD ROCKLING"	"(Reinhardt, 1837)"
"77"	"MERLUCCIUS "	86	164790	"HAKES"	NA
"78"	"UROPHYCIS "	87	164729	"CODLINGS"	NA
"79"	"MORIDAE"	88	164670	"MORA UNCL"	"Moreau, 1881"
"80"	"MACROURIDAE"	90	165332	"GRENADIER UNCL"	"Gilbert and Hubbs, 1916"
"81"	"NEZUMIA BAIRDII "	91	165395	"MARLIN-SPIKE"	NA
"82"	"MACROURUS BERGLAX"	92	165421	"ROUGHHEAD GRENADIER"	"Lacepede, 1810"
"83"	"CAELORINCHUS CAELORHINCUS CARMINATUS "	93	623199	"LONGNOSE GRENADIER"	NA
"84"	"POECILOPSETTA BEANI"	98	172938	"DEEPWATER DAB"	NA
"85"	"REINHARDTIUS HIPPOGLOSSOIDES"	99	172930	"GREENLAND HALIBUT"	"(Walbaum, 1792)"
"86"	"PLEURONECTIFORMES"	100	172702	"FLOUNDER UNCL"	NA
"87"	"HIPPOGLOSSUS HIPPOGLOSSUS"	101	172933	"ATLANTIC HALIBUT"	"(Linnaeus, 1758)"
"88"	"HIPPOGLOSSOIDES PLATESSOIDES"	102	172877	"AMERICAN PLAICE"	"(Fabricius, 1780)"
"89"	"PARALICHTHYS DENTATUS"	103	172735	"SUMMER FLOUNDER"	"(Linnaeus, 1766)"
"90"	"PARALICHTHYS OBLONGUS"	104	172739	"FOURSPOT FLOUNDER"	"(Mitchill, 1815)"
"91"	"LIMANDA FERRUGINEA "	105	172909	"YELLOWTAIL FLOUNDER"	NA
"92"	"PSEUDOPLEURONECTES AMERICANUS "	106	172905	"WINTER FLOUNDER"	NA
"93"	"GLYPTOCEPHALUS CYNOGLOSSUS"	107	172873	"WITCH FLOUNDER"	"(Linnaeus, 1758)"
"94"	"SCOPHTHALMUS AQUOSUS"	108	172746	"WINDOWPANE"	"(Mitchill, 1815)"
"95"	"CITHARICHTHYS ARCTIFRONS"	109	172719	"GULF STREAM FLOUNDER"	"Goode, 1880"
"96"	"MONOLENE SESSILICAUDA"	110	172789	"DEEPWATER FLOUNDER"	"Goode, 1880"
"97"	"MACRORHAMPHOSUS SCOLOPAX"	111	166423	"LONGSPINE SNIPEFISH"	"(Linnaeus, 1758) (syn)"
"98"	"ZENOPSIS CONCHIFERA"	112	166284	"BUCKLER DORY"	"(Lowe, 1852)"
"99"	"MENIDIA MENIDIA"	113	165994	"ATLANTIC SILVERSIDE"	"(Linnaeus, 1766)"
"100"	"SYNAGROPS BELLUS"	114	168335	"BLACKMOUTH BASS"	"Goode and Bean, 1896)"
"101"	"GASTEROSTEUS ACULEATUS"	115	166365	"THREESPINE STICKLEBACK"	"Linnaeus, 1758"
"102"	"SYNGNATHUS FUSCUS"	116	166451	"NORTHERN PIPEFISH"	"Storer, 1839"
"103"	"ETROPUS MICROSTOMUS"	117	172730	"SMALLMOUTH FLOUNDER"	"(Gill, 1864)"
"104"	"TRINECTES MACULATUS"	118	172982	"HOGCHOKER"	"(Bloch and Schneider, 1801)"
"105"	"AULOSTOMUS MACULATUS"	119	166411	"TRUMPETFISH"	"Valenciennes, 1845"
"106"	"FISTULARIA TABACARIA"	120	166416	"BLUESPOTTED CORNETFISH"	"Linnaeus, 1758"
"107"	"SCOMBER SCOMBRUS"	121	172414	"ATLANTIC MACKEREL"	"Linnaeus, 1758"
"108"	"SARDA SARDA"	123	172409	"ATLANTIC BONITO"	"(Bloch, 1793)"
"109"	"SCOMBER JAPONICUS"	124	172412	"CHUB MACKEREL"	"Houttuyn, 1782"
"110"	"ACANTHOCYBIUM SOLANDRI"	125	172451	"WAHOO"	"(Cuvier, 1831)"
"111"	"TRICHIURUS LEPTURUS"	126	172385	"ATLANTIC CUTLASSFISH"	"Linnaeus, 1758"
"112"	"PROMETHICHTHYS PROMETHEUS"	127	172374	"CONEJO"	"(Cuvier, 1832)"
"113"	"KATSUWONUS PELAMIS"	128	172401	"SKIPJACK TUNA"	"(Linnaeus, 1758)"
"114"	"CARANX CRYSOS"	129	168612	"BLUE RUNNER"	"(Mitchill, 1815)"
"115"	"TARACTICHTHYS LONGIPINNIS "	130	170311	"BIGSCALE POMFRET"	NA
"116"	"PEPRILUS TRIACANTHUS"	131	172567	"BUTTERFISH"	"(Peck, 1804)"
"117"	"SELENE SETAPINNIS"	132	168684	"ATLANTIC MOONFISH"	"(Mitchill, 1815)"
"118"	"SELENE VOMER"	133	168680	"LOOKDOWN"	"(Linnaeus, 1758)"
"119"	"PRIACANTHUS ARENATUS"	134	168178	"BIGEYE"	"Cuvier, 1829"
"120"	"POMATOMUS SALTATRIX"	135	168559	"BLUEFISH"	"(Linnaeus, 1766)"
"121"	"MICROPOGONIAS UNDULATUS"	136	169283	"ATLANTIC CROAKER"	"(Linnaeus, 1766)"
"122"	"SYNAGROPS SPINOSUS"	137	168337	"KEELCHEEK BASS"	"Schultz, 1940"
"123"	"APOGONIDAE"	138	168196	"CARDINALFISH UNCL"	NA
"124"	"MORONE SAXATILIS"	139	167680	"STRIPED BASS"	"(Walbaum in Artedi, 1792)"
"125"	"MORONE AMERICANA"	140	167678	"WHITE PERCH"	"(Gmelin in Linnaeus, 1789)"
"126"	"CENTROPRISTIS STRIATA"	141	167687	"BLACK SEA BASS"	"(Linnaeus, 1758)"
"127"	"ORTHOPRISTIS CHRYSOPTERA"	142	169077	"PIGFISH"	"(Linnaeus, 1766)"
"128"	"STENOTOMUS CHRYSOPS"	143	169182	"SCUP"	"(Linnaeus, 1766)"
"129"	"EPIGONUS PANDIONIS"	144	168297	NA	NA
"130"	"CYNOSCION REGALIS"	145	169241	"WEAKFISH"	"(Bloch and Schneider, 1801)"
"131"	"MENTICIRRHUS SAXATILIS"	146	169276	"NORTHERN KINGFISH"	"(Bloch and Schneider, 1801)"
"132"	"POGONIAS CROMIS"	147	169288	"BLACK DRUM"	"(Linnaeus, 1766)"
"133"	"BAIRDIELLA CHRYSOURA"	148	169259	"SILVER PERCH"	"(Lacepede, 1802)"
"134"	"LEIOSTOMUS XANTHURUS"	149	169267	"SPOT"	"Lacepede, 1802"
