"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"267"	"OVALIPES STEPHENSONI"	321	98715	"COARSEHAND LADY CRAB"	"Williams, 1976"
"268"	"OVALIPES OCELLATUS"	322	98714	"LADY CRAB"	"(Herbst, 1799)"
"269"	"STOMATOPODA"	323	99140	"MANTIS SHRIMP UNCL"	"Latreille, 1817"
"270"	"LITHODES MAJA"	324	97943	"NORTHERN STONE CRAB"	"(Linnaeus, 1758)"
"271"	"CHIONOECETES OPILIO"	325	98428	"SNOW CRAB"	"(Fabricius, 1788)"
"272"	"CARCINUS MAENAS"	326	98734	"GREEN CRAB"	"(Linnaeus, 1758)"
"273"	"HEPATUS EPHELITICUS"	327	98348	"CALICO BOX CRAB"	"(Linnaeus, 1763)"
"274"	"CALAPPA FLAMMEA"	328	98342	"FLAME BOX CRAB"	"(Herbst, 1794)"
"275"	"CALAPPA SULCATA"	329	98343	"YELLOW BOX CRAB"	"Rathbun, 1898"
"276"	"CLYPEASTEROIDA"	330	157984	"SAND DOLLAR UNCL"	NA
"277"	"ECHINOIDEA"	331	157821	"SEA URCHIN AND SAND DOLLAR UNCL"	"Leske, 1778"
"278"	"STELLEROIDEA"	332	156858	"SEA STAR - BRITTLE STAR - AND BASKETS"	"Lamarck, 1816"
"279"	"ASTERIAS VULGARIS"	333	157219	"BOREAL ASTERIAS"	NA
"280"	"ASTROPECTEN "	334	156901	NA	NA
"281"	"PAGUROIDEA"	335	206947	"HERMIT CRAB UNCL"	"Latreille, 1803"
"282"	"BUSYCOTYPUS CANALICULATUS"	336	74096	"CHANNELED WHELK"	"(Linnaeus, 1758)"
"283"	"BUSYCON CARICA"	337	74071	"KNOBBED WHELK"	"(Gmelin, 1791)"
"284"	"NATICIDAE"	338	72878	"MOON SNAIL SHARK EYE AND BABY-EAR"	"Guilding, 1834"
"285"	"CALAPPIDAE"	339	98340	"BOX CRAB UNCL"	"De Haan, 1833"
"286"	"CHLAMYS ISLANDICA"	340	79619	"ICELAND SCALLOP"	"(Muller, 1776)"
"287"	"CHLAMYS ISLANDICA CLAPPER"	341	NA	"ICELAND SCALLOP CLAPPER"	NA
"288"	"MODIOLUS MODIOLUS"	342	79501	"NORTHERN HORSEMUSSEL"	"(Linnaeus, 1758)"
"289"	"MYTILUS EDULIS"	343	79454	"BLUE MUSSEL"	"Linnaeus, 1758"
"290"	"BUCCINUM UNDATUM"	344	73795	"WAVED WHELK"	"Linnaeus, 1758"
"291"	"NEPTUNEA DECEMCOSTATA"	345	74008	"TEN-RIDGED WHELK"	"(Say, 1826) (syn)"
"292"	"COLUS STIMPSONI"	346	73922	"STIMPSON'S WHELK"	"(Morch, 1867)"
"293"	"NASSARIUS "	347	74103	NA	NA
"294"	"EUSPIRA HEROS"	348	72985	"NORTHERN MOONSNAIL"	"(Say, 1822)"
"295"	"NEVERITA DUPLICATA"	349	72961	"SHARK EYE"	"(Say, 1822)"
"296"	"GINGLYMOSTOMA CIRRATUM"	350	159977	"NURSE SHARK"	"(Bonnaterre, 1788)"
"297"	"CARCHARODON CARCHARIAS"	351	159903	"WHITE SHARK"	"(Linnaeus, 1758)"
"298"	"ISURUS OXYRINCHUS"	352	159924	"SHORTFIN MAKO"	"Rafinesque, 1810"
"299"	"LAMNA NASUS"	353	159911	"PORBEAGLE SHARK"	"(Bonnaterre, 1788)"
"300"	"CARCHARHINUS ACRONOTUS"	354	160304	"BLACKNOSE SHARK"	"(Poey, 1860)"
"301"	"CARCHARHINUS FALCIFORMIS"	355	160310	"SILKY SHARK"	"(Muller and Henle, 1839)"
"302"	"CARCHARHINUS LEUCAS"	356	160275	"BULL SHARK"	"(Muller and Henle, 1839)"
"303"	"CARCHARHINUS LIMBATUS"	357	160318	"BLACKTIP SHARK"	"(Muller and Henle, 1839)"
"304"	"GALEOCERDO CUVIER"	358	160189	"TIGER SHARK"	"(Peron and Lesueur, 1822)"
"305"	"NEGAPRION BREVIROSTRIS"	359	160433	"LEMON SHARK"	"(Poey, 1868)"
"306"	"RHIZOPRIONODON TERRAENOVAE"	360	160200	"ATLANTIC SHARPNOSE SHARK"	"(Richardson, 1836)"
"307"	"CARCHARHINIDAE"	361	160178	"REQUIEM SHARK UNCL"	"Jordan and Evermann, 1896"
"308"	"SPHYRNA LEWINI"	362	160508	"SCALLOPED HAMMERHEAD SHARK"	"(Griffith and Smith, 1834)"
"309"	"SPHYRNA MOKARRAN"	363	160515	"GREAT HAMMERHEAD SHARK"	"(Ruppell, 1837)"
"310"	"SPHYRNA TIBURO"	364	160502	"BONNETHEAD SHARK"	"(Linnaeus, 1758)"
"311"	"SPHYRNA TUDES"	365	160519	"SMALLEYE HAMMERHEAD SHARK"	"(Valenciennes, 1822)"
"312"	"SPHYRNA ZYGAENA"	366	160505	"SMOOTH HAMMERHEAD SHARK"	"(Linnaeus, 1758)"
"313"	"NARCINE BRASILIENSIS"	367	160844	"LESSER ELECTRIC RAY"	"(Olfers, 1831)"
"314"	"RAJA ACKLEYI"	368	160859	"OCELLATE SKATE"	"Garman, 1881"
"315"	"DIPTURUS OLSENI"	370	564146	"SPREADFIN SKATE"	"(Bigelow and Schroeder, 1951)"
"316"	"BATHYRAJA SPINICAUDA"	371	160932	"SPINYTAIL SKATE"	"(Jensen, 1914)"
"317"	"RAJA TEXANA"	372	160875	"ROUNDEL SKATE"	"Chandler, 1921"
"318"	"DASYATIS SABINA"	373	160953	"ATLANTIC STINGRAY"	"(Lesueur, 1824)"
"319"	"DASYATIS VIOLACEA"	374	160950	"PELAGIC STINGRAY"	"(Bonaparte, 1832)"
"320"	"GYMNURA ALTAVELA"	375	160961	"SPINY BUTTERFLY RAY"	"(Linnaeus, 1758)"
"321"	"GYMNURA MICRURA"	376	160962	"SMOOTH BUTTERFLY RAY"	"(Bloch and Schneider, 1801)"
"322"	"UROLOPHUS JAMAICENSIS"	377	160965	"YELLOW STINGRAY"	"(Cuvier, 1816)"
"323"	"MYLIOBATIS GOODEI"	378	160982	"SOUTHERN EAGLE RAY"	"Garman, 1885"
"324"	"ACIPENSER BREVIROSTRUM"	379	161069	"SHORTNOSE STURGEON"	"Lesueur, 1818"
"325"	"ACIPENSER OXYRHYNCHUS"	380	573257	"ATLANTIC STURGEON"	"Mitchill, 1815"
"326"	"ELOPS SAURUS"	381	161111	"LADYFISH"	"Linnaeus, 1766"
"327"	"MEGALOPS ATLANTICUS"	382	161116	"TARPON"	"Valenciennes in Cuvier and Valenciennes, 1847"
"328"	"ALBULA VULPES"	383	161121	"BONEFISH"	"(Linnaeus, 1758)"
"329"	"ANGUILLA ROSTRATA"	384	161127	"AMERICAN EEL"	"(Lesueur, 1817)"
"330"	"ANARCHIAS SIMILIS"	385	161169	"PYGMY MORAY"	"(Lea, 1913)"
"331"	"GYMNOTHORAX MORINGA"	386	161188	"SPOTTED MORAY"	"(Cuvier, 1829)"
"332"	"GYMNOTHORAX NIGROMARGINATUS"	387	161189	"BLACKEDGE MORAY"	"(Girard, 1859)"
"333"	"MURAENIDAE"	388	161160	"MORAY UNCL"	NA
"334"	"ARIOSOMA BALEARICUM"	389	161344	"BANDTOOTH CONGER"	"(Delaroche, 1809)"
"335"	"CONGRIDAE"	390	161324	"CONGER EEL UNCL"	NA
"336"	"CALLECHELYS GUINIENSIS"	391	161435	"SHORTTAIL SNAKE EEL"	"(Osorio, 1894)"
"337"	"LETHARCHUS VELIFER"	392	161441	"SAILFIN EEL"	"Goode and Bean, 1882"
"338"	"MYROPHIS PUNCTATUS"	393	161453	"SPECKLED WORM EEL"	"Luetken, 1852"
"339"	"ECHIOPHIS INTERTINCTUS"	394	161551	"SPOTTED SPOON-NOSE EEL"	"(Richardson, 1848)"
"340"	"OPHICHTHUS GOMESI"	395	161462	"SHRIMP EEL"	"(Castlenau, 1855)"
"341"	"OPHICHTHUS PUNCTICEPS"	396	161481	"PALESPOTTED EEL"	"(Kaup, 1860)"
"342"	"APTERICHTUS ANSP"	397	161534	"ACADEMY EEL"	"(Boehlke, 1968)"
"343"	"APTERICHTUS KENDALLI"	398	161536	"FINLESS EEL"	"(Gilbert, 1891)"
"344"	"ECHIOPHIS "	399	161550	"SPOON-NOSE EEL UNCL"	NA
"345"	"PLACOPECTEN MAGELLANICUS CLAPPER"	400	NA	"SEA SCALLOP CLAPPER"	NA
"346"	"PLACOPECTEN MAGELLANICUS"	401	79718	"SEA SCALLOP"	"(Gmelin, 1791)"
"347"	"ARGOPECTEN IRRADIANS"	402	79737	"BAY SCALLOP"	"(Lamarck, 1819)"
"348"	"SPISULA SOLIDISSIMA"	403	80944	"ATLANTIC SURFCLAM"	"(Dillwyn, 1817)"
"349"	"ARGOPECTEN GIBBUS"	404	79734	"ATLANTIC CALICO SCALLOP"	"(Linnaeus, 1758)"
"350"	"THRACIA "	405	81962	"DUCK-BILL SHELL UNCL"	NA
"351"	"SPISULA SOLIDISSIMA CLAPPER"	406	NA	"ATLANTIC SURFCLAM CLAPPER"	NA
"352"	"MACTROMERIS POLYNYMA"	407	80983	"ARCTIC SURFCLAM"	"(Stimpson, 1860)"
"353"	"MACTROMERIS POLYNYMA CLAPPER"	408	NA	"ARCTIC SURFCLAM CLAPPER"	NA
"354"	"ARCTICA ISLANDICA"	409	81343	"OCEAN QUAHOG"	"(Linnaeus, 1767)"
"355"	"ARCTICA ISLANDICA CLAPPER"	410	NA	"OCEAN QUAHOG CLAPPER"	NA
"356"	"MERCENARIA CAMPECHIENSIS"	411	81499	"SOUTHERN QUAHOG"	"(Gmelin, 1791)"
"357"	"MERCENARIA CAMPECHIENSIS CLAPPER"	412	NA	"SOUTHERN QUAHOG CLAPPER"	NA
"358"	"MERCENARIA MERCENARIA"	413	81496	"NORTHERN QUAHOG"	"(Linnaeus, 1758)"
"359"	"MERCENARIA MERCENARIA CLAPPER"	414	NA	"NORTHERN QUAHOG CLAPPER"	NA
"360"	"PITAR MORRHUANUS"	415	81501	"FALSE QUAHOG"	"(Linsley, 1848)"
"361"	"SOLENIDAE"	416	81006	"RAZOR AND JACKKNIFE CLAM UNCL"	"Lamarck, 1809"
"362"	"CYRTODARIA SILIQUA"	417	81763	"NORTHERN PROPELLER CLAM"	"(Spengler, 1793)"
"363"	"SERRIPES GROENLANDICUS"	418	80879	"GREENLAND COCKLE"	"(Mohr, 1786)"
"364"	"CYCLOCARDIA BOREALIS"	419	80744	"NORTHERN CYCLOCARDIA"	"(Conrad, 1831)"
"365"	"ASTARTE CASTANEA"	420	80801	"SMOOTH ASTARTE"	"(Say, 1822)"
"366"	"SYNGNATHIDAE"	421	166443	"PIPEFISH SEAHORSE UNCL"	NA
"367"	"CAPROIDAE"	422	166309	"BOARFISH UNCL"	NA
"368"	"ATHERINIDAE"	423	165984	"SILVERSIDE UNCL"	NA
"369"	"OPHICHTHIDAE"	425	161419	"SNAKE EEL UNCL"	NA
"370"	"DOROSOMA CEPEDIANUM"	426	161737	"GIZZARD SHAD"	"(Lesueur, 1818)"
"371"	"JENKINSIA LAMPROTAENIA"	427	161759	"DWARF HERRING"	"(Gosse, 1851)"
"372"	"OPISTHONEMA OGLINUM"	428	161748	"ATLANTIC THREAD HERRING"	"(Lesueur, 1818)"
"373"	"SARDINELLA AURITA"	429	161763	"SPANISH SARDINE"	"Valenciennes in Cuvier and Valenciennes, 1847"
"374"	"ANCHOVIELLA PERFASCIATA"	430	161857	"FLAT ANCHOVY"	"(Poey, 1860)"
"375"	"ONCORHYNCHUS MYKISS"	431	161989	"RAINBOW TROUT"	"(Walbaum, 1792)"
"376"	"SALMO TRUTTA"	432	161997	"BROWN TROUT"	"Linnaeus, 1758"
"377"	"SAURIDA BRASILIENSIS"	433	162408	"LARGESCALE LIZARDFISH"	"Norman"
"378"	"SAURIDA NORMANI"	434	162411	"SHORTJAW LIZARDFISH"	"Longley"
"379"	"SYNODUS FOETENS"	435	162376	"INSHORE LIZARDFISH"	"(Linnaeus, 1766)"
"380"	"SYNODUS INTERMEDIUS"	436	162377	"SAND DIVER"	"Agassiz"
"381"	"SYNODUS POEYI"	437	162379	"OFFSHORE LIZARDFISH"	"Jordan"
"382"	"SYNODUS SYNODUS"	438	162382	"RED LIZARDFISH"	"(Linnaeus, 1758)"
"383"	"TRACHINOCEPHALUS MYOPS"	439	162420	"SNAKEFISH"	"Forster"
"384"	"ALEPISAURUS FEROX"	440	162527	"LONGNOSE LANCETFISH"	"Lowe, 1833"
"385"	"ARIUS FELIS"	441	164165	"HARDHEAD CATFISH"	"(Linnaeus, 1766)"
"386"	"BAGRE MARINUS"	442	164159	"GAFFTOPSAIL CATFISH"	"(Mitchill, 1815)"
"387"	"OPSANUS PARDUS"	443	164425	"LEOPARD TOADFISH"	"(Goode and Bean, 1879)"
"388"	"PORICHTHYS PLECTRODON"	444	164421	"ATLANTIC MIDSHIPMAN"	"Jordan and Gilbert, 1882"
"389"	"ANTENNARIUS OCELLATUS"	445	164524	"OCELLATED FROGFISH"	"(Bloch and Schneider, 1801)"
"390"	"ANTENNARIUS RADIOSUS"	446	164525	"SINGLESPOT FROGFISH"	"Garman, 1896"
"391"	"ANTENNARIUS STRIATUS"	447	164556	"STRIATED FROGFISH"	"(Shaw and Nodder, 1794)"
"392"	"HISTRIO HISTRIO"	448	164520	"SARGASSUMFISH"	"(Linnaeus, 1758)"
"393"	"HALIEUTICHTHYS ACULEATUS"	449	164594	"PANCAKE BATFISH"	"(Mitchill, 1818)"
"394"	"OGCOCEPHALUS NASUTUS"	450	164576	"SHORTNOSE BATFISH"	"(Valenciennes, 1837)"
"395"	"OGCOCEPHALUS PARVUS"	451	164578	"ROUGHBACK BATFISH"	"Longley and Hildebrand, 1940"
"396"	"OGCOCEPHALIDAE"	452	164573	"BATFISH UNCL"	NA
"397"	"MICROGADUS TOMCOD"	453	164720	"ATLANTIC TOMCOD"	"(Walbaum in Artedi, 1792)"
"398"	"UROPHYCIS EARLLII "	454	164736	"CAROLINA HAKE"	NA
"399"	"UROPHYCIS FLORIDANA"	455	164737	"SOUTHERN HAKE"	"(Bean and Dresel, 1884)"
"400"	"BROTULA BARBATA"	456	164818	"BEARDED BROTULA"	"(Schneider, 1801)"
"401"	"LEPOPHIDIUM JEANNAE"	457	164827	"MOTTLED CUSK-EEL"	"Fowler, 1941"
"402"	"OPHIDION GRAYI"	458	164841	"BLOTCHED CUSK-EEL"	"(Fowler, 1948)"
"403"	"OPHIDION HOLBROOKI"	459	164842	"BANK CUSK-EEL"	"(Putnam, 1874)"
"404"	"OPHIDION WELSHI"	460	164844	"CRESTED CUSK-EEL"	"(Nichols and Breder, 1922)"
"405"	"OPHIDIIDAE"	461	164807	"CUSK-EEL UNCL"	NA
"406"	"CARAPUS BERMUDENSIS"	462	165096	"PEARLFISH"	"(Jones, 1874)"
"407"	"CYPSELURUS CYANOPTERUS"	463	165436	"MARGINED FLYINGFISH"	"(Valenciennes, 1847)"
"408"	"CYPSELURUS FURCATUS"	464	165438	"SPOTFIN FLYINGFISH"	"(Mitchill, 1815)"
"409"	"CYPSELURUS MELANURUS"	465	165447	"ATLANTIC FLYINGFISH"	"(Valenciennes, 1847)"
"410"	"EULEPTORHAMPHUS VELOX"	466	165503	"FLYING HALFBEAK"	"Poey, 1868"
"411"	"EXOCOETUS OBTUSIROSTRIS"	467	165507	"OCEANIC TWO-WING FLYINGFISH"	"Guenther, 1866"
"412"	"HEMIRAMPHUS BRASILIENSIS"	468	165460	"BALLYHOO"	"(Linnaeus, 1758)"
"413"	"HIRUNDICHTHYS AFFINIS"	469	165516	"FOURWING FLYINGFISH"	"(Guenther, 1866)"
"414"	"PROGNICHTHYS GIBBIFRONS"	470	165524	"BLUNTNOSE FLYINGFISH"	"(Valenciennes, 1847)"
"415"	"STRONGYLURA MARINA"	471	165551	"ATLANTIC NEEDLEFISH"	"(Walbaum in Artedi, 1792)"
"416"	"CYPRINODON VARIEGATUS"	472	165631	"SHEEPSHEAD MINNOW"	"Lacepede, 1803"
"417"	"FUNDULUS HETEROCLITUS"	473	165647	"MUMMICHOG"	"(Linnaeus, 1766)"
"418"	"FUNDULUS MAJALIS"	474	165649	"STRIPED KILLIFISH"	"(Walbaum in Artedi, 1792)"
"419"	"MEMBRAS MARTINICA"	475	165989	"ROUGH SILVERSIDE"	"(Valenciennes in Cuvier and Valenciennes, 1835)"
"420"	"MENIDIA BERYLLINA"	476	165993	"TIDEWATER SILVERSIDE"	"(Cope, 1866)"
"421"	"CORNIGER SPINOSUS"	477	166251	"SPINYCHEEK SOLDIERFISH"	"Agassiz, 1829"
"422"	"HOLOCENTRUS ADSCENSIONIS"	478	166172	"SQUIRRELFISH"	"(Osbeck, 1765)"
"423"	"SARGOCENTRON BULLISI "	479	622109	"DEEPWATER SQUIRRELFISH"	NA
"424"	"HOLOCENTRUS RUFUS"	480	166173	"LONGSPINE SQUIRRELFISH"	"(Walbaum, 1792)"
"425"	"SARGOCENTRON VEXILLARIUM "	481	622110	"DUSKY SQUIRRELFISH"	NA
"426"	"MYRIPRISTIS JACOBUS"	482	166211	"BLACKBAR SOLDIERFISH"	"Cuvier, 1829"
"427"	"OSTICHTHYS TRACHYPOMA"	483	166240	"BIGEYE SOLDIERFISH"	"(Guenther, 1859)"
"428"	"PLECTRYPOPS RETROSPINIS"	484	166245	"CARDINAL SOLDIERFISH"	"(Guichenot, 1853)"
"429"	"HOLOCENTRIDAE"	485	166170	"SQUIRRELFISH UNCL"	NA
"430"	"ANTIGONIA COMBATIA"	486	166312	"SHORTSPINE BOARFISH"	"Berry and Rathjen, 1959"
"431"	"EUMECICHTHYS FISKI"	487	166338	"UNICORNFISH"	"(Guenther, 1890)"
"432"	"APELTES QUADRACUS"	488	166397	"FOURSPINE STICKLEBACK"	"(Mitchill, 1815)"
"433"	"FISTULARIA PETIMBA"	489	166417	"RED CORNETFISH"	"Lacepede, 1803"
"434"	"FISTULARIA "	490	166415	"CORNETFISH UNCL"	NA
"435"	"COSMOCAMPUS ALBIROSTRIS"	491	166597	"WHITENOSE PIPEFISH"	"(Kaup, 1856)"
"436"	"HIPPOCAMPUS ERECTUS"	492	166488	"LINED SEAHORSE"	"Perry, 1810"
"437"	"HIPPOCAMPUS REIDI"	493	166492	"LONGSNOUT SEAHORSE"	"Ginsburg, 1933"
"438"	"SYNGNATHUS FLORIDAE"	494	166446	"DUSKY PIPEFISH"	"(Jordan and Gilbert, 1882)"
"439"	"SYNGNATHUS LOUISIANAE"	495	166452	"CHAIN PIPEFISH"	"Guenther, 1870"
"440"	"SYNGNATHUS SPRINGERI"	496	166455	"BULL PIPEFISH"	"Herald, 1942"
"441"	"CENTROPOMUS UNDECIMALIS"	497	167648	"COMMON SNOOK"	"(Bloch, 1792)"
"442"	"EPINEPHELUS AFER"	498	167745	"MUTTON HAMLET"	"Bloch, 1793 (syn)"
"443"	"ANTHIAS ASPERILINGUIS"	499	167770	"CRIMSON BASS"	"Gunther"
"444"	"ANTHIAS NICHOLSI"	500	167771	"YELLOWFIN BASS"	"Firth, 1933"
"445"	"CEPHALOPODA"	501	82326	"SQUID CUTTLEFISH AND OCTOPOD UNCL"	"Cuvier, 1797"
"446"	"ILLEX ILLECEBROSUS"	502	82521	"NORTHERN SHORTFIN SQUID"	"(Lesueur, 1821)"
"447"	"LOLIGO PEALEII"	503	82372	"LONGFIN SQUID"	"Lesueur, 1821"
"448"	"LOLLIGUNCULA BREVIS"	504	82379	"ATLANTIC BRIEF SQUID"	"(Blainville, 1823)"
"449"	"LOLIGO PLEI"	505	82373	"ARROW SQUID"	NA
"450"	"SEPIOLIDAE"	506	82335	"BOBTAIL UNCL"	"Leach, 1817"
"451"	"SEMIROSSIA TENERA"	507	82340	"LESSER SHINING BOBTAIL"	"(Verrill, 1880)"
"452"	"STOLOTEUTHIS LEUCOPTERA"	508	82355	"SHIELD BOBTAIL"	"(Verrill, 1878)"
"453"	"ABRALIA VERANYI"	509	82407	"RUPPELL'S ABRALIA"	"(Ruppell, 1844)"
"454"	"OCTOPODA"	510	82589	"OCTOPUS UNCL"	"Leach, 1818"
"455"	"OCTOPUS VULGARIS"	511	82603	"COMMON OCTOPUS"	"Cuvier, 1797"
"456"	"BATHYPOLYPUS ARCTICUS"	512	82636	"SPOONARM OCTOPUS"	"(Prosch, 1847)"
"457"	"SCAEURGUS UNICIRRHUS"	513	82652	"UNICORN OCTOPUS"	"(Chiaie, 1839-41 in Ferussac and D'Orbigny, 1834-1848)"
"458"	"ROSSIA MEGAPTERA"	514	82353	"VERRILL'S BOBTAIL"	"Verrill, 1881 in 1880-1881"
"459"	"ROSSIA PALPEBROSA"	515	82348	"OWEN'S BOBTAIL"	"Owen, 1834"
"460"	"PORTUNUS SPINIMANUS"	516	98721	"BLOTCHED SWIMMING CRAB"	"Latreille, 1819"
"461"	"BATHYNECTES LONGISPINA"	517	98694	"BATHYAL SWIMMING CRAB"	"Stimpson, 1871"
"462"	"ARENAEUS CRIBRARIUS"	518	98691	"SPECKLED SWIMMING CRAB"	"(Lamarck, 1818)"
"463"	"ILLEX ILLECEBROSUS EGG MOPS"	519	NA	"NORTHERN SHORTFIN SQUID EGG MOPS"	NA
"464"	"LOLIGO PEALEII EGG MOPS"	520	NA	"LONGFIN SQUID EGG MOPS"	NA
"465"	"SCHULTZEA BETA"	523	167846	"SCHOOL BASS"	"(Hildebrand,1940)"
"466"	"MYCTEROPERCA INTERSTITIALIS"	524	167762	"YELLOWMOUTH GROUPER"	"(Poey, 1860)"
"467"	"CENTROPRISTIS OCYURUS"	526	167690	"BANK SEA BASS"	"(Jordan and Evermann, 1887)"
"468"	"CENTROPRISTIS PHILADELPHICA"	527	167691	"ROCK SEA BASS"	"(Linnaeus, 1758)"
"469"	"EPINEPHELUS INERMIS"	528	167743	"MARBLED GROUPER"	"(Valenciennes, 1833) (syn)"
"470"	"DIPLECTRUM BIVITTATUM"	529	167796	"DWARF SAND PERCH"	"(Valenciennes, 1828)"
"471"	"DIPLECTRUM FORMOSUM"	530	167793	"SAND PERCH"	"(Linnaeus, 1766)"
"472"	"EPINEPHELUS ADSCENSIONIS"	531	167696	"ROCK HIND"	"(Osbeck, 1765)"
"473"	"EPINEPHELUS DRUMMONDHAYI"	532	167698	"SPECKLED HIND"	"Goode and Bean, 1879"
"474"	"EPINEPHELUS FLAVOLIMBATUS"	533	167699	"YELLOWEDGE GROUPER"	"Poey, 1865"
"475"	"EPINEPHELUS GUTTATUS"	534	167700	"RED HIND"	"(Linnaeus, 1758)"
"476"	"EPINEPHELUS MORIO"	535	167702	"RED GROUPER"	"(Valenciennes, 1828)"
"477"	"EPINEPHELUS NIGRITUS"	536	167704	"WARSAW GROUPER"	"(Holbrook, 1855)"
"478"	"EPINEPHELUS NIVEATUS"	537	167705	"SNOWY GROUPER"	"(Valenciennes, 1828)"
"479"	"EPINEPHELUS STRIATUS"	538	167706	"NASSAU GROUPER"	"(Bloch, 1792)"
"480"	"HEMANTHIAS VIVANUS"	539	167801	"RED BARBIER"	"(Jordan and Swain, 1884)"
"481"	"MYCTEROPERCA BONACI"	540	167760	"BLACK GROUPER"	"(Poey, 1860)"
"482"	"MYCTEROPERCA MICROLEPIS"	541	167759	"GAG"	"(Goode and Bean, 1880)"
"483"	"MYCTEROPERCA PHENAX"	542	167763	"SCAMP"	"Jordan and Swain, 1885"
"484"	"MYCTEROPERCA VENENOSA"	543	167764	"YELLOWFIN GROUPER"	"(Linnaeus, 1758)"
"485"	"HOLANTHIAS MARTINICENSIS"	544	167931	"ROUGHTONGUE BASS"	"(Guichenot, 1868)"
"486"	"PARANTHIAS FURCIFER"	545	167838	"CREOLE-FISH"	"(Valenciennes, 1828)"
"487"	"HEMANTHIAS AUREORUBENS"	546	167803	"STREAMER BASS"	"(Longley, 1935)"
"488"	"SERRANICULUS PUMILIO"	547	167848	"PYGMY SEA BASS"	"Ginsburg, 1952"
"489"	"SERRANUS ANNULARIS"	548	167850	"ORANGEBACK BASS"	"(Guenther, 1880)"
"490"	"SERRANUS ATROBRANCHUS"	549	167851	"BLACKEAR BASS"	"(Cuvier, 1829)"
"491"	"SERRANUS BALDWINI"	550	167852	"LANTERN BASS"	"(Evermann and Marsh, 1900)"
"492"	"SERRANUS NOTOSPILUS"	551	167856	"SADDLE BASS"	"Longley, 1935"
"493"	"SERRANUS PHOEBE"	552	167857	"TATTLER"	"Poey, 1852"
"494"	"SERRANUS SUBLIGARIUS"	553	167858	"BELTED SANDFISH"	"(Cope, 1870)"
"495"	"SERRANIDAE"	554	167674	"SEA BASS UNCL"	NA
"496"	"RYPTICUS BISTRISPINUS"	555	167985	"FRECKLED SOAPFISH"	"(Mitchill, 1818)"
"497"	"PRIACANTHUS CRUENTATUS"	556	168179	"GLASSEYE SNAPPER"	"(Lacepede, 1801)"
"498"	"PRISTIGENYS ALTA"	557	168190	"SHORT BIGEYE"	"(Gill, 1862)"
"499"	"APOGON MACULATUS"	558	168204	"FLAMEFISH"	"(Poey, 1860)"
"500"	"APOGON PSEUDOMACULATUS"	559	168207	"TWOSPOT CARDINALFISH"	"Longley, 1932"
"501"	"CAULOLATILUS CYANOPS"	562	168541	"BLACKLINE TILEFISH"	"Poey, 1866"
"502"	"RACHYCENTRON CANADUM"	563	168566	"COBIA"	"(Linnaeus, 1766)"
"503"	"ECHENEIS NAUCRATES"	564	168575	"SHARKSUCKER"	"Linnaeus, 1758"
"504"	"REMORA BRACHYPTERA"	565	168572	"SPEARFISH REMORA"	"(Lowe, 1839)"
"505"	"REMORA OSTEOCHIR"	566	168570	"MARLINSUCKER"	"(Cuvier, 1829)"
"506"	"REMORA REMORA"	567	168571	"REMORA"	"(Linnaeus, 1758)"
"507"	"ALECTIS CILIARIS"	568	168602	"AFRICAN POMPANO"	"(Bloch, 1787)"
"508"	"CARANX BARTHOLOMAEI"	569	168606	"YELLOW JACK"	"Cuvier, 1833"
"509"	"CARANX HIPPOS"	570	168609	"CREVALLE JACK"	"(Linnaeus, 1766)"
"510"	"CARANX LATUS"	571	168610	"HORSE-EYE JACK"	"Agassiz in Spix and Agassiz, 1831"
"511"	"CARANX RUBER"	572	168614	"BAR JACK"	"(Bloch, 1793)"
"512"	"CHLOROSCOMBRUS CHRYSURUS"	573	168670	"ATLANTIC BUMPER"	"(Linnaeus, 1766)"
"513"	"ELAGATIS BIPINNULATA"	574	168738	"RAINBOW RUNNER"	"(Quoy and Gaimard, 1824)"
"514"	"HEMICARANX AMBLYRHYNCHUS"	575	168740	"BLUNTNOSE JACK"	"(Cuvier, 1833)"
"515"	"NAUCRATES DUCTOR"	576	168742	"PILOTFISH"	"(Linnaeus, 1758)"
"516"	"OLIGOPLITES SAURUS"	577	168673	"LEATHERJACK"	"(Bloch and Schneider, 1801)"
"517"	"SERIOLA RIVOLIANA"	578	168691	"ALMACO JACK"	"Valenciennes, 1833"
"518"	"TRACHINOTUS CAROLINUS"	579	168708	"FLORIDA POMPANO"	"(Linnaeus, 1766)"
"519"	"TRACHINOTUS FALCATUS"	580	168709	"PERMIT"	"(Linnaeus, 1758)"
"520"	"TRACHINOTUS GOODEI"	581	168710	"PALOMETA"	"Jordan and Evermann, 1896"
"521"	"CARANGIDAE"	582	168584	"JACK POMPANO UNCL"	NA
"522"	"CORYPHAENA EQUISELIS "	583	168792	"POMPANO DOLPHIN"	NA
"523"	"CORYPHAENA HIPPURUS"	584	168791	"DOLPHIN"	"Linnaeus, 1758"
"524"	"BRAMA BRAMA"	585	170290	"ATLANTIC POMFRET"	"(Bonnaterre, 1758)"
"525"	"LUTJANUS ANALIS"	586	168849	"MUTTON SNAPPER"	"(Cuvier, 1828)"
"526"	"LUTJANUS APODUS"	587	168850	"SCHOOLMASTER"	"(Walbaum in Artedi, 1792)"
