test.spp,region,exclude,contact_name,date,comment
Actinostolidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Anoplogaster cornuta,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Anotopterus nikparini,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Anthoptilum grandiflorum,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Antiplanes sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Aphrodita sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Aphroditidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Armina californica,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Asterias amurensis,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Asterina miniata,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Asteronyx longifissa,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Astropecten californicus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Aurelia sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Bathyagonus pentacanthus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Bathymasteridae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Bathyplotes sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Benthalbella dentata,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Benthopectinidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Brachiopoda,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Buccinum strigillatum,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Calinaticina oldroyi,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Calliostoma platinum,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Careproctus abbreviatus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Careproctus cypselurus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Careproctus rastrinus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Chiroteuthis sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Chrysaora sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Dasycottus setiger,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Embiotocidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Florometra serratissima,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Florometra sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Gephyreaster swifti,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Gersemia sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Gonatus berryi,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Gonatus californiensis,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Gonatus pyros,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Grimpoteuthis albatrossi,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Hemilepidotus spinosus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Henricia aspera,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Hexagrammos decagrammus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Hexanchus griseus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Histioteuthis sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Jordania zonope,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Leptychaster sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Liparis pulchellus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Lithodidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Lycodes pacificus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Melamphaidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Metridium farcimen (=Metridium giganteum),Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Mollusca,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Mya sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Mytilidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Nemichthys scolopaceus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Neognathophausia ingens,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Neomenia sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Nudibranchia,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Octopus rubescens,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Oncorhynchus gorbuscha,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Ophidion scrippsae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Ophiomusium jolliensis,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Ophiopholis longispina,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Ophiopholis sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Ophiura sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Paguridae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pagurus aleuticus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pagurus sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pandalus goniurus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pandalus stenolepis,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Paralithodes rathbuni,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Parastichopus californicus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pennatulacea,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Pentamera sp.,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Photonectes margarita,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Platichthys stellatus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Platytroctidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Polynoidae,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
Psettichthys melanostictus,Westcoast Triennial,FALSE,NA,NA,taxonomy check not function for triennial survey
