test.spp,region,exclude,contact_name,date,comment
CYNOSCION,Southeast US Fall,FALSE,Tracey Smart,3/29/21,no comment
HYPOCONCHA SPINOSISSIMA,Southeast US Fall,FALSE,Tracey Smart,3/29/21,no comment
LIMULUS POLYPHEMUS,Southeast US Fall,FALSE,Tracey Smart,3/29/21,no comment
SPHOEROIDES SPENGLERI,Southeast US Fall,FALSE,Tracey Smart,3/29/21,no comment
STOMOLOPHUS MELEAGRIS,Southeast US Fall,FALSE,Tracey Smart,3/29/21,no comment
