test.spp,region,exclude,contact_name,date,comment
Acanthoptilum gracile,Westcoast Annual,FALSE,John Buchanan,3/26/21,added 2017 update
Alcyonacea,Westcoast Annual,FALSE,John Buchanan,3/26/21,taxonimic changed from gorgonacea in 2017 update
Amphistichus rhodoterus,Westcoast Annual,FALSE,John Buchanan,3/26/21,
Anisodoris nobilis,Westcoast Annual,TRUE,John Buchanan,3/26/21,sea slug not in 2006 nor 2017 guide common name= false sea lemon misidendified?
Anthomastus ritteri,Westcoast Annual,FALSE,John Buchanan,3/26/21,"name updated taxonomically to heteropolypus ~2013 (unsure when changed in database, due for update in 2021 guide)"
Anthopleura xanthogrammica,Westcoast Annual,FALSE,John Buchanan,3/26/21,in 2006 +2012 guide common name = green anemone
Chrysaora fuscens,Westcoast Annual,FALSE,John Buchanan,3/26/21,Chrysaora fuscescens in 2006 and 2017 guides. Misspelling?
Chrysopathes,Westcoast Annual,FALSE,John Buchanan,3/26/21,changed from chrysopathes speciosa (in 2006 guide) updated in 2017 guide to Chrysopathes sp.
Cololabis saira,Westcoast Annual,FALSE,John Buchanan,3/26/21,
Echinacea,Westcoast Annual,FALSE,John Buchanan,3/26/21,as in the terestrial purple cone flower?
Funiculina quadrangularis,Westcoast Annual,FALSE,John Buchanan,3/26/21,added 2017 update
Halipteris,Westcoast Annual,FALSE,John Buchanan,3/26/21,seapen confused within its own group (H. californica + H. willeomoesi) and w/other seapens
Halipteris sp. (Deepsea),Westcoast Annual,FALSE,John Buchanan,3/26/21,added 2017 update previously called many things mostly stylatula gracile which it is not genetically
Halocynthia igaboja,Westcoast Annual,FALSE,John Buchanan,3/26/21,in 2006 +2012 guide
Lepidopus xantusi,Westcoast Annual,FALSE,John Buchanan,3/26/21,not in 2006 nor 2017 guide chiton?  Name changed to Lepidopus caudatus in 2017 taxonomically.  Specially identified?
Melamphaes lugubris,Westcoast Annual,FALSE,John Buchanan,3/26/21,
Neognathophausia,Westcoast Annual,FALSE,John Buchanan,3/26/21,"3 choices in 2006 + 2017 guides (species A, ingens, gigas)"
Octocorallia,Westcoast Annual,FALSE,John Buchanan,3/26/21,not in 2006 nor 2017 guides. Generic name for soft coral unidentified
Ophiurida,Westcoast Annual,FALSE,John Buchanan,3/26/21,generic name for the dozen or so ophiura species we catch?
Philine bakeri,Westcoast Annual,FALSE,John Buchanan,3/26/21,ocean won-ton = easily washdown
Pododesmus cepio,Westcoast Annual,FALSE,John Buchanan,3/26/21,bivalve not in 2006 nor 2017 guide. Specially identified?
Scopelarchidae,Westcoast Annual,FALSE,John Buchanan,3/26/21,
Sergestes similis,Westcoast Annual,FALSE,John Buchanan,3/26/21,easily washdown
Sicyonis,Westcoast Annual,FALSE,John Buchanan,3/26/21,easily washdown
Squatinidae,Westcoast Annual,FALSE,John Buchanan,3/26/21,
Tochuina tetraquetra,Westcoast Annual,TRUE,John Buchanan,3/26/21,sea slug not in 2006 nor 2017 guide.  Misidentified?
Urticina columbiana,Westcoast Annual,FALSE,John Buchanan,3/26/21,in 2006 +2012 guide. I think this was previously known as common name rasta anemone? That was discontinued or am I making this up?
