"KEY"|"CODE"|"BIOCODE"|"TAXONOMIC"|"ISACTIVE"|"CATEGORY"|"FSCS_EXCODE"|"FSCSACTIVE"|"TAXONSIZECODE"|"SVLENMIN"|"SVLENMAX"|"METHOD"|"REEFFISH"|"REEF_REDUCED"|"HMS"|"ELASMOBRANCHII"|"SHARK"|"BATOIDEA"|"COMMENTS"|"GENUSSPECIES"|"RB_BIOCODE"|"CIU_BIOCODE"|"CIU_TAXONOMIC"|"ADD_DATE"|"END_DATE"|"DNCDN"|"CHK_REEFFISH"|"CHK_REEF_REDUCED"|"NEWADD"
|"228120500"|"228120500"|"NEMATOPALAEMON"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"NEMATOPALAEMO"||"228120500"|"NEMATOPALAEMON"||||||"N"
|"228120600"|"228120600"|"PERICLIMENES"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PERICLIMENES"||"228120600"|"PERICLIMENES"||||||"N"
|"228120601"|"228120601"|"PERICLIMENES AMERICANUS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PERICLIAMERIC"||"228120601"|"PERICLIMENES AMERICANUS"||||||"N"
|"228120602"|"228120602"|"PERICLIMENES BERMUDENSIS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PERICLIBERMUD"||"228120602"|"PERICLIMENES BERMUDENSIS"||||||"N"
|"228120603"|"228120603"|"PERICLIMENES IRIDESCENS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PERICLIIRIDES"||"228120603"|"PERICLIMENES IRIDESCENS"||||||"N"
|"228120700"|"228120700"|"TYPTON"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"TYPTON"||"228120700"|"TYPTON"||||||"N"
|"228120701"|"228120701"|"TYPTON PRIONURUS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"TYPTON PRIONU"||"228120701"|"TYPTON PRIONURUS"||||||"N"
|"228120800"|"228120800"|"PONTONIA"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PONTONIA"||"228120800"|"PONTONIA"||||||"N"
|"228120900"|"228120900"|"NEOPONTONIDES"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"NEOPONTONIDES"||"228120900"|"NEOPONTONIDES"||||||"N"
|"228121000"|"228121000"|"PALAEMONETES"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PALAEMONETES"||"228121000"|"PALAEMONETES"||||||"N"
|"228121001"|"228121001"|"PALAEMONETES PUGIO"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PALAEMOPUGIO"||"228121001"|"PALAEMONETES PUGIO"||||||"N"
|"228121002"|"228121002"|"PALAEMONETES VULGARIS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PALAEMOVULGAR"||"228121002"|"PALAEMONETES VULGARIS"||||||"N"
|"228121100"|"228121100"|"LEANDER"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"LEANDER"||"228121100"|"LEANDER"||||||"N"
|"228121101"|"228121101"|"LEANDER TENUICORNIS"|1|2|"I"|"Y"|"53"|"5"|"30"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"LEANDERTENUIC"||"228121101"|"LEANDER TENUICORNIS"||||||"N"
|"228121200"|"228121200"|"ANCHISTUS"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"ANCHISTUS"||"228121200"|"ANCHISTUS"||||||"N"
|"228130000"|"228130000"|"GNATHOPHYLLIDAE"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"GNATHOPHYLLID"||"228130000"|"GNATHOPHYLLIDAE"||||||"N"
|"228140000"|"228140000"|"PSALIDOPODIDAE"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PSALIDOPODIDA"||"228140000"|"PSALIDOPODIDAE"||||||"N"
|"228140100"|"228140100"|"PSALIDOPUS"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PSALIDOPUS"||"228140100"|"PSALIDOPUS"||||||"N"
|"228140101"|"228140101"|"PSALIDOPUS BARBOURI"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PSALIDOBARBOU"||"228140101"|"PSALIDOPUS BARBOURI"||||||"N"
|"228150000"|"228150000"|"ALPHEIDAE"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"ALPHEIDAE"||"228150000"|"ALPHEIDAE"||||||"N"
|"228150100"|"228150100"|"ALPHEUS"|1|2|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"ALPHEUS"||"228150100"|"ALPHEUS"||||||"N"
|"228150101"|"228150101"|"ALPHEUS ARMATUS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"ALPHEUSARMATU"||"228150101"|"ALPHEUS ARMATUS"||||||"N"
|"228150102"|"228150102"|"ALPHEUS FORMOSUS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"ALPHEUSFORMOS"||"228150102"|"ALPHEUS FORMOSUS"||||||"N"
|"228150103"|"228150103"|"ALPHEUS HETEROCHELIS"|1|2|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"ALPHEUSHETERO"||"228150103"|"ALPHEUS HETEROCHELIS"|8/1/2001 0:00:00|||||"N"
