"","taxon","species","genus","family","order","class","superclass","subphylum","phylum","kingdom","name","common"
"1","ACANTHEPHYRA PELAGICA","pelagica","Acanthephyra","Acanthephyridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Acanthephyra pelagica","scarlet shrimp"
"2","Acantholithodeshispidus","hispidus","Acantholithodes","Hapalogastridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Acantholithodes hispidus","spiny lithode crab"
"3","ACTINARIA",NA,NA,NA,"Actiniaria","Anthozoa",NA,NA,"Cnidaria","Animalia","Actiniaria spp.","anemones"
"4","Actiniaria",NA,NA,NA,"Actiniaria","Anthozoa",NA,NA,"Cnidaria","Animalia","Actiniaria spp.","anemones"
"5","Aforiacircinata","circinata","Aforia","Cochlespiridae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Aforia circinata","keeled aforia"
"6","Aforia circinata","circinata","Aforia","Cochlespiridae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia","Aforia circinata","keeled aforia"
"7","AGONUS DECAGONUS","decagonus","Leptagonus","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Leptagonus decagonus","Atlantic poacher"
"8","Albatrossiapectoralis","pectoralis","Albatrossia","Macrouridae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Albatrossia pectoralis","giant grenadier"
"9","ALEPOCEPHALUS BAIRDII","bairdii","Alepocephalus","Alepocephalidae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Alepocephalus bairdii","Baird's smoothhead"
"10","Allosmerus elongatus","elongatus","Allosmerus","Osmeridae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Allosmerus elongatus","whitebait smelt"
"11","Alosa aestivalis","aestivalis","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Alosa aestivalis","blueback herring"
"12","ALOSA PSEUDOHARENGUS","pseudoharengus","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Alosa pseudoharengus","alewife"
"13","Alosa pseudoharengus","pseudoharengus","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Alosa pseudoharengus","alewife"
"14","Alosa sapidissima","sapidissima","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Alosa sapidissima","American shad"
"15","Amblyraja radiata","radiata","Amblyraja","Rajidae","Rajiformes","Elasmobranchii","Pisces","Vertebrata","Chordata","Animalia","Amblyraja radiata","starry skate"
"16","AMBLYRAJA RADIATA","radiata","Amblyraja","Rajidae","Rajiformes","Elasmobranchii","Pisces","Vertebrata","Chordata","Animalia","Amblyraja radiata","starry skate"
"17","AMMODYTES DUBIUS","dubius","Ammodytes","Ammodytidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ammodytes dubius","northern sand lance"
"18","Ammodyteshexapterus","hexapterus","Ammodytes","Ammodytidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ammodytes hexapterus","Pacific sand lance"
"19","Ammodytes hexapterus","hexapterus","Ammodytes","Ammodytidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ammodytes hexapterus","Pacific sand lance"
"20","AMUSIUM PAPYRACEUM","papyraceum","Amusium","Pectinidae","Ostreoida","Bivalvia",NA,NA,"Mollusca","Animalia","Amusium papyraceum","paper scallop"
"21","ANARHICHAS DENTICULATUS","denticulatus","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anarhichas denticulatus","northern wolffish"
"22","ANARHICHAS LUPUS","lupus","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anarhichas lupus","Atlantic wolffish"
"23","Anarhichas lupus","lupus","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anarhichas lupus","Atlantic wolffish"
"24","ANARHICHAS MINOR","minor","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anarhichas minor","spotted wolffish"
"25","Anarhichasorientalis","orientalis","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anarhichas orientalis","Bering wolffish"
"26","Anarhichas orientalis","orientalis","Anarhichas","Anarhichadidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anarhichas orientalis","Bering wolffish"
"27","ANASIMUS LATUS","latus","Anasimus","Inachoididae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Anasimus latus","stilt spider crab"
"28","ANCHOA HEPSETUS","hepsetus","Anchoa","Engraulidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anchoa hepsetus","striped anchovy"
"29","ANCHOA MITCHILLI","mitchilli","Anchoa","Engraulidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anchoa mitchilli","bay anchovy"
"30","ANCYLOPSETTA DILECTA","dilecta","Ancylopsetta","Bothidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ancylopsetta dilecta","three-eye flounder"
"31","ANCYLOPSETTA QUADROCELLATA","ommata","Ancylopsetta","Bothidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ancylopsetta ommata","Gulf of Mexico ocellated flounder"
"32","Anoplopoma fimbria","fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anoplopoma fimbria","sablefish"
"33","Anoplopomafimbria","fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anoplopoma fimbria","sablefish"
"34","ANTENNARIUS RADIOSUS","radiosus","Antennarius","Antennariidae","Lophiiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Antennarius radiosus","singlespot frogfish"
"35","ANTIMORA ROSTRATA","rostrata","Antimora","Moridae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Antimora rostrata","blue hake"
"36","Aphroditidae",NA,NA,"Aphroditidae","Phyllodocida","Polychaeta",NA,NA,"Annelida","Animalia","Aphroditidae spp.","sea mice"
"37","Aplidiumsp.A(Clark2006)",NA,"Aplidium","Polyclinidae","Aplousobranchia","Ascidiacea",NA,"Tunicata","Chordata","Animalia","Aplidium spp.","ascidians"
"38","Aplidium sp. A (Clark 2006)",NA,"Aplidium","Polyclinidae","Aplousobranchia","Ascidiacea",NA,"Tunicata","Chordata","Animalia","Aplidium spp.","ascidians"
"39","Apristurus brunneus","brunneus","Apristurus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Pisces","Vertebrata","Chordata","Animalia","Apristurus brunneus","brown cat shark"
"40","Aptocyclusventricosus","ventricosus","Aptocyclus","Cyclopteridae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Aptocyclus ventricosus","smooth lumpsucker"
"41","ARGENTINA SILUS","silus","Argentina","Argentinidae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Argentina silus","Atlantic argentine"
"42","Argentina silus","silus","Argentina","Argentinidae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Argentina silus","Atlantic argentine"
