taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common
ACHOA MITCHILLI,mitchilli,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa mitchilli,bay anchovy
Anthoptilum grandiflorum,grandiflorum,Anthoptilum,Anthoptilidae,Pennatulacea,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Anthoptilum grandiflorum,sea pen
Astropecten californicus,verilli,Astropecten,Astropectinidae,Paxillosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Astropecten verilli,sea star
BAGRE MARIUS,marinus,Bagre,Ariidae,Siluriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bagre marinus,Gafftopsail catfish
BREVOORTIA PATROUS,patronus,Brevoortia,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Brevoortia patronus,Gulf menhaden
Balanus evermanni,evermanni,Chirona,Archaeobalanidae,Sessillia,Maxillopoda,NA,Crustacea,Arthropoda,Animalia,Chirona evermanni,barnacle
Bolinia euryptera,euryptera,Bolinia,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bolinia euryptera,sculpin
Brisaster latifrons,latifrons,Brisaster,Schizasteridae,Spatangoida,Echinoidea,NA,Echinozoa,Echinodermata,Animalia,Brisaster latifrons,sea urchin
CHRYSAORA QUIQUECIRRHA,quinquecirrha,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,NA,Cnidaria,Animalia,Chrysaora quiquecirrha,sea nettle
CYOSCIO,NA,Cynoscion,Sciaenidae,Perciformes,Actinopterygii,Gnathostomata,Vertebrata,Chordata,Animalia,Cynoscion spp.,drum
Ceramaster japonicus,japonicus,Ceramaster,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Ceramaster japonicus,red cookie star
Cheiraster dawsoni,dawsoni,Cheiraster,Benthopectinidae,Notomyotida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Cheiraster dawsoni,sea star
Colus halli,hallii,Colus,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Colus halli,snail
Colus spitzbergensis,brevicauda,Aulacofusus,Buccinidae,Neogastropoda,Gastropoda,Gas,NA,Mollusca,Animalia,Colus brevicauda,thick-ribbed whelk
Corallimorphus spp.,NA,Corallimorphus,Corallimorphidae,Corallimorpharia,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Corallimorphus spp.,false coral
Crossaster borealis,borealis,Crossaster,Solasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Crossaster borealis,grooved sun star
Cucumaria fallax,fallax,Cucumaria,Cucumariidae,Dendrochirotida,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Cucumaria fallax,sea cucumber
Diplopteraster multipes,multipes,Diplopteraster,Pterasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Diplopteraster multipes,cushion star
Dipsacaster borealis,borealis,Dipsacaster,Astropectinidae,Paxillosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Dipsacaster borealis,northern sand star
Dorididae,NA,NA,Dorididae,Nudibranchia,Gastropoda,NA,NA,Mollusca,Animalia,Dorididae spp.,nudibranch
Eunoe depressa,depressa,Eunoe,Polynoidae,Phyllodocida,Errantia,NA,Polychaeta,Annelida,Animalia,Eunoe depressa,polychaete worm
Eunoe nodosa,nodosa,Eunoe,Polynoidae,Phyllodocida,Errantia,NA,Polychaeta,Annelida,Animalia,Eunoe nodosa,polychaete worm
Evasterias echinosoma,echinosoma,Evasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Evasterias echinosoma,sea star
Evasterias troschelii,troschelii,Evasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Evasterias troschelii,mottled star
Flustra serrulata,serrulata,Flustra,Flustridae,Cheilostomata,Gymnolaemata,NA,NA,Bryozoa,Animalia,Flustra serrulata,bryozoan
GYMOTHORAX IGROMARGIATUS,nigromarginatus,Gymnothorax,Muraenidae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymothorax igromargiatus,blackedge moray
HILDEBRADIA FLAVA,flavus,Rhynchoconger,Congridae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Rhynchoconger flavus,yellow conger
Halocynthia aurantium,aurantium,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Chordata,Animalia,Halocynthia aurantium,sea peach
Halocynthia igaboja,igaboja,Halocynthia,Pyuridae,Stolidobranchia,Ascidiacea,NA,Tunicata,Chordata,Animalia,Halocynthia igaboja,bristly tunicate
Heterozonias alternatus,alternatus,Heterozonias,Solasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Heterozonias alternatus,sea star
Hexactinosida,NA,NA,NA,Hexactinosida,Hexactinellida,NA,NA,Porifera,Animalia,Hexactinosida spp.,sponge
Hippasteria californica,californica,Hippasteria,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Hippasteria californica,Californian spiny star
Hippasteria spinosa,spinosa,Hippasteria,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Hippasteria spinosa,spiny star
Hormathiidae,NA,NA,Hormathiidae,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Hormathiidae spp.,sea anemone
Invertebrata,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Invertebrata spp.,invertebrate
LIBIIA EMARGIATA,emarginata,Libinia,Epialtidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Libinia emarginata,portly spider crab
LUTJAUS CAMPECHAUS,campechanus,Lutjanus,Lutjanidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lutjanus campechanus,northern red snapper
LUTJAUS SYAGRIS,synagris,Lutjanus,Lutjanidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lutjanus synagris,lane snapper
Laqueus californianus,californianus,Laqueus,Laqueidae,Terebratulida,Rhynchonellata,NA,Rhynchonelliformea,Brachiopoda,Animalia,Laqueus californianus,California lamp shell
Leptasterias arctica,arctica,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Leptasterias arctica,sea star
Lethasterias nanimensis,nanimensis,Lethasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Lethasterias nanimensis,black spined star
