,taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common
,AASIMUS LATUS,,,,,,,,,,,
1,ACANTHEPHYRA PELAGICA,pelagica,Acanthephyra,Acanthephyridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acanthephyra pelagica,scarlet shrimp
,Acantholithodes hispidus,hispidus,Acantholithodes,Hapalogastridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acantholithodes hispidus,spiny lithode crab
2,Acantholithodeshispidus,hispidus,Acantholithodes,Hapalogastridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acantholithodes hispidus,spiny lithode crab
,ACHOA HEPSETUS,,,,,,,,,,,
,ACHOA MITCHILLI,,,,,,,,,,,
,ACTINARIA,NA,NA,NA,Actiniaria,Anthozoa,NA,NA,Cnidaria,Animalia,Actiniaria spp.,anemones
,Actinauge verrilli,,,,,,,,,,,
,Actiniaria,NA,NA,NA,Actiniaria,Anthozoa,NA,NA,Cnidaria,Animalia,Actiniaria spp.,anemones
,ACYLOPSETTA DILECTA,,,,,,,,,,,
,ACYLOPSETTA QUADROCELLATA,,,,,,,,,,,
,Aforia circinata,circinata,Aforia,Cochlespiridae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Aforia circinata,keeled aforia
,Aforiacircinata,circinata,Aforia,Cochlespiridae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Aforia circinata,keeled aforia
,Agonopsis vulsa,,,,,,,,,,,
,AGONUS DECAGONUS,decagonus,Leptagonus,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Leptagonus decagonus,Atlantic poacher
,Albatrossia pectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,giant grenadier
,Albatrossiapectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,giant grenadier
,ALEPOCEPHALUS BAIRDII,bairdii,Alepocephalus,Alepocephalidae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alepocephalus bairdii,Baird's smoothhead
,Allocentrotus fragilis,,,,,,,,,,,
,Allosmerus elongatus,elongatus,Allosmerus,Osmeridae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Allosmerus elongatus,whitebait smelt
,Alosa aestivalis,aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa aestivalis,blueback herring
,ALOSA AESTIVALIS,aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa aestivalis,blueback herring
,ALOSA PSEUDOHARENGUS,pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa pseudoharengus,alewife
,Alosa pseudoharengus,pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa pseudoharengus,alewife
,Alosa sapidissima,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad
,ALOSA SAPIDISSIMA,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad
,Amblyraja radiata,radiata,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Amblyraja radiata,starry skate
,AMBLYRAJA RADIATA,radiata,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Amblyraja radiata,starry skate
,AMMODYTES DUBIUS,dubius,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes dubius,northern sand lance
,Ammodytes hexapterus,hexapterus,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes hexapterus,Pacific sand lance
,Ammodyteshexapterus,hexapterus,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes hexapterus,Pacific sand lance
,AMUSIUM PAPYRACEUM,papyraceum,Amusium,Pectinidae,Ostreoida,Bivalvia,NA,NA,Mollusca,Animalia,Amusium papyraceum,paper scallop
,ANARHICHAS DENTICULATUS,denticulatus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas denticulatus,northern wolffish
,ANARHICHAS LUPUS,lupus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas lupus,Atlantic wolffish
,Anarhichas lupus,lupus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas lupus,Atlantic wolffish
,ANARHICHAS MINOR,minor,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas minor,spotted wolffish
,Anarhichas orientalis,orientalis,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas orientalis,Bering wolffish
,Anarhichasorientalis,orientalis,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas orientalis,Bering wolffish
,Anarrhichthys ocellatus,,,,,,,,,,,
,ANASIMUS LATUS,latus,Anasimus,Inachoididae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Anasimus latus,stilt spider crab
,ANCHOA HEPSETUS,hepsetus,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa hepsetus,striped anchovy
,ANCHOA MITCHILLI,mitchilli,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa mitchilli,bay anchovy
