"","taxon","spp","sppCorr","common.malin","common","taxLvl","species","genus","family","order","class","superclass","subphylum","phylum","kingdom"
"82","Asteroidea","Asteroidea","Asteroidea","sea stars","starfishes","Class",NA,NA,NA,NA,"Asteroidea",NA,"Asterozoa","Echinodermata","Animalia"
"83","Astropecten californicus","Astropecten californicus","Astropecten californicus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Atheresthes evermanni","Atheresthes evermanni","Atheresthes evermanni","","Kamchatka flounder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Atheresthes sp.","Atheresthes","Atheresthes","arrowtooth and Kamchatka flounders","Stillehavshellefisk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Atheresthes stomias","Atheresthes stomias","Atheresthes stomias","arrowtooth flounder","arrowtooth flounder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Atheresthessp",NA,NA,"arrowtooth and Kamchatka flounders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Atheresthessp.",NA,NA,"arrowtooth and Kamchatka flounders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Atheresthesstomias",NA,NA,"arrowtooth flounder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Aurelia spp.","Aurelia","Aurelia","moon jellies","Moon jellyfish","Genus",NA,"Aurelia","Ulmaridae","Semaeostomeae","Scyphozoa",NA,"Medusozoa","Cnidaria","Animalia"
"91","BAGRE MARIUS","Bagre marius","Bagre marina","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","BALISTES CAPRISCUS","Balistes capriscus","Balistes capriscus","gray triggerfish","grey triggerfish","Species","Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"93","BATHYLAGUS EURYOPS","Bathylagus euryops","Bathylagus euryops","goiter blacksmelt","goiter blacksmelt","Species","Bathylagus euryops","Bathylagus","Bathylagidae","Osmeriformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"94","BELLATOR MILITARIS","Bellator militaris","Bellator militaris","","horned searobin","Species","Bellator militaris","Bellator","Triglidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"95","BOLLMAIA COMMUIS","Bollmaia commuis","Bollmannia communis","","ragged goby","Species","Bollmannia communis","Bollmannia","Gobiidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"96","BOLLMANNIA COMMUNIS",NA,NA,"ragged goby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","BOREOGADUS SAIDA","Boreogadus saida","Boreogadus saida","Arctic cod","Arctic cod","Species","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"98","BREGMACEROS ATLANTICUS",NA,NA,"antenna codlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","BREGMACEROS ATLATICUS","Bregmaceros atlaticus","Bregmaceros atlanticus","","antenna codlet","Species","Bregmaceros atlanticus","Bregmaceros","Bregmacerotidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"100","BREVOORTIA PATRONUS",NA,NA,"Gulf menhaden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","BREVOORTIA PATROUS","Brevoortia patrous","Brevoortia petronus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","BROSME BROSME","Brosme brosme","Brosme brosme","cusk","cusk","Species","Brosme brosme","Brosme","Gadidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"103","BROTULA BARBATUM","Brotula barbatum","Brotula barbata","bearded brotula","bearded brotula","Species","Brotula barbata","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"104","BUCCINIDAE","Buccinidae","Buccinidae","true whelks","buccinum whelks","Family",NA,NA,"Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"105","Balanus evermanni","Balanus evermanni","Balanus evermanni","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Balanus sp.","Balanus","Balanus","","Barnacle","Genus",NA,"Balanus","Balanidae","Sessilia","Maxillopoda",NA,"Crustacea","Arthropoda","Animalia"
"107","Bathyagonus nigripinnis","Bathyagonus nigripinnis","Bathyagonus nigripinnis","","blackfin poacher","Species","Bathyagonus nigripinnis","Bathyagonus","Agonidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"108","Bathyagonus pentacanthus","Bathyagonus pentacanthus","Bathyagonus pentacanthus","","bigeye poacher","Species","Bathyagonus pentacanthus","Bathyagonus","Agonidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"109","Bathyagonusnigripinnis",NA,NA,"blackfin poacher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Bathymaster caeruleofasciatus","Bathymaster caeruleofasciatus","Bathymaster caeruleofasciatus","","Alaskan ronquil","Species","Bathymaster caeruleofasciatus","Bathymaster","Bathymasteridae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"111","Bathymaster signatus","Bathymaster signatus","Bathymaster signatus","searcher","searcher","Species","Bathymaster signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"112","Bathymastersignatus",NA,NA,"searcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Bathyplotes sp.","Bathyplotes","Bathyplotes","","svømmepølse","Genus",NA,"Bathyplotes","Synallactidae","Aspidochirotida","Holothuroidea",NA,"Echinozoa","Echinodermata","Animalia"
"114","Bathyraja aleutica","Bathyraja aleutica","Bathyraja aleutica","","Aleutian skate","Species","Bathyraja aleutica","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"115","Bathyraja interrupta","Bathyraja interrupta","Bathyraja interrupta","","sandpaper skate","Species","Bathyraja interrupta","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"116","Bathyraja maculata","Bathyraja maculata","Bathyraja maculata","","white-blotched skate","Species","Bathyraja maculata","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"117","Bathyraja parmifera","Bathyraja parmifera","Bathyraja parmifera","","Alaska skate","Species","Bathyraja parmifera","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"118","Bathyraja sp.","Bathyraja","Bathyraja","","roughtail skate","Genus",NA,"Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"119","Bathyraja taranetzi","Bathyraja taranetzi","Bathyraja taranetzi","","mud skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Bathyraja trachura","Bathyraja trachura","Bathyraja trachura","","roughtail skate","Species","Bathyraja trachura","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"121","Bathyrajasp",NA,NA,"bathyrajid skates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Bathyrajasp.",NA,NA,"bathyrajid skates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Benthoctopus leioderma","Benthoctopus leioderma","Benthoctopus leioderma","","smoothskin octopus","Species","Benthoctopus leioderma","Benthoctopus","Octopodidae","Octopoda","Cephalopoda",NA,NA,"Mollusca","Animalia"
"124","Benthoctopus spp.","Benthoctopus","Benthoctopus","","Octopus","Genus",NA,"Benthoctopus","Octopodidae","Octopoda","Cephalopoda",NA,NA,"Mollusca","Animalia"
"125","Beringius beringii","Beringius beringii","Beringius beringii","true whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Beringius kennicottii","Beringius kennicottii","Beringius kennicottii","","rotund whelk","Species","Beringius kennicottii","Beringius","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"127","Beringius sp.","Beringius","Beringius","true whelks","Turton's Neptune","Genus",NA,"Beringius","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"128","Beringiusberingii",NA,NA,"true whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Beringiussp.",NA,NA,"true whelks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Berryteuthis magister","Berryteuthis magister","Berryteuthis magister","magister armhook squid","magister armhook squid","Species","Berryteuthis magister","Berryteuthis","Gonatidae","Teuthida","Cephalopoda",NA,NA,"Mollusca","Animalia"
"131","Berryteuthismagister",NA,NA,"magister armhook squid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Bivalvia","Bivalvia","Bivalvia","bivalves","bivalves","Class",NA,NA,NA,NA,"Bivalvia",NA,NA,"Mollusca","Animalia"
"133","Bolinia euryptera","Bolinia euryptera","Bolinia euryptera","",NA,"Species","Bolinia euryptera","Bolinia","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"134","Boltenia ovifera","Boltenia ovifera","Boltenia ovifera","","stalked sea squirt","Species","Boltenia ovifera","Boltenia","Pyuridae","Pleurogona","Ascidiacea",NA,"Urochordata","Chordata","Animalia"
"135","Boltenia sp.","Boltenia","Boltenia","","Kaktussøpung","Genus",NA,"Boltenia","Pyuridae","Pleurogona","Ascidiacea",NA,"Urochordata","Chordata","Animalia"
"136","Boreogadus saida","Boreogadus saida","Boreogadus saida","Arctic cod","Arctic cod","Species","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"137","Bothrocara pusillum","Bothrocara pusillum","Bothrocara pusillum","","Alaska eelpout","Species","Bothrocara pusillum","Bothrocara","Zoarcidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"138","Brachiopoda","Brachiopoda","Brachiopoda","bivalve coelomates","lampshells","Phylum",NA,NA,NA,NA,NA,NA,NA,"Brachiopoda","Animalia"
