"","taxon","spp","sppCorr","common.malin","common","taxLvl","species","genus","family","order","class","superclass","subphylum","phylum","kingdom"
"139","Brisaster latifrons","Brisaster latifrons","Brisaster latifrons","",NA,"Species","Brisaster latifrons","Brisaster","Schizasteridae","Spatangoida","Echinoidea",NA,"Echinozoa","Echinodermata","Animalia"
"140","Brisaster spp.","Brisaster","Brisaster","","dypvannssjømus","Genus",NA,"Brisaster","Schizasteridae","Spatangoida","Echinoidea",NA,"Echinozoa","Echinodermata","Animalia"
"141","Brosme brosme",NA,NA,"cusk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Bryozoa","Bryozoa","Bryozoa","bryozoan shrimp","bryozoans","Phylum",NA,NA,NA,NA,NA,NA,NA,"Bryozoa","Animalia"
"143","Bryozoichthys marjorius","Bryozoichthys marjorius","Bryozoichthys marjorius","","pearly prickleback","Species","Bryozoichthys marjorius","Bryozoichthys","Stichaeidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"144","Buccinum angulosum","Buccinum angulosum","Buccinum angulosum","","angular whelk","Species","Buccinum angulosum","Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"145","Buccinum plectrum","Buccinum plectrum","Buccinum plectrum","sinuous whelk","sinuous whelk","Species","Buccinum plectrum","Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"146","Buccinum polare","Buccinum polare","Buccinum polare","","polar whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Buccinum scalariforme","Buccinum scalariforme","Buccinum scalariforme","","ladder whelk","Species","Buccinum scalariforme","Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"148","Buccinum sp.","Buccinum","Buccinum","true whelks","buccins","Genus",NA,"Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"149","Buccinum spp.","Buccinum","Buccinum","true whelks","buccins","Genus",NA,"Buccinum","Buccinidae","Neogastropoda","Gastropoda",NA,NA,"Mollusca","Animalia"
"150","Buccinumplectrum",NA,NA,"sinuous whelk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Buccinumsp.",NA,NA,"true whelks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","CALAPPA SULCATA","Calappa sulcata","Calappa sulcata","yellow box crab","yellow box crab","Species","Calappa sulcata","Calappa","Calappidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"153","CALLIECTES SAPIDUS","Calliectes sapidus","Callinectes sapidus","blue crab","blue crab","Species","Callinectes sapidus","Callinectes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"154","CALLIECTES SIMILIS","Calliectes similis","Callinectes similis","lesser blue crab","lesser blue crab","Species","Callinectes similis","Callinectes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"155","CALLINECTES SAPIDUS","Callinectes sapidus","Callinectes sapidus","blue crab","blue crab","Species","Callinectes sapidus","Callinectes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"156","CALLINECTES SIMILIS","Callinectes similis","Callinectes similis","lesser blue crab","lesser blue crab","Species","Callinectes similis","Callinectes","Portunidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"157","CANCER BOREALIS","Cancer borealis","Cancer borealis","","Jonah crab","Species","Cancer borealis","Cancer","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"158","CANCER IRRORATUS","Cancer irroratus","Cancer irroratus","","Atlantic rock crab","Species","Cancer irroratus","Cancer","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"159","CARANX CRYSOS","Caranx crysos","Caranx crysos","blue runner","blue runner","Species","Caranx crysos","Caranx","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"160","CARAX CRYSOS","Carax crysos","Caranx crysos","","blue runner","Species","Caranx crysos","Caranx","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"161","CAULOLATILUS INTERMEDIUS",NA,NA,"anchor tilefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","CAULOLATILUS ITERMEDIUS","Caulolatilus itermedius","Caulolatilus intermedius","","Gulf bareye tilefish","Species","Caulolatilus intermedius","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"163","CENTROPRISTIS PHILADELPHICUS",NA,NA,"rock sea bass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","CENTROPRISTIS STRIATA","Centropristis striata","Centropristis striata","","black seabass","Species","Centropristis striata","Centropristis","Serranidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"165","CENTROSCYLLIUM FABRICII","Centroscyllium fabricii","Centroscyllium fabricii","black dogfish","black dogfish","Species","Centroscyllium fabricii","Centroscyllium","Etmopteridae","Squaliformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"166","CEPHALOPODA","Cephalopoda","Cephalopoda","octopuses","cephalopods","Class",NA,NA,NA,NA,"Cephalopoda",NA,NA,"Mollusca","Animalia"
"167","CETROPRISTIS PHILADELPHICUS","Cetropristis philadelphicus","Centropristis philadelphica","","rock sea bass","Species","Centropristis philadelphica","Centropristis","Serranidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"168","CHAETODIPTERUS FABER","Chaetodipterus faber","Chaetodipterus faber","Atlantic spadefish","Atlantic spadefish","Species","Chaetodipterus faber","Chaetodipterus","Ephippidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"169","CHAULIODUS SLOANI","Chauliodus sloani","Chauliodus sloani","Sloane's viperfish","Sloane's viperfish","Species","Chauliodus sloani","Chauliodus","Stomiidae","Stomiiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"170","CHIASMODON NIGER","Chiasmodon niger","Chiasmodon niger","black swallower","black swallower","Species","Chiasmodon niger","Chiasmodon","Chiasmodontidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"171","CHILOMYCTERUS SCHOEPFI","Chilomycterus schoepfi","Chilomycterus schoepfi","","striped burrfish","Species","Chilomycterus schoepfii","Chilomycterus","Diodontidae","Tetraodontiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"172","CHIONOECETES OPILIO","Chionoecetes opilio","Chionoecetes opilio","snow crab","snow crab","Species","Chionoecetes opilio","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"173","CHLAMYS ISLANDICA","Chlamys islandica","Chlamys islandica","Iceland scallop","Iceland scallop","Species","Chlamys islandica","Chlamys","Pectinidae","Ostreoida","Bivalvia",NA,NA,"Mollusca","Animalia"
"174","CHLOROSCOMBRUS CHRYSURUS","Chloroscombrus chrysurus","Chloroscombrus chrysurus","Atlantic bumper","Atlantic bumper","Species","Chloroscombrus chrysurus","Chloroscombrus","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"175","CHRYSAORA QUIQUECIRRHA","Chrysaora quiquecirrha","Chrysaora quinquechirrha","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","CITHARICHTHYS ARCTIFRONS","Citharichthys arctifrons","Citharichthys arctifrons","","Gulf Stream flounder","Species","Citharichthys arctifrons","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"177","CITHARICHTHYS MACROPS","Citharichthys macrops","Citharichthys macrops","spotted whiff","spotted whiff","Species","Citharichthys macrops","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"178","CITHARICHTHYS SPILOPTERUS","Citharichthys spilopterus","Citharichthys spilopterus","bay whiff","bay whiff","Species","Citharichthys spilopterus","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"179","CLUPEA HARENGUS","Clupea harengus","Clupea harengus","Atlantic herring","Atlantic herring","Species","Clupea harengus","Clupea","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"180","COODO OBILIS","Coodo obilis","Conodon nobilis","","barred grunt","Species","Conodon nobilis","Conodon","Haemulidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"181","CORYPHAENOIDES RUPESTRIS","Coryphaenoides rupestris","Coryphaenoides rupestris","rock grenadier","roundnose grenadier","Species","Coryphaenoides rupestris","Coryphaenoides","Macrouridae","Gadiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"182","COTTUNCULUS MICROPS","Cottunculus microps","Cottunculus microps","polar sculpin","Arctic sculpin","Species","Cottunculus microps","Cottunculus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"183","CRUSTACEA SHRIMP","Crustacea shrimp","Crustacea","","crustaceans","Subphylum",NA,NA,NA,NA,NA,NA,"Crustacea","Arthropoda","Animalia"
"184","CRYPTACANTHODES MACULATUS","Cryptacanthodes maculatus","Cryptacanthodes maculatus","wrymouth","wrymouth","Species","Cryptacanthodes maculatus","Cryptacanthodes","Cryptacanthodidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"185","CYCLOPSETTA CHITTEDEI","Cyclopsetta chittedei","Cyclopsetta chittendeni","","Mexican flounder","Species","Cyclopsetta chittendeni","Cyclopsetta","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"186","CYCLOPSETTA CHITTENDENI",NA,NA,"Mexican flounder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","CYCLOPTERUS LUMPUS","Cyclopterus lumpus","Cyclopterus lumpus","lumpfish","lumpfish","Species","Cyclopterus lumpus","Cyclopterus","Cyclopteridae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"188","CYNOSCION",NA,NA,"weakfishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","CYOSCIO","Cyoscio",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","CYOSCIO AREARIUS","Cyoscio arearius","Cynoscion arenarius","","sand weakfish","Species","Cynoscion arenarius","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"191","CYOSCIO OTHUS","Cyoscio othus","Cynoscion nothus","","silver seatrout","Species","Cynoscion nothus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"192","Calinaticina oldroydii","Calinaticina oldroydii","Calinaticina oldroydii","","Oldroyd's Fragile Moon Snail","Species","Calinaticina oldroydii","Calinaticina","Naticidae","Neotaenioglossa","Gastropoda",NA,NA,"Mollusca","Animalia"
"193","Cancer magister","Cancer magister","Cancer magister","dungeness crab","Dungeness crab","Species","Cancer magister","Cancer","Cancridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
