"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"ABLENNES HIANS"	68	165548	"FLAT NEEDLEFISH"	"(Valenciennes, 1846)"
"MERLUCCIUS ALBIDUS"	69	164793	"OFFSHORE HAKE"	"(Mitchill, 1818)"
"GADELLA IMBERBIS"	70	550669	"BEARDLESS CODLING"	"(Vaillant, 1888)"
"MERLUCCIUS BILINEARIS"	72	164791	"SILVER HAKE"	"(Mitchill, 1814)"
"GADUS MORHUA"	73	164712	"ATLANTIC COD"	"Linnaeus, 1758"
"MELANOGRAMMUS AEGLEFINUS"	74	164744	"HADDOCK"	"(Linnaeus, 1758)"
"POLLACHIUS VIRENS"	75	164727	"POLLOCK"	"(Linnaeus, 1758)"
"UROPHYCIS TENUIS"	76	164732	"WHITE HAKE"	"(Mitchill, 1814)"
"UROPHYCIS CHUSS"	77	164730	"RED HAKE"	"(Walbaum, 1792)"
"UROPHYCIS REGIA"	78	164731	"SPOTTED HAKE"	"(Walbaum, 1792)"
"UROPHYCIS CHESTERI"	79	164733	"LONGFIN HAKE"	"(Goode and Bean, 1878)"
"GADIDAE"	80	164701	"HAKE UNCL"	"Rafinesque, 1810"
"ANTIMORA ROSTRATA"	81	164672	"BLUE HAKE"	"(Guenther, 1878)"
"PHYSICULUS FULVUS"	82	550838	"METALLIC CODLING"	"Bean, 1885"
"ENCHELYOPUS CIMBRIUS"	83	164748	"FOURBEARD ROCKLING"	"(Linnaeus, 1776)"
"BROSME BROSME"	84	164740	"CUSK"	"(Ascanius, 1772)"
"GAIDROPSARUS ENSIS"	85	164769	"THREEBEARD ROCKLING"	"(Reinhardt, 1837)"
"MERLUCCIUS "	86	164790	"HAKES"	NA
"UROPHYCIS "	87	164729	"CODLINGS"	NA
"MORIDAE"	88	164670	"MORA UNCL"	"Moreau, 1881"
"MACROURIDAE"	90	165332	"GRENADIER UNCL"	"Gilbert and Hubbs, 1916"
"NEZUMIA BAIRDII "	91	165395	"MARLIN-SPIKE"	NA
"MACROURUS BERGLAX"	92	165421	"ROUGHHEAD GRENADIER"	"Lacepede, 1810"
"CAELORINCHUS CAELORHINCUS CARMINATUS "	93	623199	"LONGNOSE GRENADIER"	NA
"POECILOPSETTA BEANI"	98	172938	"DEEPWATER DAB"	NA
"REINHARDTIUS HIPPOGLOSSOIDES"	99	172930	"GREENLAND HALIBUT"	"(Walbaum, 1792)"
"PLEURONECTIFORMES"	100	172702	"FLOUNDER UNCL"	NA
"HIPPOGLOSSUS HIPPOGLOSSUS"	101	172933	"ATLANTIC HALIBUT"	"(Linnaeus, 1758)"
"HIPPOGLOSSOIDES PLATESSOIDES"	102	172877	"AMERICAN PLAICE"	"(Fabricius, 1780)"
"PARALICHTHYS DENTATUS"	103	172735	"SUMMER FLOUNDER"	"(Linnaeus, 1766)"
"PARALICHTHYS OBLONGUS"	104	172739	"FOURSPOT FLOUNDER"	"(Mitchill, 1815)"
"LIMANDA FERRUGINEA "	105	172909	"YELLOWTAIL FLOUNDER"	NA
"PSEUDOPLEURONECTES AMERICANUS "	106	172905	"WINTER FLOUNDER"	NA
"GLYPTOCEPHALUS CYNOGLOSSUS"	107	172873	"WITCH FLOUNDER"	"(Linnaeus, 1758)"
"SCOPHTHALMUS AQUOSUS"	108	172746	"WINDOWPANE"	"(Mitchill, 1815)"
"CITHARICHTHYS ARCTIFRONS"	109	172719	"GULF STREAM FLOUNDER"	"Goode, 1880"
"MONOLENE SESSILICAUDA"	110	172789	"DEEPWATER FLOUNDER"	"Goode, 1880"
"MACRORHAMPHOSUS SCOLOPAX"	111	166423	"LONGSPINE SNIPEFISH"	"(Linnaeus, 1758) (syn)"
"ZENOPSIS CONCHIFERA"	112	166284	"BUCKLER DORY"	"(Lowe, 1852)"
"MENIDIA MENIDIA"	113	165994	"ATLANTIC SILVERSIDE"	"(Linnaeus, 1766)"
"SYNAGROPS BELLUS"	114	168335	"BLACKMOUTH BASS"	"Goode and Bean, 1896)"
"GASTEROSTEUS ACULEATUS"	115	166365	"THREESPINE STICKLEBACK"	"Linnaeus, 1758"
"SYNGNATHUS FUSCUS"	116	166451	"NORTHERN PIPEFISH"	"Storer, 1839"
"ETROPUS MICROSTOMUS"	117	172730	"SMALLMOUTH FLOUNDER"	"(Gill, 1864)"
"TRINECTES MACULATUS"	118	172982	"HOGCHOKER"	"(Bloch and Schneider, 1801)"
"AULOSTOMUS MACULATUS"	119	166411	"TRUMPETFISH"	"Valenciennes, 1845"
"FISTULARIA TABACARIA"	120	166416	"BLUESPOTTED CORNETFISH"	"Linnaeus, 1758"
"SCOMBER SCOMBRUS"	121	172414	"ATLANTIC MACKEREL"	"Linnaeus, 1758"
"SARDA SARDA"	123	172409	"ATLANTIC BONITO"	"(Bloch, 1793)"
"SCOMBER JAPONICUS"	124	172412	"CHUB MACKEREL"	"Houttuyn, 1782"
"ACANTHOCYBIUM SOLANDRI"	125	172451	"WAHOO"	"(Cuvier, 1831)"
"TRICHIURUS LEPTURUS"	126	172385	"ATLANTIC CUTLASSFISH"	"Linnaeus, 1758"
"PROMETHICHTHYS PROMETHEUS"	127	172374	"CONEJO"	"(Cuvier, 1832)"
"KATSUWONUS PELAMIS"	128	172401	"SKIPJACK TUNA"	"(Linnaeus, 1758)"
"CARANX CRYSOS"	129	168612	"BLUE RUNNER"	"(Mitchill, 1815)"
"TARACTICHTHYS LONGIPINNIS "	130	170311	"BIGSCALE POMFRET"	NA
"PEPRILUS TRIACANTHUS"	131	172567	"BUTTERFISH"	"(Peck, 1804)"
"SELENE SETAPINNIS"	132	168684	"ATLANTIC MOONFISH"	"(Mitchill, 1815)"
"SELENE VOMER"	133	168680	"LOOKDOWN"	"(Linnaeus, 1758)"
"PRIACANTHUS ARENATUS"	134	168178	"BIGEYE"	"Cuvier, 1829"
"POMATOMUS SALTATRIX"	135	168559	"BLUEFISH"	"(Linnaeus, 1766)"
"MICROPOGONIAS UNDULATUS"	136	169283	"ATLANTIC CROAKER"	"(Linnaeus, 1766)"
"SYNAGROPS SPINOSUS"	137	168337	"KEELCHEEK BASS"	"Schultz, 1940"
"APOGONIDAE"	138	168196	"CARDINALFISH UNCL"	NA
"MORONE SAXATILIS"	139	167680	"STRIPED BASS"	"(Walbaum in Artedi, 1792)"
"MORONE AMERICANA"	140	167678	"WHITE PERCH"	"(Gmelin in Linnaeus, 1789)"
"CENTROPRISTIS STRIATA"	141	167687	"BLACK SEA BASS"	"(Linnaeus, 1758)"
"ORTHOPRISTIS CHRYSOPTERA"	142	169077	"PIGFISH"	"(Linnaeus, 1766)"
"STENOTOMUS CHRYSOPS"	143	169182	"SCUP"	"(Linnaeus, 1766)"
"EPIGONUS PANDIONIS"	144	168297	NA	NA
"CYNOSCION REGALIS"	145	169241	"WEAKFISH"	"(Bloch and Schneider, 1801)"
"MENTICIRRHUS SAXATILIS"	146	169276	"NORTHERN KINGFISH"	"(Bloch and Schneider, 1801)"
"POGONIAS CROMIS"	147	169288	"BLACK DRUM"	"(Linnaeus, 1766)"
"BAIRDIELLA CHRYSOURA"	148	169259	"SILVER PERCH"	"(Lacepede, 1802)"
"LEIOSTOMUS XANTHURUS"	149	169267	"SPOT"	"Lacepede, 1802"
"HOWELLA SHERBORNI "	150	168333	"SHERBORN'S CARDINALFISH"	NA
"LOPHOLATILUS CHAMAELEONTICEPS"	151	168546	"TILEFISH"	"Goode and Bean, 1879"
"PONTINUS LONGISPINIS"	154	166801	"LONGSPINE SCORPIONFISH"	"Goode and Bean, 1896"
"SEBASTES FASCIATUS"	155	166774	"ACADIAN REDFISH"	"Storer, 1854"
"HELICOLENUS DACTYLOPTERUS"	156	166787	"BLACKBELLY ROSEFISH"	"(Delaroche, 1809)"
"ANTIGONIA CAPROS"	158	166311	"DEEPBODY BOARFISH"	"Lowe, 1843"
"ARTEDIELLUS "	159	167201	"HOOKEAR SCULPINS"	NA
"COTTIDAE"	160	167196	"SCULPIN UNCL"	NA
"TRIGLOPS MURRAYI"	161	167375	"MOUSTACHE SCULPIN"	"Guenther, 1888"
"MYOXOCEPHALUS SCORPIUS"	162	167318	"SHORTHORN SCULPIN"	"(Linnaeus, 1758)"
"MYOXOCEPHALUS OCTODECEMSPINOSUS"	163	167320	"LONGHORN SCULPIN"	"(Mitchill, 1814)"
"HEMITRIPTERUS AMERICANUS"	164	167289	"SEA RAVEN"	"(Gmelin, 1789)"
