"Key1","TAXONOMIC","CODE","TAXONSIZECODE","isactive","common_name","tsn","tsn_accepted",
311,"AMERICARDIA MEDIA","335290201",,"-1","Atlantic strawberry-cockle",80920,80920
312,"AMESODESMA","335360100",,"-1",,,
313,"AMIANTIS","335641700",,"-1",,81611,81611
314,"AMIANTIS CALLOSA","335641702",,"-1","white venus",81612,81612
315,"AMIANTIS PURPURATA","335641701",,"-1",,,
316,"AMIIFORMES","118000000",,"-1","bowfin",161100,161100
317,"AMMOCHARIDAE","650050000",,"-1",,,
318,"AMMODYTES","170630100",,"-1","sand lances",171671,171671
319,"AMMODYTES AMERICANUS","170630101",,"-1","American sand lance",171673,171673
320,"AMMODYTES DUBIUS","170630102",,"-1","northern sand lance",171674,171674
321,"AMMODYTES HEXAPTERUS","170630103",,"-1","Pacific sand lance",171672,171672
322,"AMMODYTES IMMACULATUS","170630104",,"-1",,171675,171683
323,"AMMODYTIDAE","170630000",,"-1","sand lances",171670,171670
324,"AMMONITELLIDAE","322550000",,"-1",,77415,77415
325,"AMMONOIDEA","342000000",,"-1",,,
326,"AMMOTHEIDAE","663010000",,"-1",,83572,83572
327,"AMORIA","308140100",,"-1",,,
328,"AMPHARETIDAE","650150000",,"-1",,67718,67718
329,"AMPHELIKTURUS","151060100",,"-1",,166509,166613
330,"AMPHELIKTURUS DENDRITICUS","151060101",,"-1","pipehorse",166510,166616
331,"AMPHIBOLIDAE","321030000",,"-1",,76452,76452
332,"AMPHIBULMIDAE","322340000",,"-1",,,
333,"AMPHICHTHYS","193010900",,"-1",,164427,164427
334,"AMPHICHTHYS CRYPTOCENTRUS","193010901",,"-1","sapo bocon",164428,164428
335,"AMPHICOELA","508000000",,"-1",,,
336,"AMPHICTENIDAE","650160000",,"-1",,67693,67692
337,"AMPHIDESMA","335480100",,"-1",,81291,81290
338,"AMPHILEPIDA","335130100",,"-1",,,
339,"AMPHILINIDAE","629010000",,"-1",,57401,57401
340,"AMPHILOTHALIACEAE","767010000",,"-1",,,
341,"AMPHINEURA","301000000",,"-1",,78809,78807
342,"AMPHINOMIDAE","649110000",,"-1",,65164,65164
343,"AMPHIOXIFORMES","101000000",,"-1",,685568,685568
344,"AMPHIPODA","224000000",,"-1","amphipods",93294,93294
345,"AMPHISOLENIACEAE","764020000",,"-1",,9922,9922
346,"AMPHISSA","308030100",,"-1",,73534,73534
347,"AMPHISSA HALIAEETI","308030101",,"-1","atlantic amphissa",73537,73537
348,"AMPHITHALAMUS","307200500",,"-1",,73200,73200
349,"AMPHITHALAMUS VALLEI","307200501",,"-1",,73203,73203
350,"AMPHITHOIDAE","224100000",,"-1",,,
351,"AMPHITRETIDAE","350090000",,"-1",,82685,82685
352,"AMPHITRETUS","350090100",,"-1",,555808,555808
353,"AMPHIURIDAE","692010000",,"-1",,157646,157646
354,"AMPHOTISTIUS","110050100",,"-1",,160948,160947
355,"AMPITHOE","224100100",,"-1",,93409,93409
356,"AMPITHOE RAMONDI","224100101",,"-1",,202810,202810
357,"AMPULLARIIDAE","307070000",,"-1",,70341,70341
358,"AMUSIUM","330234400",,"-1",,79730,79730
359,"AMUSIUM DALLI","330234401",,"-1",,,
360,"AMUSIUM PAPYRACEUM","330234402","12","-1","paper scallop",79731,79731
361,"AMYGDALUM","329010400",,"-1",,79528,79528
362,"AMYGDALUM DENDRITICUM","329010401",,"-1",,79531,79531
363,"AMYGDALUM PAPYRIUM","329010402",,"-1","Atlantic papermussel",79529,79529
364,"AMYGDALUM POLITUM","329010403",,"-1","polished papermussel",79532,79532
365,"AMYGDALUM SAGITTATUM","329010404",,"-1","arrow papermussel",79530,79530
366,"ANABATRON","307200800",,"-1",,,
367,"ANACANTHOBATIDAE","110100000",,"-1","leg skates",649688,649688
368,"ANACANTHOBATIS AMERICANUS","110100201",,"-1","American leg skate",160904,160904
369,"ANACANTHOBATIS LONGIROSTRIS","110100202","22","-1","longnose leg skate",160905,160905
370,"ANACHIS","308030200",,"-1",,73616,73616
371,"ANACHIS AVARA","308030201",,"-1","greedy dovesnail",73617,73617
372,"ANACHIS CATENATA","308030205",,"-1","chain dovesnail",73629,73629
373,"ANACHIS FLORIDANA","308030206",,"-1","florida dovesnail",73632,73632
374,"ANACHIS HOSTESSIERIANA","308030209",,"-1",,,
375,"ANACHIS OBESA","308030203",,"-1","fat dovesnail",73622,73622
376,"ANACHIS PULCHELLA","308030208",,"-1","beautiful dovesnail",73652,73652
377,"ANACHIS SEMIPLICATA","308030207",,"-1","gulf dovesnail",73661,73661
378,"ANACHIS SPARSA","308030204",,"-1","sparse dovesnail",73634,73634
379,"ANACHIS TRANSLIRATA","308030202",,"-1",,73621,73621
380,"ANACROGYNACEAF","904010000",,"-1",,,
381,"ANADARA","328043600",,"-1",,79337,79337
382,"ANADARA BAUGHMANI","328043602","11","-1","skewed ark",79351,79351
383,"ANADARA BRASILIANA","328043601",,"-1","incongruous ark",79348,79348
384,"ANADARA CHEMNITZI","328043603",,"-1",,,
385,"ANADARA FLORIDANA","328043605",,"-1","cut-ribbed ark",79356,79356
386,"ANADARA LIENOSA","328043604",,"-1",,79350,79350
387,"ANADARA NOTABILIS","328043606",,"-1","eared ark",79353,79353
388,"ANADARA OVALIS","328043607","11","-1","blood ark",79342,79342
389,"ANADARA TRANSVERSA","328043608","11","-1","transverse ark",79340,79340
390,"ANAPAGURUS","229050100",,"-1",,97856,97856
391,"ANAPAGURUS ANTILLENSIS","229050101",,"-1",,,
392,"ANARCHIAS","143060700",,"-1",,161161,161161
393,"ANARCHIAS YOSHIAE","143060701",,"-1","pygmy moray",161162,161169
394,"ANARHICHADIDAE","170660000",,"-1","wolffishes",171335,171335
395,"ANARICHAS","170660100",,"-1",,,
396,"ANARICHAS DENTICULATUS","170660101",,"-1",,,
397,"ANARICHAS LUPUS","170660102",,"-1",,,
398,"ANARICHAS MINOR","170660103",,"-1",,,
399,"ANASIMUS","229210600",,"-1",,98495,98495
400,"ANASIMUS LATUS","229210601","06","-1","stilt spider crab",98496,98496
401,"ANASPIDEA","316000000",,"-1",,78015,78015
402,"ANATINELLA","335350100",,"-1",,655974,655974
403,"ANATINELLIDAE","335350000",,"-1",,80991,80991
404,"ANCHISTIOIDES","228120100",,"-1",,96540,96540
405,"ANCHISTIOIDES ANTIGUENSIS","228120101",,"-1",,96541,96541
406,"ANCHISTUS","228121200",,"-1",,612165,612165
407,"ANCHOA","121060100",,"-1","common anchovies",161837,161837
408,"ANCHOA CAYORUM","121060109",,"-1","key anchovy",161846,161846
409,"ANCHOA CUBANA","121060104","01","-1","Cuban anchovy",161840,161840
410,"ANCHOA DUODECIM","121060110",,"-1","New Jersey anchovy",161849,551406
411,"ANCHOA HEPSETUS","121060101","01","-1","broad-striped anchovy",161838,161838
412,"ANCHOA LAMPROTAENIA","121060102","01","-1","big-eye anchovy",161841,161841
413,"ANCHOA LYOLEPIS","121060105","01","-1","dusky anchovy",161842,161842
414,"ANCHOA MITCHILLI","121060103","01","-1","bay anchovy",161839,161839
415,"ANCHOA NASUTA","121060106","01","-1","longnose anchovy",161843,161842
416,"ANCHOA SPINIFER","121060107",,"-1","spicule anchovy",161844,161844
417,"ANCHOA TRICOLOR","121060108",,"-1","piquitinga",161845,161845
418,"ANCHOROPHORIDAE","626090000",,"-1",,54989,54989
419,"ANCHOVIELLA","121060300",,"-1",,161853,161853
420,"ANCHOVIELLA LEPIDENTOSTOLE","121060303",,"-1","broadband anchovy",161856,161856
421,"ANCHOVIELLA PERFASCIATA","121060302","01","-1","flat anchovy",161857,161857
422,"ANCILLA","308110300",,"-1",,74288,74288
423,"ANCILLA GLABRATA","308110301",,"-1",,74289,74289
424,"ANCISTROCHIRUS","348030400",,"-1",,,
425,"ANCISTROTEUTHIS","348050300",,"-1",,82455,82455
426,"ANCISTROTEUTHIS LICHTENSTEINII","348050301",,"-1",,,
427,"ANCULA","319120200",,"-1",,78406,78406
428,"ANCULA EVELINAE","319120201",,"-1",,78410,78410
429,"ANCYLIDAE","321110000",,"-1",,76568,76568
430,"ANCYLOPSETTA","183012100",,"-1","ocellated flounders",172751,172751
431,"ANCYLOPSETTA ANTILLARUM","183012103",,"-1",,172752,172752
432,"ANCYLOPSETTA CYCLOIDEA","183012101",,"-1",,172753,172753
433,"ANCYLOPSETTA DILECTA","183012102","18","-1","three-eye flounder",172754,172754
434,"ANCYLOPSETTA KUMPERAE","183012104",,"-1",,172755,172755
435,"ANCYLOPSETTA MICROCTENUS","183012106",,"-1",,172756,172756
436,"ANCYLOPSETTA QUADROCELLATA","183012105","18","-1","ocellated flounder",172757,616601
437,"ANCYLUS","321110200",,"-1",,76580,76580
438,"ANDRANA","324030100",,"-1",,,
439,"ANDRANELLA","324030200",,"-1",,,
440,"ANDREAEALES","908000000",,"-1",,15744,15744
441,"ANGIOSPERMAE","941000000",,"-1","angiosperms",18062,18063
442,"ANGUILLA","143020100",,"-1","freshwater eels",161126,161126
443,"ANGUILLA ANGUILLA","143020102",,"-1","common eel",161128,161128
444,"ANGUILLA ROSTRATA","143020101","18","-1","American eel",161127,161127
445,"ANGUILLIDAE","143020000",,"-1","freshwater eels",161125,161125
446,"ANGUILLIFORMES","143000000",,"-1","eels",161123,161123
447,"ANGUIPECTEN","330231300",,"-1",,,
448,"ANGULUS","335440300",,"-1",,,
449,"ANICULUS","229050200",,"-1",,660083,660083
450,"ANISODORIS","319050600",,"-1",,78182,78182
451,"ANISODORIS PREA","319050602",,"-1",,78185,78185
452,"ANISODORIS WORKI","319050601",,"-1",,78184,78184
453,"ANISOPERNA","330110100",,"-1",,,
454,"ANISOTREMUS","170190100",,"-1","smallmouth grunts",169080,169080
455,"ANISOTREMUS CAESIUS","170190101",,"-1","silvergray grunt",169081,169081
456,"ANISOTREMUS DOVII","170190102",,"-1","blackbarred grunt",169082,169082
457,"ANISOTREMUS INTERRUPTUS","170190103",,"-1","burrito grunt",169083,169083
458,"ANISOTREMUS SURINAMENSIS","170190106","01","-1","black margate",169084,169084
459,"ANISOTREMUS TAENIATUS","170190104",,"-1","catalina",169085,169085
460,"ANISOTREMUS VIRGINICUS","170190105",,"-1","porkfish",169086,169086
461,"ANNACHLAMYS","330231400",,"-1",,,
462,"ANNELIDA","646000000",,"-1","annelids",64357,64357
463,"ANODONTIA","335020100",,"-1",,80432,80432
464,"ANODONTIA ALBA","335020101",,"-1","buttercup lucine",80434,80434
465,"ANODONTIA PHILLIPIANA","335020102",,"-1",,,
466,"ANODONTITES","332110200",,"-1",,,
467,"ANOMALOCARDIA","335643200",,"-1",,81602,81602
468,"ANOMALOCARDIA AUBERIANA","335643201",,"-1","pointed venus",81603,81603
469,"ANOMALOCARDIA BRASILIANA","335643202",,"-1","Carib pointed-venus",81605,81605
470,"ANOMALOCERA","210050200",,"-1",,86064,86064
471,"ANOMALOCERA CUNEIMERI","210050201",,"-1",,,
472,"ANOMALOCRANCHIA","348141500",,"-1",,555851,205730
473,"ANOMALODISCUS","335643300",,"-1",,,
474,"ANOMIA","330390100",,"-1",,79796,79796
475,"ANOMIA ACULEATA","330390101",,"-1",,79797,79799
476,"ANOMIA SIMPLEX","330390102",,"-1","common jingle",79798,79798
477,"ANOMIIDAE","330390000",,"-1",,79790,79790
478,"ANOMOCOELA","510000000",,"-1",,,
479,"ANOMOPTYCHIDAE","334080000",,"-1",,,
480,"ANOPLODACTYLUS","663020100",,"-1",,83640,83640
481,"ANOPLODACTYLUS LENTUS","663020101",,"-1",,83644,83644
482,"ANOPLOGASTER","161140100",,"-1",,166151,166151
483,"ANOPLOGASTER CORNUTUS","161140101",,"-1",,,
484,"ANOPLOGASTERIDAE","161140000",,"-1","fangtooth",166150,633879
485,"ANOPLURA","675000000",,"-1","sucking lice",103344,103344
486,"ANOPSIIDAE","317020000",,"-1",,78064,78113
487,"ANSERIFORMES","564000000",,"-1","Ducks",174982,174982
488,"ANTEDONIDAE","690010000",,"-1",,158574,158574
489,"ANTENNARIIDAE","195020000",,"-1","anglerfishes",164518,164518
490,"ANTENNARIUS","195020100",,"-1","frogfishes",164522,164522
491,"ANTENNARIUS AVALONIS","195020106",,"-1","roughjaw frogfish",164529,164529
492,"ANTENNARIUS MULTIOCELLATUS","195020104","18","-1","longlure frogfish",164523,164523
493,"ANTENNARIUS OCELLATUS","195020101","18","-1","ocellated frogfish",164524,164524
494,"ANTENNARIUS PAUCIRADIATUS","195020107",,"-1","dwarf frogfish",164530,164530
495,"ANTENNARIUS RADIOSUS","195020102","18","-1","big-eyed frogfish",164525,164525
496,"ANTENNARIUS SANGUINEUS","195020105",,"-1","bloody frogfish",164526,164526
497,"ANTENNARIUS STRIATUS","195020103","18","-1","striated frogfish",164556,164556
498,"ANTHENOIDES","691060500",,"-1",,157025,157025
499,"ANTHENOIDES PEIRCEI","691060501","15","-1",,,
500,"ANTHIAS","170026000",,"-1",,167769,167769
501,"ANTHIAS ASPERILINGUIS","170026001",,"-1",,167770,167770
502,"ANTHIAS NICHOLSI","170026002",,"-1","yellowfin bass",167771,167771
503,"ANTHIAS TENUIS","170026003",,"-1","threadnose bass",167772,167772
504,"ANTHIAS WOODSI","170026003",,"-1","swallowtail bass",167773,167773
505,"ANTHIINAE","999020300",,"-1",,167675,167675
506,"ANTHOCEROTALES","905000000",,"-1",,15650,15650
507,"ANTHOPTILIDAE","619140000",,"-1",,52362,52362
508,"ANTHOPTILUM","619140100",,"-1",,52363,52363
509,"ANTHOPTILUM AGASSIZII","619140101",,"-1",,,
510,"ANTHOTHELA","619120200",,"-1",,52094,52094
511,"ANTHOZOA","619000000",,"-1","água viva",51938,51938
512,"ANTHRACOSIIDAE","332020000",,"-1",,,
513,"ANTHROPOIDEA","432000000",,"-1",,,
514,"ANTHURIDAE","223010000",,"-1",,92144,92144
515,"ANTIGONA","335640100",,"-1",,,
516,"ANTIGONA LISTERI","335640101",,"-1",,81574,81573
517,"ANTIGONA RIGIDA","335640102",,"-1",,,
518,"ANTIGONA RUGATINA","335640103",,"-1",,,
519,"ANTIGONIA","162030100",,"-1","red boarfishes",166310,166310
520,"ANTIGONIA CAPROS","162030101","18","-1","deepbody boarfish",166311,166311
521,"ANTIGONIA COMBATIA","162030102","18","-1","shortspine boarfish",166312,166312
522,"ANTIGONIA RUBESCENS","162030103",,"-1","boarfish",166315,166315
523,"ANTILLOPHOS","308040100",,"-1",,73829,73829
524,"ANTILLOPHOS CANDEI","308040101","17","-1","beaded phos",73830,567233
525,"ANTIOPELLIDAE","319310000",,"-1",,78574,78574
526,"ANTIPATHIDAE","619420000",,"-1",,51941,51941
527,"ANTIPLEURIDAE","326030000",,"-1",,,
528,"AOROTREMA","307230600",,"-1",,71169,71169
529,"APELTES","150010200",,"-1","fourspine sticklebacks",166396,166396
530,"APELTES QUADRACUS","150010201",,"-1","bloody stickleback",166397,166397
531,"APHANIPTERA","688000000",,"-1",,,
532,"APHANOPUS","170460100",,"-1",,172388,172388
533,"APHANOPUS CARBO","170460101",,"-1","black scabbardfish",172389,172389
534,"APHELODORIS","319051000",,"-1",,78247,78247
535,"APHELODORIS ANTILLENSIS","319051001",,"-1",,78248,78248
536,"APHORRHAIDAE","307570000",,"-1",,,
537,"APHORRHAIS","307570100",,"-1",,,
538,"APHORRHAIS OCCIDENTALIS","307570101",,"-1",,,
539,"APHRODITA","649030100",,"-1",,64360,64360
540,"APHRODITA OBTECTA","649030101",,"-1",,,
541,"APHRODITIDAE","649030000",,"-1",,64359,64359
542,"APHYONIDAE","171040000",,"-1","aphyonids",165203,165203
543,"APHYONUS","171040200",,"-1",,164812,164812
544,"APHYONUS GELATINOSUS","171040201",,"-1",,164813,164813
545,"APIOCARDIA","335290300",,"-1",,,
546,"APIONICHTHYS","183020500",,"-1",,172994,172994
547,"APIONICHTHYS UNICOLOR","183020501",,"-1",,172995,172995
548,"APLACOPHORA","302000000",,"-1",,79056,205356
549,"APLATOPHIS","143150600",,"-1",,161573,161573
550,"APLATOPHIS CHAULIODUS","143150601","18","-1","tusky eel",161574,161574
551,"APLYSIA","316020100",,"-1",,78029,78029
552,"APLYSIA BADISTES","316020101",,"-1",,78039,78038
553,"APLYSIA BRASILIANA","316020103","25","-1","mottled seahare",78033,78033
554,"APLYSIA DACTYLOMELA","316020102",,"-1","spotted seahare",78035,78035
555,"APLYSIA DONCA","316020105",,"-1",,78040,78040
556,"APLYSIA JULIANA","316020106",,"-1","walking seahare",78038,78038
557,"APLYSIA MORIO","316020107","25","-1","sooty seahare",78031,78031
558,"APLYSIA WILLCOXI","316020104","25","-1",,78030,78033
559,"APLYSIIDAE","316020000",,"-1",,78022,78022
560,"APODOSIS","321040700",,"-1",,166118,567027
561,"APODOSIS NOVIMUNDI","321040701",,"-1",,166119,567771
562,"APOGON","170060200",,"-1","cardinalfishes",168197,168197
563,"APOGON AFFINIS","170060204","01","-1","bigtooth cardinalfish",168198,168198
564,"APOGON ALUTUS","170060212",,"-1",,168199,168285
565,"APOGON AMERICANUS","170060214",,"-1",,168200,168200
566,"APOGON AUROLINEATUS","170060201","01","-1","bridle cardinalfish",168201,168201
567,"APOGON BINOTATUS","170060202",,"-1","barred cardinalfish",168202,168202
568,"APOGON CONKLINI","170060213",,"-1",,168203,168309
569,"APOGON LACHNERI","170060209",,"-1","whitestar cardinalfish",168212,168212
570,"APOGON MACULATUS","170060203","01","-1","flamefish",168204,168204
571,"APOGON PHENAX","170060210",,"-1","mimic cardinalfish",168213,168213
572,"APOGON PIGMENTARIUS","170060205",,"-1",,168205,168311
573,"APOGON PILLIONATUS","170060215",,"-1","broadsaddle cardinalfish",168214,168214
574,"APOGON PLANIFRONS","170060206",,"-1","pale cardinalfish",168206,168206
575,"APOGON PSEUDOMACULATUS","170060207","01","-1","twospot cardinalfish",168207,168207
576,"APOGON QUADRISQUAMATUS","170060208",,"-1","sawcheek cardinalfish",168208,168208
577,"APOGON TOWNSENDI","170060211",,"-1","belted cardinalfish",168210,168210
578,"APOGONIDAE","170060000",,"-1","cardinalfishes",168196,168196
579,"APOLYMETIS","335440400",,"-1",,,
580,"APOLYMETIS INTASTRIATA","335440401",,"-1",,81234,81233
581,"APONOGETONACEAE","943050000",,"-1",,38978,38978
582,"APRISTURUS","108010100",,"-1","demon cat sharks",159987,159987
583,"APRISTURUS CANUTUS","108010104",,"-1","hoary cat shark",160005,160005
584,"APRISTURUS INDICUS","108010101",,"-1","smallbelly cat shark",159990,159990
585,"APRISTURUS LAURUSSONI","108010105",,"-1",,649713,159992
586,"APRISTURUS MANIS","108010106",,"-1","ghost cat shark",160014,160014
587,"APRISTURUS MICROPS","108010107",,"-1","smalleye cat shark",160016,160016
588,"APRISTURUS PARVIPINNIS","108010108",,"-1","smallfin cat shark",160003,160003
589,"APRISTURUS PROFUNDORUM","108010102",,"-1","deepwater cat shark",159994,159994
590,"APRISTURUS RIVERI","108010103",,"-1","broadgill cat shark",159996,159996
591,"APSILINAE","999021300",,"-1",,643063,643063
592,"APSILUS","170150300",,"-1",,168898,168898
593,"APSILUS DENTATUS","170150301",,"-1","black snapper",168899,168899
594,"APTERICHTUS","143152100",,"-1",,161531,161531
595,"APTERICHTUS ANSP","143152101",,"-1","academy eel",161534,161534
596,"APTERYGIFORMES","555000000",,"-1",,174391,174391
