STRATUM,Areanmi2
1030,566
1020,2078
1010,2516
1040,188
1080,230
1070,514
1110,622
1060,2554
1140,656
1100,2722
1150,230
1130,2374
1050,1475
1090,1522
1170,360
1180,172
1160,2980
1230,1016
1200,1221
1190,2454
1240,2569
1250,390
1290,3245
1210,424
1220,454
1260,1014
1310,2185
1280,2249
1300,619
1320,655
1370,2108
1400,578
1360,4069
1270,720
1380,2560
1340,1766
1330,861
1390,730
1120,176
1350,1097
1410,1570
1420,156
1610,1318
1630,86
1640,60
1620,243
1650,2832
1670,86
1660,555
1680,52
1720,105
1700,1024
1690,2433
1710,281
1760,60
1740,1273
1750,139
1730,2145
1490,198
5480,1184.68757232054
5440,2495.758169297907
5430,6748.91581158342
8930,0
7900,0
7890,0
8910,0
7910,0
7870,0
8900,11.8501128157197
7880,827.0334570103777
8920,0
7860,0
7830,139.67187712977463
7840,0
7850,285.0945667290715
8860,3178.7659507289463
8870,0
8890,443.0239381022903
8880,0
7800,93.81165532557594
7810,193.64383168544606
7820,0
8820,2886.1566729612814
8830,272.0228699869772
8850,0
7790,0
8840,0
7770,96.05340617267497
7780,87.4973978625343
7760,0
7750,0
7740,89.85158263281416
8790,0
8810,970.0284742920711
7730,0
8780,1619.7874101795146
7720,251.88704719398655
7710,5.629475779924924
8800,0
7700,216.54845503727356
7690,358.8520873135051
7680,335.2613433172364
8770,2221.543437448843
7670,756.3798541606849
8580,4611.988581811329
8590,641.2461615922214
8600,871.0947469853356
7650,273.97464436773225
7660,409.50407494089757
8570,1452.8345021603984
7640,3079.7533277931216
7630,2186.894822192536
8540,6654.6931966843085
8560,718.119298881898
7620,897.7121149595652
7610,2021.5737154075152
7600,1647.3794324348712
8550,875.3784998607705
7590,998.1116452157921
7580,947.8793165436523
7550,1803.2969494893825
7570,987.5062390045043
8520,930.8236014809863
8510,1368.0335619716886
8530,2531.5197871003834
7540,1013.1826455502016
8500,4349.1682252300725
7560,558.4261150655335
7520,942.7404961336339
7500,1513.0481390774287
7510,873.8495302772232
7440,0
3440,1040.982988932399
3430,808.3290255284055
3420,359.9061774481824
3410,1365.3742850852943
3390,307.68901767013597
3400,2445.7286802387935
3360,1184.3339203489638
3370,1146.528916689288
3380,1001.0737476030395
3340,565.3882673005204
3350,392.1963827907452
3330,267.49638660422
3310,922.8585064982261
3320,512.8664121702291
3300,518.2873207324874
3280,772.453711167469
3290,2783.3162048200647
3270,294.1128435995886
3260,640.3519446575085
3250,727.0351696538111
3240,7432.745101009266
3220,484.32806078627414
3210,145.27853284169964
3230,890.5806966384803
3200,1239.8254193222238
3180,379.5503793416248
3190,785.7953731206524
3150,280.43004329775516
3160,444.4877678899668
3170,1036.7358367788556
3130,604.4754827313551
3140,681.6438990970545
3120,492.7977622215679
3110,709.9635112176838
3100,209.61539716076103
3090,144.69815356539593
3080,544.2258511468085
3060,187.87341141156946
3070,403.4154100771076
3050,253.3429939347232
3030,134.0942234418582
3040,187.90840945653605
3020,269.4836079803201
3010,144.0172590661305
3450,1178.5485137691167
3990,1809.2405092816152
3940,60.305720133067425
7530,796.8310875477055
7940,187.54499550952633
7980,0
3460,2391.077779699133
3550,2826.6425808907884
3560,264.5588006190153
3590,988.2702409353527
3580,1224.9793363716863
3600,730.6181227987138
3610,815.9496252869936
3660,1423.0479801502836
3650,1150.74192511438
3640,1097.208056400743
3630,816.8391726202481
3520,321.5871190343463
3900,0
3890,0
1351,1414.7048474861424
1990,125.08877222353476
