MISSION,SETNO,SPEC,TOTWGT,TOTNO
NED1988098,1,10,13,17
NED1989117,1,10,5,65
NED1992166,1,10,4,7
NED1993182,1,10,1,10
NED1999872,1,10,0.115,2
NED2002003,1,10,0.08,1
NED2003003,1,10,4.92,5
NED2010002,1,10,0.36,7
TEL2006615,1,10,6.5,1
NED1987078,2,10,0,1
NED1989117,2,10,5,79
NED1990134,2,10,1,4
NED1991149,2,10,0,4
NED1992166,2,10,1,2
NED1994201,2,10,0,1
NED1995217,2,10,0,4
NED1999872,2,10,0.12,5
NED2000966,2,10,0.18,1
NED2001004,2,10,0.8,3
NED2002003,2,10,0.015,1
NED2003003,2,10,0.59,3
TEL2005546,2,10,0.154,4
NED1988098,3,10,1,1
NED1990134,3,10,13,75
NED1991149,3,10,1,4
NED1993182,3,10,1,1
NED1995217,3,10,0,3
NED1999872,3,10,3.02,9
NED2001004,3,10,1.36,8
NED2002003,3,10,0.06,1
NED2005002,3,10,1.36,4
NED2010002,3,10,2.38,9
TEL2006615,3,10,0.7,7
NED1988098,4,10,1,5
NED1989117,4,10,4,22
NED1991149,4,10,0,1
NED1992166,4,10,0,2
NED1993182,4,10,0,1
NED1996238,4,10,1.04,8
NED1997255,4,10,0.1,2
NED2000966,4,10,0.28,6
NED2001004,4,10,3.74,2
NED2002003,4,10,0.52,2
NED2009002,4,10,0.193,1
TEL2008805,4,10,0.22,1
TEM2007686,4,10,0.3,1
NED1989117,5,10,1,12
NED1990134,5,10,1,10
NED1992166,5,10,0,1
NED1993182,5,10,0,7
NED1994201,5,10,1,9
NED1999872,5,10,0.01,1
NED2000966,5,10,0.2,4
NED2001004,5,10,0.23,3
NED2002003,5,10,0.03,2
TEL2006615,5,10,0.75,6
NED1986060,6,10,0,1
NED1987078,6,10,2,1
NED1991149,6,10,1,2
NED1993182,6,10,0,6
NED1996238,6,10,0.11,1
NED1999872,6,10,0.66,15
NED2000966,6,10,0.18,2
NED2001004,6,10,3.35,12
NED2002003,6,10,0.025,1
TEL2006615,6,10,0.65,2
NED1986060,7,10,0,1
NED1987078,7,10,2,1
NED1988098,7,10,95,114
NED1989117,7,10,1,3
NED1990134,7,10,1,3
NED1991149,7,10,1,4
NED1993182,7,10,0,1
NED1996238,7,10,0.21,3
NED1999872,7,10,1.47,20
NED2001004,7,10,10.68,34
NED2003003,7,10,0.2,2
NED1987078,8,10,1,1
NED1988098,8,10,1,2
NED1989117,8,10,1,8
NED1990134,8,10,3,25
NED1992166,8,10,4,2
NED1993182,8,10,0,1
NED1997255,8,10,1.93,3
NED2001004,8,10,0.58,4
NED2002003,8,10,0.035,1
NED2003003,8,10,0.09,1
NED2010002,8,10,0.1,1
TEL2008805,8,10,0.084,1
NED1986060,9,10,32,7
NED1989117,9,10,0,2
NED1992166,9,10,23,12
NED1997255,9,10,1.86,12
NED1999872,9,10,0.035,1
NED2001004,9,10,0.53,8
NED2002003,9,10,0.3,2
NED2009002,9,10,0.448,2
TEL2006615,9,10,2.4,6
NED1986060,10,10,9,21
NED1987078,10,10,4,2
NED1989117,10,10,1,4
NED1992166,10,10,36,54
NED1996238,10,10,0.61,1
NED1997255,10,10,1.34,5
NED1999872,10,10,0.03,1
NED2002003,10,10,0.44,3
NED2003003,10,10,1.98,1
NED2005002,10,10,2.74,2
NED2009002,10,10,1.69,4
NED1986060,11,10,181,155
NED1987078,11,10,105,38
NED1991149,11,10,0,3
NED1992166,11,10,0,1
NED1993182,11,10,0,1
NED1994201,11,10,0,1
NED1997255,11,10,3.22,8
NED1999872,11,10,2.63,1
NED2000966,11,10,0.51,4
NED2001004,11,10,0.4,3
NED2002003,11,10,0.47,1
NED2009002,11,10,0.149,2
TEL2006615,11,10,1.1,2
TEL2008805,11,10,0.012,1
NED1987078,12,10,47,23
NED1988098,12,10,5,5
NED1989117,12,10,69,78
NED1990134,12,10,0,1
NED1993182,12,10,0,1
NED1995217,12,10,2,2
NED1999872,12,10,0.39,1
NED2000966,12,10,0.5,4
NED2001004,12,10,0.075,1
NED2002003,12,10,0.66,5
NED2003003,12,10,0.155,3
NED2009002,12,10,0.415,4
NED2010002,12,10,1.67,6
TEL2005546,12,10,0.6,4
TEM2007686,12,10,1,2
NED1986060,13,10,1814,2458
NED1987078,13,10,2,5
NED1989117,13,10,9,4
NED1990134,13,10,0,2
NED1992166,13,10,1,3
NED1995217,13,10,5,2
NED1996238,13,10,0,1
NED1997255,13,10,1.08,1
NED2000966,13,10,0.02,2
NED2001004,13,10,18.19,17
NED2009002,13,10,1.59,4
TEM2007686,13,10,0.7,3
NED1986060,14,10,29,49
NED1989117,14,10,18,51
NED1990134,14,10,0,1
NED1991149,14,10,1,2
NED1996238,14,10,0.65,2
NED2000966,14,10,0.1,1
NED2002003,14,10,2.25,4
NED2003003,14,10,1.05,2
NED2009002,14,10,4.8,1
NED2010002,14,10,0.68,7
TEM2007686,14,10,0.548,2
NED1988098,15,10,11,9
NED1990134,15,10,3,4
NED2000966,15,10,0.47,2
NED2002003,15,10,0.07,3
NED2003003,15,10,0.001,1
NED2009002,15,10,5.56,11
NED2010002,15,10,1.07,2
TEL2008805,15,10,24.65,69
TEM2007686,15,10,0.4,2
NED1986060,16,10,0,2
NED1987078,16,10,4,6
NED1988098,16,10,21,14
NED1989117,16,10,74,791
NED1990134,16,10,46,110
NED1991149,16,10,1,4
NED1993182,16,10,0,1
NED1994201,16,10,0,1
NED1996238,16,10,1.64,1
NED2000966,16,10,0.09,1
NED2002003,16,10,0.13,1
NED2005002,16,10,6.75,5
NED2010002,16,10,0.799,4
TEL2008805,16,10,1.1,2
TEM2007686,16,10,1.48,3
NED1987078,17,10,6,5
NED1988098,17,10,344,130
NED1989117,17,10,0,4
NED1990134,17,10,17,74
NED1991149,17,10,0,1
NED1995217,17,10,3,3
NED1996238,17,10,12.09,6
NED1997255,17,10,0.75,5
NED1999872,17,10,0.025,2
NED2000966,17,10,0.65,5
NED2003003,17,10,0.255,1
NED1986060,18,10,180,98
NED1988098,18,10,5,6
NED1989117,18,10,3,14
NED1990134,18,10,146,306
NED1992166,18,10,0,1
NED1995217,18,10,2,2
NED1996238,18,10,3.57,3
NED1997255,18,10,2.58,7
NED2000966,18,10,0.26,2
NED2002003,18,10,0.1,1
NED2003003,18,10,0.28,1
NED2005002,18,10,10.6,16
NED2009002,18,10,48.76,117
TEM2007686,18,10,0.65,3
NED1987078,19,10,0,1
NED1988098,19,10,8,12
NED1989117,19,10,0,1
NED1990134,19,10,4,7
NED1991149,19,10,1,1
NED1992166,19,10,0,2
NED1996238,19,10,2.04,3
NED1997255,19,10,0.24,3
NED2001004,19,10,0.88,1
NED2005002,19,10,10.56,27
NED2009002,19,10,0.008,1
TEL2008805,19,10,0.135,1
TEM2007686,19,10,0.43,3
NED1986060,20,10,42,40
NED1987078,20,10,2,5
NED1990134,20,10,1,8
NED1991149,20,10,0,1
NED1992166,20,10,0,1
NED1993182,20,10,0,2
NED2001004,20,10,1.52,8
NED2005002,20,10,0.065,1
NED2010002,20,10,0.053,1
TEL2008805,20,10,0.9,2
TEM2007686,20,10,0.298,2
NED1986060,21,10,1029,593
NED1987078,21,10,1,2
NED1988098,21,10,10,2
NED1989117,21,10,1,5
NED1995217,21,10,0,1
NED1996238,21,10,0.83,1
NED1997255,21,10,1.08,2
NED2005002,21,10,81.47,157
NED1986060,22,10,172,100
NED1988098,22,10,1,2
NED1989117,22,10,4,3
NED1990134,22,10,2,13
NED1995217,22,10,0,1
NED2000966,22,10,1.12,10
NED2001004,22,10,0.1,1
TEL2008805,22,10,0.04,2
TEM2007686,22,10,0.48,1
NED1986060,23,10,1730,4150
NED1990134,23,10,1,5
NED1991149,23,10,1,1
NED1993182,23,10,2,5
NED1994201,23,10,2,3
NED1995217,23,10,0,1
NED2000966,23,10,0.89,8
TEL2008805,23,10,0.5,1
TEM2007686,23,10,3.95,2
NED1989117,24,10,68,81
NED1990134,24,10,0,2
NED1993182,24,10,10,4
NED1995217,24,10,1,2
NED1996238,24,10,13.43,8
NED2000966,24,10,3.08,6
NED2001004,24,10,0.55,4
NED2005002,24,10,0.075,2
TEL2008805,24,10,0.014,1
TEM2007686,24,10,0.006,1
NED1986060,25,10,1,2
NED1987078,25,10,0,3
NED1989117,25,10,1,1
NED1990134,25,10,0,1
NED1994201,25,10,53,39
NED1997255,25,10,0.42,1
NED1999872,25,10,0.85,2
NED2001004,25,10,0.155,2
NED2005002,25,10,0.45,1
NED1986060,26,10,47,20
NED1987078,26,10,1,1
NED1988098,26,10,26,10
NED1993182,26,10,7,1
NED1996238,26,10,14.49,9
NED1999872,26,10,0.34,1
NED2001004,26,10,0.115,2
NED2002003,26,10,0.115,1
NED2006002,26,10,21.14,40
NED1986060,27,10,234,49
NED1993182,27,10,2,1
NED1994201,27,10,1,1
NED1996238,27,10,60.26,35
NED1997255,27,10,0.01,1
NED1999872,27,10,0.57,2
NED2000966,27,10,0.17,3
NED2001004,27,10,0.76,5
NED2002003,27,10,2.54,1
NED2009002,27,10,0.043,1
NED2010002,27,10,0.105,1
NED1986060,28,10,3,7
NED1987078,28,10,4,3
NED1992166,28,10,2,2
NED1993182,28,10,8,4
NED1994201,28,10,3,2
NED1995217,28,10,2,8
NED1999872,28,10,2.27,9
NED2000966,28,10,1.39,6
NED2006002,28,10,0.75,1
NED2009002,28,10,2.85,11
NED2010002,28,10,0.094,1
NED1986060,29,10,57,26
NED1987078,29,10,6,9
NED1988098,29,10,8,27
NED1989117,29,10,171,66
NED1992166,29,10,7,3
NED1993182,29,10,9,11
NED1994201,29,10,2,1
NED1999872,29,10,0.315,2
NED2000966,29,10,0.29,1
NED2003003,29,10,11.88,46
NED1986060,30,10,249,240
NED1988098,30,10,3,11
NED1989117,30,10,13,29
NED1991149,30,10,270,186
NED1992166,30,10,1,4
NED1994201,30,10,2,2
NED1999872,30,10,0.85,3
NED2003003,30,10,3.798,2
NED1986060,31,10,38,24
NED1988098,31,10,0,1
NED1989117,31,10,40,4
NED1990134,31,10,0,1
NED1991149,31,10,1,1
NED1992166,31,10,22,6
NED1997255,31,10,0.98,1
NED1999872,31,10,9.41,14
NED2000966,31,10,0.92,6
NED2001004,31,10,0.16,1
NED2002003,31,10,4.88,4
NED2009002,31,10,0.722,2
NED2010002,31,10,0.09,1
TEL2008805,31,10,0.024,1
TEM2007686,31,10,2,17
