SPECIES_CODE,SPECIES_NAME,COMMON_NAME,REVISION,BS,GOA,WC,AUDITJOIN
42000,Pennatulacea,sea pen or sea whip unident.,A88,Y,Y,Y,640
42001,Virgularia sp.,smoothstem seawhip,,Y,Y,Y,641
42005,Stylatula gracile,roughstem seawhip,,Y,Y,Y,643
42008,Halipteris sp.,,,Y,,,644
42010,Halipteris finmarchia,,,Y,Y,,645
42017,Ptilosarcus gurneyi,orange sea pen,,,Y,Y,646
43000,Actiniaria,sea anemone unident.,A88,Y,Y,Y,647
43010,Metridium sp.,,,Y,Y,Y,648
43020,Metridium senile,clonal plumose anemone,,Y,Y,Y,649
43040,Urticina sp.,,,Y,Y,Y,650
30320,Sebastes maliger,quillback rockfish,,,Y,Y,651
30330,Sebastes melanops,black rockfish,,,Y,Y,652
30340,Sebastes melanostomus,blackgill rockfish,,Y,Y,Y,653
30350,Sebastes miniatus,vermilion rockfish,,,Y,Y,654
30360,Sebastes mystinus,blue rockfish,,Y,Y,Y,655
30370,Sebastes nebulosus,China rockfish,,,Y,Y,656
30380,Sebastes nigrocinctus,tiger rockfish,,,Y,Y,657
30390,Sebastes ovalis,speckled rockfish,,,,Y,658
30400,Sebastes paucispinis,bocaccio,,,Y,Y,659
30410,Sebastes pinniger,canary rockfish,,,Y,Y,660
30420,Sebastes polyspinis,northern rockfish,,Y,Y,,661
30430,Sebastes proriger,redstripe rockfish,,Y,Y,Y,662
30460,Sebastes rosaceus,rosy rockfish,,,,Y,663
30470,Sebastes ruberrimus,yelloweye rockfish,,,Y,Y,664
30475,Sebastes babcocki,redbanded rockfish,,Y,Y,Y,665
30480,Sebastes rubrivinctus,flag rockfish,,,Y,Y,666
30490,Sebastes saxicola,stripetail rockfish,,,Y,Y,667
30500,Sebastes semicinctus,halfbanded rockfish,,,,Y,668
30510,Sebastes serranoides,olive rockfish,,,Y,Y,669
30535,Sebastes variegatus,harlequin rockfish,,Y,Y,Y,670
30540,Sebastes vexillaris,whitebelly rockfish,,,,Y,671
30550,Sebastes wilsoni,pygmy rockfish,,,Y,Y,672
30560,Sebastes zacentrus,sharpchin rockfish,,,Y,Y,673
30570,Sebastes phillipsi,chameleon rockfish,,,Y,Y,674
30575,Sebastes rufus,bank rockfish,,,Y,Y,675
30576,Sebastes borealis,shortraker rockfish,,Y,Y,Y,676
30580,,black rockfish unident.,,,Y,Y,677
30590,,red rockfish unident.,,,Y,Y,678
30600,Sebastes reedi,yellowmouth rockfish,,Y,Y,Y,679
30611,Sebastes rosenblatti,greenblotched rockfish,,,,Y,680
30030,Sebastolobus altivelis,longspine thornyhead,,Y,Y,Y,681
30040,Sebastes sp.,rockfish unident.,,Y,Y,Y,682
30050,,rougheye and blackspotted rockfish unid.,,Y,Y,Y,683
30060,Sebastes alutus,Pacific ocean perch,,Y,Y,Y,684
30080,Sebastes auriculatus,brown rockfish,,,Y,Y,685
30090,Sebastes aurora,aurora rockfish,,,Y,Y,686
