SPECIES_CODE,SPECIES_NAME,COMMON_NAME,REVISION,BS,GOA,WC,AUDITJOIN
74050,Mytilidae,mussel unident.,,Y,Y,Y,266
74060,Modiolus modiolus,northern horsemussel,,Y,Y,Y,267
74065,Mytilus sp.,,,Y,Y,,268
74070,Mytilus californianus,California mussel,,,Y,,269
74080,Mytilus edulis,blue mussel,,Y,Y,Y,270
74100,Pectinidae,scallop unident.,,Y,Y,Y,271
74104,Chlamys sp.,,,Y,Y,Y,272
74105,Chlamys behringiana,Iceland scallop,,Y,Y,,273
74106,Chlamys rubida,reddish scallop,,Y,Y,Y,274
74107,Chlamys hastata,spiny scallop,,,Y,,275
74112,Chlamys pseudoislandica,false iceland scallop,,Y,,,276
74120,Patinopecten caurinus,weathervane scallop,,Y,Y,Y,277
72305,Trichotropis bicarinata,two-keel hairysnail,,Y,,,278
72370,Iphinoe (=Trichotropis) kroyeri,Kroyer's hairy snail,,Y,,,279
72380,Torellia ammonia,rams-horn hairysnail,A93,,Y,,280
72403,Boreotrophon coronatus,,,Y,,,281
72406,Boreotrophon clathratus,clathrate trophon,,Y,,,282
72407,Boreotrophon stuarti,winged trophon,A95,,Y,,283
72420,Boreotrophon sp.,,,Y,Y,,284
72421,Boreotrophon pacificus,,,Y,,,285
72423,Ceratostoma foliatum,foliate thornmouth,A89,,Y,,286
72500,Fusitriton oregonensis,Oregon triton,,Y,Y,Y,287
72501,Fusitriton sp.,,,Y,Y,Y,288
72510,,trochid unident.,,Y,,,289
72511,Calliostoma sp.,,,,Y,,290
72512,Calliostoma platinum,silvery topsnail,,,,Y,291
72520,Bathybembix bairdii,,,,Y,Y,292
72525,Cidarina cidaris,,A95,,Y,,293
72531,Margarites sp.,,,Y,Y,,294
72532,Margarites pupillus,little margarite,,Y,,,295
72533,Margarites giganteus,giant margarite,,Y,,,296
72534,Margarites argentatus,,,Y,,,297
72535,Margarites costalis,boreal rosy margarite,,Y,,,298
72540,Solariella sp.,,,Y,,,299
72541,Solariella obscura,obscure solarelle,,Y,,,300
72543,Solariella varicosa,varicose solarelle,,Y,,,301
72740,Buccinum sp.,,,Y,Y,Y,302
72741,Buccinum polium,,,Y,,,303
72742,Buccinum ochotense,Okhotsk whelk,,Y,,,304
72743,Buccinum angulosum,angular whelk,,Y,,,305
72744,Buccinum fringillum,finch whelk,,Y,,,306
72746,Buccinum simulatum,,A95,,Y,,308
72747,Buccinum oedematum,swollen whelk,A95,,Y,,309
72748,Buccinum eugrammatum,lirate whelk,A95,,Y,,310
72750,Buccinum strigillatum,,,Y,Y,Y,311
72751,Buccinum plectrum,sinuous whelk,,Y,Y,,312
71771,Beringius frielei,,,Y,,,313
71772,Beringius beringii,,,Y,Y,,314
71774,Beringius stimpsoni,,,Y,Y,,315
71775,Beringius crebricostatus,thick-cord whelk,,Y,Y,,316
71776,Beringius undatus,,A95,,Y,,317
71800,Neptunea sp.,,,Y,Y,Y,318
71810,Neptunea amianta,white neptune,,Y,Y,Y,319
71820,Neptunea pribiloffensis,Pribilof whelk,,Y,Y,,320
71835,Neptunea borealis,,,Y,,,321
71850,Neptunea eulimata,,,Y,,,322
71860,Neptunea neptunea,,,Y,,,323
71870,Neptunea lyrata,lyre whelk,,Y,Y,Y,324
71880,Neptunea vermii,,,Y,,,325
71882,Neptunea ventricosa,fat whelk,,Y,Y,,326
71884,Neptunea heros,,,Y,Y,,327
71886,Clinopegma magnum,helmet whelk,A89,Y,,,328
71890,Plicifusus sp.,,,Y,,,329
71891,Plicifusus kroyeri,,,Y,Y,,330
71892,Plicifusus incisus,,A88,Y,,,331
71893,Plicifusus brunneus,brown whelk,,Y,,,332
71894,Plicifusus verkruzeni,,,Y,,,333
71895,Volutopsius callorhinus,,C97,Y,,,334
71900,Plicifusus griseus,gray whelk,,Y,,Y,335
71901,Sulcosinus taphrius,sulcated whelk,A95,Y,Y,,336
71904,Exilioidea rectirostris,,A91,,,Y,337
71906,Mohnia robusta,,,,Y,,338
71910,Liomesus sp.,,A89,Y,,,339
71911,Liomesus ooides,egg whelk,,Y,,,340
71960,Ancistrolepis sp.,,,Y,,,341
72019,Antiplanes sp.,,,Y,,,342
72022,Antiplanes piona,,A88,,,Y,343
72059,Aforia sp.,,,Y,Y,,344
72060,Aforia goodei,,,Y,,,345
72063,Aforia circinata,keeled aforia,,Y,Y,,346
72100,Oenopota sp.,,,Y,,,347
72103,Oenopota harpa,,,Y,,,348
72181,Obesotoma simplex,,,Y,,,349
72300,Trichotropidae,,,Y,,,350
72303,Trichotropis insignis,gray hairysnail,,Y,,,351
72304,Iphinoe (=Trichotropis) coronata,crowned hairysnail,A88,Y,,,352
71631,Tachyrhynchus sp.,,,Y,,,353
71634,Tachyrhynchus erosus,eroded turretsnail,,Y,,,354
71635,Tachyrhynchus reticulatus,reticulated turretsnail,,Y,,,355
71640,Crepidula sp.,slipper shell,,Y,,,356
71681,Crepidula grandis,great slippersnail,,Y,,,357
71700,,whelk unident.,,Y,Y,Y,358
71710,Colus sp.,,,Y,Y,Y,359
71718,Colus periscelidus,garter whelk,A95,,Y,,360
71719,Colus jordani,,A91,,,Y,361
71721,Colus herendeenii,thin-ribbed whelk,,Y,,,362
71722,Colus hypolispus,,,Y,,,363
71723,Colus ombronius,shady whelk,,Y,,,364
71724,Colus roseus,rosy whelk,,Y,,,365
71725,Colus esychus,,,Y,,,366
71726,Colus spitzbergensis,thick-ribbed whelk,,Y,,,367
71730,Colus aphelus,oblique whelk,,Y,,,368
71731,Colus halli,shrew whelk,,Y,,Y,369
71732,Colus datuzenbergii,,,Y,,,370
71733,Colus bristolensis,,,Y,,,371
71740,Japelion aleutica,,A95,,Y,,372
71748,Habevolutopsius hirasei,,A95,,Y,,373
71749,Pyrulofusus dexius,,A95,,Y,,374
71750,Volutopsius sp.,,,Y,Y,,375
71753,Pyrulofusus deformis,warped whelk,A88,Y,Y,,376
71755,Pyrulofusus harpa,left-hand whelk,C97,Y,Y,,377
71756,Volutopsius fragilis,fragile whelk,,Y,,,378
71757,Volutopsius regularis,regular whelk,A95,,Y,,379
71759,Volutopsius filosus,threaded whelk,,Y,,,380
71760,Volutopsius castaneus,volute whelk,,Y,,,381
71761,Pyrulofusus melonis,,A88,Y,,,382
71762,Volutopsius simplex,simple whelk,,Y,,,383
71763,Volutopsius stefanssoni,shouldered whelk,,Y,Y,,384
71764,Volutopsius middendorffii,tulip whelk,,Y,,,385
71765,Volutopsius trophonius,frilled whelk,,Y,,,386
71769,Beringius sp.,,,Y,Y,,387
71770,Beringius kennicottii,,,Y,Y,,388
71021,Dendronotus frondosus,frond-aeolis,,Y,,,389
71022,Dendronotus subramosus,stubby frond-aeolis,,Y,,,390
71025,Tritonia sp.,,,Y,Y,Y,391
71030,Tritonia diomedea,rosy tritonia,,Y,Y,Y,392
71050,Triopha catalinae,sea-clown triopha,,,Y,,393
71080,Armina californica,California armina,,,Y,Y,394
71202,Chlamylla sp.,,,,Y,,395
71230,Anisodoris nobilis,Pacific sea lemon,,Y,Y,Y,396
71250,Dorididae,dorid nudibranch unident.,,Y,Y,,397
71260,Archidoris odhneri,white night doris,,Y,Y,,398
71291,Pleurobranchaea californica,California sea slug,A90,,,Y,399
71350,Cranopsis major,great puncturella,A95,,Y,,400
71400,Acmaea sp.,,,,Y,,401
71405,,limpet unident.,A89,Y,Y,Y,402
71500,Gastropoda,snail unident.,,Y,Y,Y,403
71504,Asterophila japonica,,A89,Y,,,404
71510,Naticidae,,,Y,Y,Y,405
71515,Bulbus fragilis,fragile moonsnail,,,Y,,406
71525,Natica sp.,,A87,Y,Y,Y,407
71530,Natica clausa,,,Y,Y,Y,408
71535,Cryptonatica (=Natica) aleutica,Aleutian moonsnail,,Y,Y,,409
71537,Cryptonatica (=Natica) russa,rusty moonsnail,,Y,Y,,410
71540,Muricidae,,,Y,,,411
71541,Nucella canaliculata,channelled dogwinkle,,Y,,,412
71542,Nucella lamellosa,frilled dogwinkle,,,Y,,413
71570,Euspira lewisii,,,Y,Y,Y,414
71575,Euspira sp.,,,Y,Y,Y,415
71580,Euspira pallida,pale moonsnail,,Y,Y,Y,416
71585,Onchidiopsis glacialis,icy lamellaria,,Y,,,417
71586,Capulacmaea commoda,widemouth lamellaria,,Y,,,418
69325,Paralithodes californiensis,California king crab,A87,,,Y,419
69329,Cryptolithodes sp.,,,,Y,,420
69330,Paralomis sp.,,,,Y,Y,421
69335,Paralomis multispina,,,Y,Y,Y,422
69336,Placetron wosnessenskii,scaled crab,A88,Y,Y,Y,423
69400,Erimacrus isenbeckii,horsehair crab,,Y,Y,,424
69520,Hyas sp.,,,Y,Y,Y,425
69530,Pugettia sp.,kelp crab,,Y,Y,Y,426
69531,Pugettia gracilis,graceful kelp crab,,Y,Y,Y,427
69540,Scyra acutifrons,,,Y,Y,,428
69550,Galatheidae,galatheid crab unident.,A88,,Y,Y,429
69554,Chirostylus sp.,,A88,,Y,,430
69556,Munida quadrispina,pinchbug,A88,,Y,Y,431
69652,Callianassa goniophthalma,,,,,Y,432
69653,Callianassa californiensis,ghost shrimp,A92,,,Y,433
69655,Upogebia pugettensis,blue mud shrimp,,,,Y,434
69900,Pycnogonida,sea spider unident.,A88,Y,Y,,435
69911,Colossendeis dofleini,,A95,,Y,,436
70000,Mollusca,mollusk unident.,,Y,Y,,437
70100,Polyplacophora,chiton unident.,,Y,Y,Y,438
70108,Cryptochiton stelleri,giant Pacific chiton,A90,,Y,Y,439
70115,Amicula vestita,,,Y,,,440
70119,Placiphorella sp.,,,,Y,,441
70125,Leptochiton alveolus,,A95,,Y,,443
71001,gastropod eggs,snail  eggs,,Y,Y,Y,444
71002,Buccinum sp. Eggs,,A93,,Y,,445
71003,Fusitriton oregonensis eggs,,A93,,Y,,446
71010,Nudibranchia,nudibranch unident.,,Y,Y,Y,447
71011,Onchidoris bilamellata,barnacle-eating onchidoris,,Y,,,448
71012,Tochuina tetraquetra,giant orange tochui,,Y,Y,Y,449
71018,Dendronotus sp.,,,Y,,,450
71020,Dendronotus dalli,Dall's dendronotid,,Y,,,451
69035,Pagurus sp.,,,Y,Y,,452
69042,Pagurus brandti,sponge hermit,C97,Y,Y,,453
69060,Pagurus aleuticus,Aleutian hermit,,Y,Y,,454
69061,Labidochirus splendescens,splendid hermit,,Y,Y,,455
69070,Pagurus confragosus,knobbyhand hermit,C97,Y,Y,Y,456
69080,Pagurus cornutus,,,Y,Y,,457
69082,Pagurus dalli,whiteknee hermit,,Y,Y,,458
69085,Pagurus kennerlyi,bluespine hermit,,Y,Y,,459
69086,Pagurus trigonocheirus,fuzzy hermit crab,,Y,Y,,460
69090,Pagurus ochotensis,Alaskan hermit,,Y,Y,,461
69095,Pagurus rathbuni,longfinger hermit,,Y,Y,,462
69100,Pagurus tanneri,longhand hermit,,Y,Y,,463
69110,Elassochirus tenuimanus,widehand hermit crab,,Y,Y,,464
69120,Pagurus capillatus,hairy hermit crab,,Y,Y,,465
69121,Elassochirus cavimanus,purple hermit,,Y,Y,,466
69122,Elassochirus gilli,Pacific red hermit,,Y,,,467
69200,Parapagurus pliosimanus,,,,,Y,468
69250,Lithodidae,stone crab unident.,A88,Y,Y,Y,469
69260,Lopholithodes sp.,box crab unident.,,,Y,Y,470
69270,Lopholithodes foraminatus,box crab,,,Y,Y,471
69280,Lopholithodes mandtii,,,,Y,,472
69285,Acantholithodes hispidus,fuzzy crab,,,Y,Y,473
69290,Lithodes sp.,,,,Y,,474
69300,Lithodes couesi,scarlet king crab,,Y,Y,Y,475
69310,Lithodes aequispinus,golden king crab,,Y,Y,Y,476
69312,Dermaturus mandtii,wrinkled crab,,Y,Y,,477
69315,Hapalogaster sp.,,,Y,,,478
69316,Hapalogaster grebnitzkii,,,Y,,Y,479
69317,Rhinolithodes wosnessenskii,rhinoceros crab,,,Y,Y,480
69321,Paralithodes sp.,,,Y,Y,Y,481
69322,Paralithodes camtschaticus,red king crab,C97,Y,Y,,482
69323,Paralithodes platypus,blue king crab,,Y,Y,,483
66770,Pasiphaea pacifica,Pacific glass shrimp,C97,Y,Y,Y,484
66772,Pasiphaea tarda,crimson pasiphaeid,,Y,Y,Y,485
66815,Notostomus japonicus,spinyridge shrimp,,,Y,Y,486
66839,Hymenodora sp.,,,Y,,,487
66840,Hymenodora frontalis,Pacific ambereye,,,Y,,488
66860,Acanthephyra sp.,,,,Y,Y,489
66875,Systellaspis braueri,Quayle's spinytail,A88,,,Y,490
68000,,crab unident.,,Y,Y,Y,491
68010,Cancer sp.,cancer crab unident.,,Y,Y,Y,492
68020,Cancer magister,Dungeness crab,,Y,Y,Y,493
68040,Cancer oregonensis,Oregon rock crab,,Y,Y,,494
68050,Cancer productus,red rock crab,,Y,Y,Y,495
68060,Cancer gracilis,graceful rock crab,A92,,,Y,496
68072,Pinnixa occidentalis,pea crab,,,Y,,497
68100,Mursia gaudichaudii,,,,,Y,498
68500,Majidae,spider crabs unident.,,Y,Y,Y,499
68502,Oregonia bifurca,,,Y,Y,Y,500
68510,Oregonia gracilis,graceful decorator crab,,Y,Y,Y,501
68515,Loxorhynchus crispatus,spider crab,A92,,,Y,502
68520,Chorilia longipes,Longhorned decorator crab,C97,Y,Y,,503
68541,Chionoecetes sp.,tanner crab unident.,,Y,Y,Y,504
68550,Chionoecetes tanneri,grooved Tanner crab,C97,Y,Y,Y,505
68560,Chionoecetes bairdi,Tanner crab,C97,Y,Y,Y,506
68570,Chionoecetes angulatus,triangle Tanner crab,C97,Y,Y,Y,507
68577,Hyas coarctatus,circumboreal toad crab,,Y,Y,,508
68578,Hyas lyratus,Pacific lyre crab,C97,Y,Y,Y,509
68580,Chionoecetes opilio,snow crab,,Y,Y,,510
68590,Chionoecetes hybrid,hybrid tanner crab,,Y,Y,,511
68781,Telmessus cheiragonus,helmet crab,,Y,Y,,512
69000,Anomura,,,,Y,,513
69010,Paguridae,hermit crab unident.,,Y,Y,Y,514
66163,Spirontocaris lamellicornis,,,Y,Y,,515
66165,Spirontocaris snyderi,,,Y,Y,,516
66170,Eualus sp.,,,Y,Y,Y,517
66171,Eualus barbatus,barbed eualid,,Y,Y,,518
66175,Eualus gaimardii,,,Y,,,519
66179,Eualus macilentus,Greenland shrimp,,Y,,,520
66180,Eualus macrophthalmus,bigeye eualid,,,Y,Y,521
66190,Eualus biunguis,deepsea eualid,,,,Y,522
66192,Eualus stoneyi,,,,Y,,523
66193,Eualus suckleyi,shortscale eualid,,Y,Y,,524
66200,Lebbeus sp.,,,Y,Y,,525
66201,Lebbeus grandimana,candy stripe shrimp,,,Y,,526
66203,Lebbeus groenlandicus,spiny lebbeid,,Y,Y,,527
66204,Lebbeus polaris,,,Y,,,528
66301,Heptacarpus sp.,,,Y,,,529
66500,Crangonidae,crangonid shrimp unident.,,Y,Y,Y,530
66502,Crangon sp.,,,Y,Y,Y,531
66510,Crangon abyssorum,abyssal crangon,,Y,Y,,532
66512,Crangon alaskensis,shell shrimp,,Y,Y,,533
66515,Crangon communis,twospine crangon,C97,Y,Y,,534
66520,Crangon resima,,,,Y,,535
66530,Crangon dalli,ridged crangon,,Y,Y,,536
66536,Mesocrangon intermedia,northern spinyhead,,,,Y,537
66546,Lissocrangon stylirostris,smooth crangon,,Y,,,538
66548,Crangon septemspinosa,sevenspine bay shrimp,C97,Y,,,539
66570,Argis sp.,,,Y,Y,,540
66575,Argis alaskensis,common argid,,Y,Y,,541
66580,Argis dentata,Arctic argid,,Y,Y,,542
66600,Sclerocrangon sp.,,,Y,,,543
66601,Sclerocrangon boreas,sculptured shrimp,C97,Y,Y,,544
66602,Rhynocrangon alata,saddleback shrimp,,Y,,,545
66611,Argis lar,kuro argid,,Y,Y,,546
66612,Argis crassa,rough argid,,Y,Y,,547
66613,Argis levior,Nelson's argid,,Y,,,548
66614,Argis ovifer,split-eye argid,,,Y,,549
66615,Paracrangon echinata,horned shrimp,,,Y,,550
66750,Pasiphaeidae,pasiphaeid shrimp unident.,,Y,Y,Y,551
62000,Isopoda,isopod unident.,A88,Y,Y,Y,552
62020,Saduria entomon,,,Y,,,553
63000,Cumacea,cumacean unident.,A88,Y,Y,,554
63500,Euphausiacea,euphausiid unident.,,Y,Y,Y,555
64011,Neognathophausia gigas,giant red mysid,,Y,Y,,557
64500,Copepoda,copepod unident.,A88,Y,,,558
