xbt,xbt_def,doe,doc,uoe,uoc
"0","No temperature data recorded",,,,
"1","Analog XBT",,,,
"2","SEAS XBT",,,,
"3","Mechanical BT",,,,
"4","Hydrolab",,,,
"5","Seabird CTD",,,,
"9","Unknown",,,,
"6","Minilogger",,,,
"7","Onset StowAway Tidbit",,,,
