STRATA,STRATAHECTARE
21,64.719
23,84.483
25,115.749
27,117.747
29,148.959
31,133.461
33,94.716
35,118.179
37,110.97
39,90.18
41,170.154
43,127.71
45,84.375
47,102.411
49,126.09
51,150.66
53,116.1
55,145.611
57,80.73
59,136.161
61,157.734
63,185.895
65,198.099
67,131.382
