SubareaDescription,StratumCode,Areakm2
EBS inner shelf,10,77871
EBS inner shelf,20,41027
EBS middle shelf,31,94526
EBS middle shelf,32,8774
EBS middle shelf,41,62703
EBS middle shelf,42,24011
EBS middle shelf,43,21108
EBS middle shelf,82,17954
EBS outer shelf,50,38792
EBS outer shelf,61,88134
EBS outer shelf,62,6429
EBS outer shelf,90,11568
NBS shelf,70,79261
NBS shelf,71,82594
NBS shelf,81,38352
,,693104
