SCINAME,COMNAME,SVSPP
BREVOORTIA TYRANNUS,ATLANTIC MENHADEN,036
BROSME BROSME,CUSK,084
BROTULA BARBATA,BEARDED BROTULA,456
BUCCINUM UNDATUM,WAVED WHELK,344
BUSYCON CARICA,KNOBBED WHELK,337
BUSYCOTYPUS CANALICULATUS,CHANNELED WHELK,336
CALAMUS BAJONADO,JOLTHEAD PORGY,632
CALAMUS CALAMUS,SAUCEREYE PORGY,633
CALAMUS LEUCOSTEUS,WHITEBONE PORGY,634
CALAMUS NODOSUS,KNOBBED PORGY,635
CALAMUS PENNA,SHEEPSHEAD PORGY,636
CALAMUS PRORIDENS,LITTLEHEAD PORGY,637
CALAPPA FLAMMEA,FLAME BOX CRAB,328
CALAPPA SULCATA,YELLOW BOX CRAB,329
CALAPPIDAE,BOX CRAB UNCL,339
CALLECHELYS GUINIENSIS,SHORTTAIL SNAKE EEL,391
CALLINECTES SAPIDUS,BLUE CRAB,314
CALOCARIS TEMPLEMANI,,912
CANCER BOREALIS,JONAH CRAB,312
CANCER IRRORATUS,ATLANTIC ROCK CRAB,313
CANCRIDAE,CANCER CRAB UNCL,311
CANTHIDERMIS SUFFLAMEN,OCEAN TRIGGERFISH,835
CANTHIGASTER ROSTRATA,SHARPNOSE PUFFER,842
CAPROIDAE,BOARFISH UNCL,422
CARANGIDAE,JACK POMPANO UNCL,582
CARANX BARTHOLOMAEI,YELLOW JACK,569
CARANX CRYSOS,BLUE RUNNER,129
CARANX HIPPOS,CREVALLE JACK,570
CARANX LATUS,HORSE-EYE JACK,571
CARANX RUBER,BAR JACK,572
CARAPUS BERMUDENSIS,PEARLFISH,462
CARCHARHINIDAE,REQUIEM SHARK UNCL,361
CARCHARHINUS ACRONOTUS,BLACKNOSE SHARK,354
CARCHARHINUS ALTIMUS,BIGNOSE SHARK,929
CARCHARHINUS BREVIPINNA,SPINNER SHARK,931
CARCHARHINUS FALCIFORMIS,SILKY SHARK,355
CARCHARHINUS ISODON,FINETOOTH SHARK,928
CARCHARHINUS LEUCAS,BULL SHARK,356
CARCHARHINUS LIMBATUS,BLACKTIP SHARK,357
CARCHARHINUS LONGIMANUS,OCEANIC WHITETIP SHARK,930
CARCHARHINUS OBSCURUS,DUSKY SHARK,003
CARCHARHINUS PEREZII,REEF SHARK,933
CARCHARHINUS PLUMBEUS,SANDBAR SHARK,009
CARCHARHINUS POROSUS,SMALLTAIL SHARK,932
CARCHARHINUS SIGNATUS,NIGHT SHARK,934
CARCHARIAS TAURUS,SAND TIGER,012
CARCHARODON CARCHARIAS,WHITE SHARK,351
CARCINUS MAENAS,GREEN CRAB,326
CAREPROCTUS RANULA,,260
CARETTA CARETTA,LOGGERHEAD SEATURTLE,950
CAULOLATILUS CHRYSOPS,GOLDFACE TILEFISH,622
CAULOLATILUS CYANOPS,BLACKLINE TILEFISH,562
CAULOLATILUS INTERMEDIUS,ANCHOR TILEFISH,623
CAULOLATILUS MICROPS,BLUELINE TILEFISH,621
CENTROPOMUS UNDECIMALIS,COMMON SNOOK,497
CENTROPRISTIS OCYURUS,BANK SEA BASS,526
CENTROPRISTIS PHILADELPHICA,ROCK SEA BASS,527
CENTROPRISTIS STRIATA,BLACK SEA BASS,141
CENTROSCYLLIUM FABRICII,BLACK DOGFISH,007
CENTROSCYMNUS COELOLEPIS,PORTUGUESE SHARK,603
CEPHALOPODA,SQUID, CUTTLEFISH, AND OCTOPOD UNCL,501
CERATOSCOPELUS MADERENSIS,HORNED LANTERNFISH,054
CETACEA,WHALE UNCLASSIFIED,972
CETORHINUS MAXIMUS,BASKING SHARK,006
CHAETODIPTERUS FABER,ATLANTIC SPADEFISH,659
CHAETODON ACULEATUS,LONGSNOUT BUTTERFLYFISH,864
CHAETODON AYA,BANK BUTTERFLYFISH,660
CHAETODON CAPISTRATUS,FOUREYE BUTTERFLYFISH,661
CHAETODON OCELLATUS,SPOTFIN BUTTERFLYFISH,662
CHAETODON SEDENTARIUS,REEF BUTTERFLYFISH,663
CHAETODON STRIATUS,BANDED BUTTERFLYFISH,664
CHAETODONTIDAE,BUTTERFLYFISH UNCL,855
CHASCANOPSETTA LUGUBRIS,PELICAN FLOUNDER,778
CHASMODES BOSQUIANUS,STRIPED BLENNY,729
CHAULIODUS DANAE,,241
CHAULIODUS SLOANI,VIPERFISH,240
CHAUNAX STIGMAEUS,REDEYE GAPER,862
CHELONIA MYDAS,GREEN SEATURTLE,951
CHILOMYCTERUS ANTILLARUM,WEB BURRFISH,847
CHILOMYCTERUS ATINGA,SPOTTED BURRFISH,848
CHILOMYCTERUS SCHOEPFI,STRIPED BURRFISH,198
CHIONOECETES OPILIO,SNOW CRAB,325
CHLAMYS ISLANDICA,ICELAND SCALLOP,340
CHLAMYS ISLANDICA CLAPPER,ICELAND SCALLOP CLAPPER,341
CHLOROPHTHALMIDAE,GREENEYE UNCL,047
CHLOROPHTHALMUS AGASSIZI,SHORTNOSE GREENEYE,232
CHLOROPHTHALMUS SP,,231
CHLOROSCOMBRUS CHRYSURUS,ATLANTIC BUMPER,573
CHROMIS ENCHRYSURUS,YELLOWTAIL REEFFISH,670
CHROMIS INSOLATA,SUNSHINEFISH,671
CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER,109
CITHARICHTHYS ARENACEUS,SAND WHIFF,779
CITHARICHTHYS CORNUTUS,HORNED WHIFF,780
CITHARICHTHYS GYMNORHINUS,ANGLEFIN WHIFF,882
CITHARICHTHYS MACROPS,SPOTTED WHIFF,781
CITHARICHTHYS SP,WHIFF UNCL,866
CITHARICHTHYS SPILOPTERUS,BAY WHIFF,782
CLEPTICUS PARRAE,CREOLE WRASSE,674
CLINIDAE,CLINID UNCL,727
CLUPEA HARENGUS,ATLANTIC HERRING,032
CLUPEIDAE,HERRING UNCL,030
CLYPEASTEROIDA,SAND DOLLAR UNCL,330
COELORHYNCHUS CARMINATUS,LONGNOSE GRENADIER,093
COLUS STIMPSONI,STIMPSON'S WHELK,346
CONGER OCEANICUS,CONGER EEL,063
CONGRIDAE,CONGER EEL UNCL,390
COOKEOLUS JAPONICUS,BULLEYE,616
CORNIGER SPINOSUS,SPINYCHEEK SOLDIERFISH,477
CORYPHAENA EQUISETIS,POMPANO DOLPHIN,583
CORYPHAENA HIPPURUS,DOLPHIN,584
COSMOCAMPUS ALBIROSTRIS,WHITENOSE PIPEFISH,491
COTTIDAE,SCULPIN UNCL,160
CRANGON SEPTEMSPINOSA,SEVENSPINE BAY SHRIMP,287
CRUSTACEA SHRIMP,SHRIMP UNCL,305
CRYPTACANTHODES MACULATUS,WRYMOUTH,191
CRYPTOTOMUS ROSEUS,BLUELIP PARROTFISH,684
CUBICEPS PAUCIRADIATUS,BIGEYE CIGARFISH,876
CYCLOCARDIA BOREALIS,NORTHERN CYCLOCARDIA,419
CYCLOPSETTA FIMBRIATA,SPOTFIN FLOUNDER,783
CYCLOPTERIDAE,LUMPFISH SNAILFISH UNCL,249
CYCLOPTERUS LUMPUS,LUMPFISH,168
CYNOSCION ARENARIUS,SAND SEATROUT,644
CYNOSCION NEBULOSUS,SPOTTED SEATROUT,645
CYNOSCION NOTHUS,SILVER SEATROUT,646
CYNOSCION REGALIS,WEAKFISH,145
CYPRINODON VARIEGATUS,SHEEPSHEAD MINNOW,472
CYPSELURUS CYANOPTERUS,MARGINED FLYINGFISH,463
CYPSELURUS FURCATUS,SPOTFIN FLYINGFISH,464
CYPSELURUS MELANURUS,ATLANTIC FLYINGFISH,465
CYRTODARIA SILIQUA,NORTHERN PROPELLER CLAM,417
CYTTOPSIS ROSEA,RED DORY,899
DACTYLOPTERUS VOLITANS,FLYING GURNARD,175
DASYATIS AMERICANA,SOUTHERN STINGRAY,029
DASYATIS CENTROURA,ROUGHTAIL STINGRAY,004
DASYATIS SABINA,ATLANTIC STINGRAY,373
DASYATIS SAY,BLUNTNOSE STINGRAY,018
DASYATIS VIOLACEA,PELAGIC STINGRAY,374
DECAPTERUS MACARELLUS,MACKEREL SCAD,208
DECAPTERUS PUNCTATUS,ROUND SCAD,211
DECODON PUELLARIS,RED HOGFISH,675
DELPHINIDAE,DOLPHIN UNCLASSIFIED,967
DELPHINUS DELPHIS,COMMON DOLPHIN,963
DERMOCHELYS CORIACEA,LEATHERBACK SEATURTLE,952
DIAPHUS DUMERILI,HEADLIGHTFISH,210
DIAPHUS SP,HEADLIGHTFISH UNCL,061
DIBRANCHUS ATLANTICUS,ATLANTIC BATFISH,199
DICHELOPANDALUS LEPTOCERUS,BRISTLED LONGBEAK,296
DIODON HOLOCANTHUS,BALLOONFISH,849
DIODON HYSTRIX,PORCUPINEFISH,850
DIPLECTRUM BIVITTATUM,DWARF SAND PERCH,529
DIPLECTRUM FORMOSUM,SAND PERCH,530
