"","SCINAME","SVSPP","ITISSPP","COMNAME","AUTHOR"
NA,PHYSICULUS FULVUS,82,550838,METALLIC CODLING,Bean, 1885
NA,ENCHELYOPUS CIMBRIUS,83,164748,FOURBEARD ROCKLING,(Linnaeus, 1776)
NA,BROSME BROSME,84,164740,CUSK,(Ascanius, 1772)
NA,GAIDROPSARUS ENSIS,85,164769,THREEBEARD ROCKLING,(Reinhardt, 1837)
NA,MERLUCCIUS ,86,164790,HAKES,NA
NA,UROPHYCIS ,87,164729,CODLINGS,NA
NA,MORIDAE,88,164670,MORA UNCL,Moreau, 1881
NA,MACROURIDAE,90,165332,GRENADIER UNCL,Gilbert and Hubbs, 1916
NA,NEZUMIA BAIRDII ,91,165395,MARLIN-SPIKE,NA
NA,MACROURUS BERGLAX,92,165421,ROUGHHEAD GRENADIER,Lacepede, 1810
NA,CAELORINCHUS CAELORHINCUS CARMINATUS ,93,623199,LONGNOSE GRENADIER,NA
NA,POECILOPSETTA BEANI,98,172938,DEEPWATER DAB,NA
NA,REINHARDTIUS HIPPOGLOSSOIDES,99,172930,GREENLAND HALIBUT,(Walbaum, 1792)
NA,PLEURONECTIFORMES,100,172702,FLOUNDER UNCL,NA
NA,HIPPOGLOSSUS HIPPOGLOSSUS,101,172933,ATLANTIC HALIBUT,(Linnaeus, 1758)
NA,HIPPOGLOSSOIDES PLATESSOIDES,102,172877,AMERICAN PLAICE,(Fabricius, 1780)
NA,PARALICHTHYS DENTATUS,103,172735,SUMMER FLOUNDER,(Linnaeus, 1766)
NA,PARALICHTHYS OBLONGUS,104,172739,FOURSPOT FLOUNDER,(Mitchill, 1815)
NA,LIMANDA FERRUGINEA ,105,172909,YELLOWTAIL FLOUNDER,NA
NA,PSEUDOPLEURONECTES AMERICANUS ,106,172905,WINTER FLOUNDER,NA
NA,GLYPTOCEPHALUS CYNOGLOSSUS,107,172873,WITCH FLOUNDER,(Linnaeus, 1758)
NA,SCOPHTHALMUS AQUOSUS,108,172746,WINDOWPANE,(Mitchill, 1815)
NA,CITHARICHTHYS ARCTIFRONS,109,172719,GULF STREAM FLOUNDER,Goode, 1880
NA,MONOLENE SESSILICAUDA,110,172789,DEEPWATER FLOUNDER,Goode, 1880
NA,MACRORHAMPHOSUS SCOLOPAX,111,166423,LONGSPINE SNIPEFISH,(Linnaeus, 1758) (syn)
