MISSION,VESEL,CRUNO,YEAR,SEASON
HAM1978009,H,9,1978,FALL
HAM1978010,H,10,1978,FALL
HAM1979026,H,26,1979,FALL
HAM1979027,H,27,1979,FALL
HAM1980042,H,42,1980,FALL
HAM1980043,H,43,1980,FALL
HAM1981064,H,64,1981,FALL
HAM1981065,H,65,1981,FALL
HAM1982084,H,84,1982,FALL
HAM1982085,H,85,1982,FALL
NED1983018,N,18,1983,FALL
NED1983017,N,17,1983,FALL
NED1984037,N,37,1984,FALL
NED1984036,N,36,1984,FALL
NED1986070,N,70,1986,FALL
