"Stratum","Mission","SurveyYear","Season","SurveyDate","SetNumber","Distance_NM","Longitude_DD","Latitude_DD","Gear","SurfaceTemperature_C","BottomTemperature_C","BottomSalinity_PSU","MinimumDepth_Fathoms","MaximumDepth_Fathoms","Species","TaxonomicSerialNumber","ScientificName","TaxonomicNameAuthor","TotalNumberStandardized","TotalWeightStandardized_KG"
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,41,172873,"Glyptocephalus cynoglossus","(Linnaeus, 1758)",0.92,0.92
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,114,164748,"Enchelyopus cimbrius","(Linnaeus, 1766)",4.61,0
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,12,164732,"Urophycis tenuis","(Mitchill, 1814)",382.24,259.74
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,23,166705,"Sebastes","Cuvier, 1829",35.92,7.37
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,202,564151,"Malacoraja senta","(Garman, 1885)",4.61,1.84
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,201,564149,"Amblyraja radiata","(Donovan, 1808)",3.68,3.68
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,11,164744,"Melanogrammus aeglefinus","(Linnaeus, 1758)",2.76,6.45
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,40,172877,"Hippoglossoides platessoides","(Fabricius, 1780)",36.84,18.42
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,320,167289,"Hemitripterus americanus","(Gmelin, 1789)",2.76,3.68
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,16,164727,"Pollachius virens","(Linnaeus, 1758)",1.84,2.76
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,10,164712,"Gadus morhua","Linnaeus, 1758",14.74,52.5
440,"HAM1981048",1981,"SPRING","26/02/1981 6:35",18,1.9,-58.88333,46.23333,"WESTERN IIA TRAWL",-1,5.83,34.721,138,140,221,160703,"Centroscyllium fabricii","(Reinhardt, 1825)",11.97,12.89
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,201,564149,"Amblyraja radiata","(Donovan, 1808)",2.06,1.03
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,23,166705,"Sebastes","Cuvier, 1829",90.59,70
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,411,165421,"Macrourus berglax","Lacepède, 1801",4.12,1.03
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,12,164732,"Urophycis tenuis","(Mitchill, 1814)",162.65,219.26
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,52,550561,"Anarhichas denticulatus","Krøyer, 1845",1.03,1.03
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,202,564151,"Malacoraja senta","(Garman, 1885)",3.09,1.03
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,31,172930,"Reinhardtius hippoglossoides","(Walbaum, 1792)",1.03,1.03
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,221,160703,"Centroscyllium fabricii","(Reinhardt, 1825)",108.09,74.12
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,40,172877,"Hippoglossoides platessoides","(Fabricius, 1780)",98.82,81.32
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,41,172873,"Glyptocephalus cynoglossus","(Linnaeus, 1758)",8.24,4.12
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,320,167289,"Hemitripterus americanus","(Gmelin, 1789)",1.03,2.06
440,"HAM1981048",1981,"SPRING","26/02/1981 9:25",19,1.7,-58.7,46.23333,"WESTERN IIA TRAWL",-1,5.51,34.794,189,191,647,165284,"Lycodes vahlii","Reinhardt, 1831",3.09,0
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,16,164727,"Pollachius virens","(Linnaeus, 1758)",1.09,2.19
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,11,164744,"Melanogrammus aeglefinus","(Linnaeus, 1758)",1.09,1.09
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,40,172877,"Hippoglossoides platessoides","(Fabricius, 1780)",43.75,25.16
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,201,564149,"Amblyraja radiata","(Donovan, 1808)",9.84,50.31
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,400,164499,"Lophius americanus","Valenciennes in Cuvier and Valenciennes, 1837",3.28,8.75
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,23,166705,"Sebastes","Cuvier, 1829",48.13,12.03
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,10,164712,"Gadus morhua","Linnaeus, 1758",50.31,112.66
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,41,172873,"Glyptocephalus cynoglossus","(Linnaeus, 1758)",9.84,3.28
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,12,164732,"Urophycis tenuis","(Mitchill, 1814)",250.47,262.5
440,"HAM1981048",1981,"SPRING","26/02/1981 14:35",21,1.6,-58.58333,46.01667,"WESTERN IIA TRAWL",-1,5.7,34.5,133,136,14,164791,"Merluccius bilinearis","(Mitchill, 1814)",8.75,4.38
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,10,164712,"Gadus morhua","Linnaeus, 1758",8175.56,3787.71
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,16,164727,"Pollachius virens","(Linnaeus, 1758)",2.97,0.99
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,23,166705,"Sebastes","Cuvier, 1829",0.99,0
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,60,161722,"Clupea harengus","Linnaeus, 1758",0.99,0
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,30,172933,"Hippoglossus hippoglossus","(Linnaeus, 1758)",1.98,36.58
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,40,172877,"Hippoglossoides platessoides","(Fabricius, 1780)",2.97,0.99
440,"NED1995217",1995,"SPRING","28/02/1995 1:19",8,1.77,-58.67983,46.11217,"WESTERN IIA TRAWL",-1.5,5.54,34.73,145,151,31,172930,"Reinhardtius hippoglossoides","(Walbaum, 1792)",0.99,0.99
441,"HAM1981048",1981,"SPRING","25/02/1981 20:55",15,1.6,-59.38333,46.36667,"WESTERN IIA TRAWL",0.1,2.11,33.132,68,69,40,172877,"Hippoglossoides platessoides","(Fabricius, 1780)",5.47,1.09
441,"HAM1981048",1981,"SPRING","25/02/1981 20:55",15,1.6,-59.38333,46.36667,"WESTERN IIA TRAWL",0.1,2.11,33.132,68,69,60,161722,"Clupea harengus","Linnaeus, 1758",288.75,52.5
441,"HAM1981048",1981,"SPRING","25/02/1981 20:55",15,1.6,-59.38333,46.36667,"WESTERN IIA TRAWL",0.1,2.11,33.132,68,69,640,630979,"Zoarces americanus","(Bloch and Schneider, 1801)",1.09,0
441,"HAM1981048",1981,"SPRING","25/02/1981 20:55",15,1.6,-59.38333,46.36667,"WESTERN IIA TRAWL",0.1,2.11,33.132,68,69,50,171341,"Anarhichas lupus","Linnaeus, 1758",1.09,0
441,"HAM1981048",1981,"SPRING","25/02/1981 20:55",15,1.6,-59.38333,46.36667,"WESTERN IIA TRAWL",0.1,2.11,33.132,68,69,10,164712,"Gadus morhua","Linnaeus, 1758",7.66,1.09
441,"HAM1981048",1981,"SPRING","25/02/1981 20:55",15,1.6,-59.38333,46.36667,"WESTERN IIA TRAWL",0.1,2.11,33.132,68,69,201,564149,"Amblyraja radiata","(Donovan, 1808)",4.38,1.09
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,114,164748,"Enchelyopus cimbrius","(Linnaeus, 1766)",1.25,0
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,202,564151,"Malacoraja senta","(Garman, 1885)",2.5,2.5
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,50,171341,"Anarhichas lupus","Linnaeus, 1758",17.5,13.75
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,23,166705,"Sebastes","Cuvier, 1829",40,5
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,16,164727,"Pollachius virens","(Linnaeus, 1758)",16.25,2.5
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,10,164712,"Gadus morhua","Linnaeus, 1758",2151.25,871.25
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,647,165284,"Lycodes vahlii","Reinhardt, 1831",5,0
441,"HAM1981048",1981,"SPRING","26/02/1981 4:25",17,1.4,-59.06667,46.23333,"WESTERN IIA TRAWL",-0.4,3.38,33.759,77,78,201,564149,"Amblyraja radiata","(Donovan, 1808)",11.25,1.25
