Survey.Year,Trip.identifier,Set.number,ITIS.TSN,Species.code,Scientific.name,English.common.name,French.common.name,LSID,Catch.weight..kg.,Catch.count..pieces.
2006,62066,1,160942,057,BATHYRAJA TRACHURA,ROUGHTAIL SKATE,RAIE <c0> QUEUE RUDE,urn:lsid:marinespecies.org:taxname:271538,1.36,2
2006,62066,1,161612,087,NEMICHTHYIDAE,SNIPE EELS,POISSONS-AVOCETTES,urn:lsid:marinespecies.org:taxname:125432,NA,1
2006,62066,1,69459,10A,GASTROPODA,GASTROPODS,GASTROPODES,urn:lsid:marinespecies.org:taxname:101,0.12,NA
2006,62066,1,162080,152,BATHYLAGIDAE,DEEPSEA SMELTS,GARCETTES,urn:lsid:marinespecies.org:taxname:125509,0.12,3
2006,62066,1,162247,167,TACTOSTOMA MACROPUS,LONGFIN DRAGONFISH,DRAGON <c0> LONGUES NAGEOIRES,urn:lsid:marinespecies.org:taxname:282922,0.18,5
2006,62066,1,162279,171,CHAULIODUS MACOUNI,PACIFIC VIPERFISH,CHAULIODE F<c9>ROCE,urn:lsid:marinespecies.org:taxname:275055,0.26,NA
2006,62066,1,162463,180,PARALEPIDIDAE,BARRACUDINAS,LUSSIONS,urn:lsid:marinespecies.org:taxname:125447,0.2,1
2006,62066,1,162584,189,DIAPHUS THETA,CALIFORNIA HEADLIGHTFISH,LAMPE-DE-T<ca>TE <c0> TACHES BLANCHES,urn:lsid:marinespecies.org:taxname:272694,NA,2
2006,62066,1,162664,198,STENOBRACHIUS LEUCOPSARUS,NORTHERN LAMPFISH,LANTERNE DU NORD,urn:lsid:marinespecies.org:taxname:254363,0.28,11
2006,62066,1,164673,220,ANTIMORA MICROLEPIS,PACIFIC FLATNOSE,ANTIMORE <c0> PETITES <c9>CAILLES,urn:lsid:marinespecies.org:taxname:272460,3.04,NA
2006,62066,1,165219,235,BOTHROCARA BRUNNEUM,TWOLINE EELPOUT,LYCODE <c0> DEUX LIGNES,urn:lsid:marinespecies.org:taxname:279397,0.18,2
2006,62066,1,165335,250,CORYPHAENOIDES CINEREUS,POPEYE,GRENADIER CENDR<c9>,urn:lsid:marinespecies.org:taxname:272326,10.78,NA
2006,62066,1,165334,251,CORYPHAENOIDES ACROLEPIS,PACIFIC GRENADIER,GRENADIER <c0> <c9>CAILLES RUDES,urn:lsid:marinespecies.org:taxname:272313,155.81,NA
2006,62066,1,649753,254,CORYPHAENOIDES FILIFER,THREADFIN GRENADIER,,urn:lsid:marinespecies.org:taxname:272331,1.46,NA
2006,62066,1,165427,256,ALBATROSSIA PECTORALIS,GIANT GRENADIER,GRENADIER PECTORAL,urn:lsid:marinespecies.org:taxname:236135,27.28,NA
2006,62066,1,166108,264,POROMITRA CRASSICEPS,CRESTED BIGSCALE,HEAUME <c0> CR<ca>TE,urn:lsid:marinespecies.org:taxname:127273,0.02,2
2006,62066,1,46861,2A0,PORIFERA,SPONGES,<c9>PONGES,urn:lsid:marinespecies.org:taxname:558,0.54,NA
2006,62066,1,51483,3G0,SCYPHOZOA,JELLYFISH,M<c9>DUSES,urn:lsid:marinespecies.org:taxname:135220,0.32,6
2006,62066,1,52485,3L0,ACTINIARIA,ANEMONE,,urn:lsid:marinespecies.org:taxname:1360,0.38,2
2006,62066,1,52629,3N2,STOMPHIA,STOMPHIA,,urn:lsid:marinespecies.org:taxname:100716,0.04,1
2006,62066,1,52348,3U0,PENNATULACEA,SEA PENS,,urn:lsid:marinespecies.org:taxname:1367,NA,1
2006,62066,1,166783,451,SEBASTOLOBUS ALASCANUS,SHORTSPINE THORNYHEAD,S<c9>BASTOLOBE <c0> COURTES <c9>PINES,urn:lsid:marinespecies.org:taxname:282740,3.64,5
2006,62066,1,166784,453,SEBASTOLOBUS ALTIVELIS,LONGSPINE THORNYHEAD,S<c9>BASTOLOBE <c0> LONGUES <c9>PINES,urn:lsid:marinespecies.org:taxname:282741,18.8,NA
2006,62066,1,167123,455,ANOPLOPOMA FIMBRIA,SABLEFISH,MORUE CHARBONNI<c8>RE,urn:lsid:marinespecies.org:taxname:159463,53.58,NA
2006,62066,1,156961,4HI,NEARCHASTER VARIABILIS,NEARCHASTER VARIABILIS,,unknown,0.04,3
2006,62066,1,157009,4JI,HIPPASTERIA CALIFORNICA,HIPPASTERIA CALIFORNICA,,urn:lsid:marinespecies.org:taxname:254890,0.16,1
2006,62066,1,157203,4YX,MYXODERMA SACCULATUM,MYXODERMA SACCULATUM,,urn:lsid:marinespecies.org:taxname:255087,0.06,2
2006,62066,1,157345,5QA,EURYALINA,BASKET STARS,,urn:lsid:marinespecies.org:taxname:123115,NA,2
2006,62066,1,172866,605,EMBASSICHTHYS BATHYBIUS,DEEPSEA SOLE,PLIE DE PROFONDEUR,urn:lsid:marinespecies.org:taxname:280641,1.14,2
2006,62066,1,158492,6UA,MOLPADIIDAE,MOLPADIIDAE,,urn:lsid:marinespecies.org:taxname:123196,0.62,1
