MISSION,VESEL,CRUNO,YEAR,SEASON
HAM1979013,H,13,1979,SPRING
HAM1979014,H,14,1979,SPRING
HAM1980033,H,33,1980,SPRING
HAM1980034,H,34,1980,SPRING
HAM1981048,H,48,1981,SPRING
HAM1981049,H,49,1981,SPRING
HAM1982071,H,71,1982,SPRING
HAM1982072,H,72,1982,SPRING
HAM1983094,H,94,1983,SPRING
HAM1983095,H,95,1983,SPRING
NED1984024,N,24,1984,SPRING
NED1984025,N,25,1984,SPRING
NED1985041,N,41,1985,SPRING
NED1986059,N,59,1986,SPRING
NED1987077,N,77,1987,SPRING
NED1988097,N,97,1988,SPRING
NED1989116,N,116,1989,SPRING
NED1990133,N,133,1990,SPRING
NED2009841,N,841,2009,SPRING
NED1991148,N,148,1991,SPRING
NED1992165,N,165,1992,SPRING
TEM1993134,T,134,1993,SPRING
NED1994200,N,200,1994,SPRING
NED1995216,N,216,1995,SPRING
NED1995217,N,217,1995,SPRING
NED1996237,N,237,1996,SPRING
NED1997254,N,254,1997,SPRING
NED1998773,N,773,1998,SPRING
NED1999871,N,871,1999,SPRING
NED2000965,N,965,2000,SPRING
NED2001003,N,3,2001,SPRING
NED2002002,N,2,2002,SPRING
NED2003002,N,2,2003,SPRING
TEM2004004,T,4,2004,SPRING
TEL2005545,S,545,2005,SPRING
NED2005001,N,1,2005,SPRING
NED2006001,N,1,2006,SPRING
TEL2006614,S,614,2006,SPRING
TEM2007685,T,685,2007,SPRING
TEM2008775,T,775,2008,SPRING
NED2013002,N,2,2013,SPRING
NED2010001,N,1,2010,SPRING
NED2011002,N,2,2011,SPRING
NED2012002,N,2,2012,SPRING
NED2014002,N,2,2014,SPRING
NED2014101,N,101,2014,SPRING
NED2015002,N,2,2015,SPRING
TEL2016003,S,3,2016,SPRING
VEN2018002,V,2,2018,SPRING
NED2019102,N,102,2019,SPRING
TEL2016002,S,2,2016,SPRING
NED2017102,N,102,2017,SPRING
TEL2020102,S,102,2020,SPRING
TEL2017002,S,2,2017,SPRING
NED2017002,N,2,2017,SPRING
NED2019002,N,2,2019,SPRING
TEL2020002,S,2,2020,SPRING
