Survey.Year,Trip.identifier,Tow.number,Sample.identifier,Specimen.identifer,ITIS.TSN,Species.code,Scientific.name,English.common.name,French.common.name,LSID,Fork.length..mm.,Total.length..mm.,Standard.length..mm.,Second.dorsal.length..mm.,Sex,Weight..g.,Age.sample,Age,Genetics..DNA..sample
2012,72189,2,389072,12117648,159988,38,APRISTURUS BRUNNEUS,BROWN CAT SHARK,HOLBICHE BRUNE,urn:lsid:marinespecies.org:taxname:158512,NA,520,NA,NA,0,NA,NO,NA,NO
2012,72189,2,389072,12117649,159988,38,APRISTURUS BRUNNEUS,BROWN CAT SHARK,HOLBICHE BRUNE,urn:lsid:marinespecies.org:taxname:158512,NA,210,NA,NA,2,NA,NO,NA,NO
2012,72189,2,389072,12117650,159988,38,APRISTURUS BRUNNEUS,BROWN CAT SHARK,HOLBICHE BRUNE,urn:lsid:marinespecies.org:taxname:158512,NA,200,NA,NA,2,NA,NO,NA,NO
2012,72189,2,389072,12117651,159988,38,APRISTURUS BRUNNEUS,BROWN CAT SHARK,HOLBICHE BRUNE,urn:lsid:marinespecies.org:taxname:158512,NA,200,NA,NA,1,NA,NO,NA,NO
2012,72189,2,389074,12117806,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,600,NA,NA,2,830,YES,NA,NO
2012,72189,2,389074,12117807,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,650,NA,NA,2,1134,YES,NA,NO
2012,72189,2,389074,12117808,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,740,NA,NA,2,1620,YES,NA,NO
2012,72189,2,389074,12117809,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,1060,NA,NA,2,5280,YES,NA,NO
2012,72189,2,389074,12117810,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,680,NA,NA,2,1254,YES,NA,NO
2012,72189,2,389074,12117811,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,840,NA,NA,2,2324,YES,NA,NO
2012,72189,2,389074,12117812,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,750,NA,NA,2,1481,YES,NA,NO
2012,72189,2,389074,12117813,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,820,NA,NA,2,2293,YES,NA,NO
2012,72189,2,389074,12117814,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,640,NA,NA,2,928,YES,NA,NO
2012,72189,2,389074,12117815,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,560,NA,NA,2,594,YES,NA,NO
2012,72189,2,389074,12117816,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,735,NA,NA,2,1680,YES,NA,NO
2012,72189,2,389074,12117817,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,755,NA,NA,2,1636,YES,NA,NO
2012,72189,2,389074,12117818,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,690,NA,NA,2,1214,YES,NA,NO
2012,72189,2,389074,12117819,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,1090,NA,NA,2,6650,YES,NA,NO
2012,72189,2,389074,12117820,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,740,NA,NA,1,1550,YES,NA,NO
2012,72189,2,389074,12117821,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,775,NA,NA,1,1624,YES,NA,NO
2012,72189,2,389074,12117822,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,735,NA,NA,1,1400,YES,NA,NO
2012,72189,2,389074,12117823,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,750,NA,NA,1,1688,YES,NA,NO
2012,72189,2,389074,12117824,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,780,NA,NA,1,1845,YES,NA,NO
2012,72189,2,389074,12117825,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,720,NA,NA,1,1255,YES,NA,NO
2012,72189,2,389074,12117826,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,755,NA,NA,1,1794,YES,NA,NO
2012,72189,2,389074,12117827,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,800,NA,NA,1,1640,YES,NA,NO
2012,72189,2,389074,12117828,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,755,NA,NA,1,1532,YES,NA,NO
2012,72189,2,389074,12117829,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,730,NA,NA,1,1570,YES,NA,NO
2012,72189,2,389074,12117830,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,750,NA,NA,1,1546,YES,NA,NO
2012,72189,2,389074,12117831,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,800,NA,NA,1,1870,YES,NA,NO
2012,72189,2,389074,12117832,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,705,NA,NA,1,1220,YES,NA,NO
2012,72189,2,389074,12117833,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,765,NA,NA,1,1546,YES,NA,NO
2012,72189,2,389074,12117834,160617,44,SQUALUS SUCKLEYI,NORTH PACIFIC SPINY DOGFISH,AIGUILLAT DU PACIFIQUE,urn:lsid:marinespecies.org:taxname:299224,NA,705,NA,NA,1,1224,YES,NA,NO
2012,72189,2,389076,12117667,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,340,1,NA,NO,NA,NO
2012,72189,2,389076,12117668,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,280,1,NA,NO,NA,NO
2012,72189,2,389076,12117669,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,300,1,NA,NO,NA,NO
2012,72189,2,389076,12117670,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,350,1,NA,NO,NA,NO
2012,72189,2,389076,12117671,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,370,1,NA,NO,NA,NO
2012,72189,2,389076,12117672,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,320,1,NA,NO,NA,NO
2012,72189,2,389076,12117673,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,330,1,NA,NO,NA,NO
2012,72189,2,389076,12117674,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,350,1,NA,NO,NA,NO
2012,72189,2,389076,12117675,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,350,1,NA,NO,NA,NO
2012,72189,2,389076,12117676,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,360,1,NA,NO,NA,NO
2012,72189,2,389076,12117677,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,360,1,NA,NO,NA,NO
2012,72189,2,389076,12117678,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,320,1,NA,NO,NA,NO
2012,72189,2,389076,12117679,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,340,1,NA,NO,NA,NO
2012,72189,2,389076,12117680,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,290,1,NA,NO,NA,NO
2012,72189,2,389076,12117681,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,390,2,NA,NO,NA,NO
2012,72189,2,389076,12117682,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,390,2,NA,NO,NA,NO
2012,72189,2,389076,12117683,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,330,2,NA,NO,NA,NO
2012,72189,2,389076,12117684,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,310,2,NA,NO,NA,NO
2012,72189,2,389076,12117685,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,360,2,NA,NO,NA,NO
2012,72189,2,389076,12117686,161015,66,HYDROLAGUS COLLIEI,SPOTTED RATFISH,CHIM<c8>RE D<92>AM<c9>RIQUE,urn:lsid:marinespecies.org:taxname:271406,NA,NA,NA,310,2,NA,NO,NA,NO
