MISSION,SETNO,SPEC,TOTWGT,TOTNO
TEL2005545,67,8,0.18,1
HAM1979013,1,10,0,2
HAM1980033,1,10,83,121
HAM1980034,1,10,0,1
HAM1981048,1,10,2,2
HAM1982071,1,10,0,1
HAM1982072,1,10,5,3
HAM1983094,1,10,24,11
NED1984024,1,10,13,4
NED1984025,1,10,6,2
NED1987077,1,10,46,27
NED1988097,1,10,62,28
NED1989116,1,10,24,10
NED1990133,1,10,34,29
NED1992165,1,10,76,28
NED1994200,1,10,8,1
NED1996237,1,10,3.45,3
NED1997254,1,10,20.25,8
NED1998773,1,10,15.04,13
NED1999871,1,10,17.78,12
NED2000965,1,10,5.61,3
NED2001003,1,10,107.35,24
NED2002002,1,10,4.14,1
NED2003002,1,10,1.955,1
NED2005001,1,10,2.72,1
NED2010001,1,10,2.95,1
NED2014101,1,10,0.086,1
TEL2016003,1,10,1.27,2
TEM1993134,1,10,7,5
TEM2007685,1,10,23.9,11
VEN2018002,1,10,1.58,1
HAM1980033,2,10,1,11
HAM1981048,2,10,7,18
HAM1981049,2,10,0,4
HAM1982071,2,10,8,14
NED1984024,2,10,3,1
NED1985041,2,10,0,1
NED1987077,2,10,87,54
NED1988097,2,10,126,76
NED1989116,2,10,65,41
NED1990133,2,10,10,4
NED1991148,2,10,43,23
NED1992165,2,10,26,16
NED1994200,2,10,66,38
NED1995216,2,10,69,23
NED1996237,2,10,23.91,12
NED1997254,2,10,54.18,21
NED1998773,2,10,8.77,9
NED1999871,2,10,78.3,55
NED2000965,2,10,19.69,6
NED2001003,2,10,42.99,11
NED2002002,2,10,15.84,6
NED2003002,2,10,1.58,1
NED2005001,2,10,8.21,10
NED2009841,2,10,63.24,25
NED2014002,2,10,3.35,2
NED2017102,2,10,0.121,3
NED2019002,2,10,3.764,1
TEL2017002,2,10,4.64,3
TEM1993134,2,10,54,38
TEM2007685,2,10,12.95,9
TEM2008775,2,10,155.75,72
HAM1979014,3,10,15,9
HAM1980033,3,10,261,149
HAM1980034,3,10,20,20
HAM1981049,3,10,4,10
HAM1982071,3,10,8,7
NED1986059,3,10,38,15
NED1988097,3,10,210,101
NED1990133,3,10,139,60
NED1991148,3,10,63,33
NED1992165,3,10,129,81
NED1994200,3,10,7,7
NED1995216,3,10,30,10
NED1996237,3,10,64.65,44
NED1997254,3,10,16.69,6
NED1998773,3,10,25.6,10
NED1999871,3,10,33.2,23
NED2000965,3,10,110.98,44
NED2001003,3,10,88.3,31
NED2002002,3,10,117.2,38
NED2003002,3,10,1.47,1
NED2005001,3,10,3.6,1
NED2006001,3,10,7.55,7
NED2009841,3,10,17.33,8
NED2010001,3,10,28.37,10
NED2012002,3,10,3.03,2
NED2014002,3,10,38.12,15
NED2019002,3,10,23.95,6
TEL2016002,3,10,72.32,36
TEL2016003,3,10,9.44,8
TEL2020002,3,10,27.7,23
TEL2020102,3,10,1.16,3
TEM1993134,3,10,22,10
TEM2007685,3,10,55.15,23
TEM2008775,3,10,154,58
VEN2018002,3,10,1.46,1
HAM1979013,4,10,10,5
HAM1979014,4,10,1,10
HAM1980033,4,10,2,17
HAM1980034,4,10,50,45
HAM1982071,4,10,25,26
HAM1982072,4,10,1,2
NED1984024,4,10,0,1
NED1987077,4,10,18,3
NED1988097,4,10,73,33
NED1990133,4,10,266,124
NED1991148,4,10,123,67
NED1992165,4,10,61,36
NED1994200,4,10,14,3
NED1995216,4,10,11,12
NED1996237,4,10,6.64,1
NED1998773,4,10,22.46,11
NED1999871,4,10,48.77,39
NED2000965,4,10,3524.68,1763
NED2001003,4,10,338.42,52
NED2002002,4,10,3.1,2
NED2003002,4,10,46.48,17
NED2005001,4,10,41.48,42
NED2006001,4,10,1.66,2
NED2009841,4,10,7.3,3
NED2010001,4,10,111.56,49
NED2012002,4,10,42.34,13
NED2013002,4,10,32.36,20
NED2017002,4,10,3.24,2
NED2019002,4,10,31.4,6
TEL2016002,4,10,114.59,41
TEL2016003,4,10,7.66,5
TEL2020002,4,10,1.528,1
TEM1993134,4,10,29,11
TEM2007685,4,10,80.75,44
TEM2008775,4,10,69.45,29
HAM1979014,5,10,1,7
HAM1980033,5,10,5,43
HAM1980034,5,10,21,22
HAM1982071,5,10,83,39
HAM1982072,5,10,0,2
NED1984025,5,10,26,31
NED1985041,5,10,16,4
NED1986059,5,10,26,8
NED1987077,5,10,6,1
NED1988097,5,10,74,51
NED1989116,5,10,16,8
NED1990133,5,10,49,13
NED1991148,5,10,149,87
NED1992165,5,10,134,54
NED1994200,5,10,77,11
NED1995216,5,10,11,8
NED1996237,5,10,11.38,3
NED1997254,5,10,457.21,131
NED1999871,5,10,300.49,56
NED2000965,5,10,544.74,82
NED2001003,5,10,2224.914,427
NED2002002,5,10,268.18,93
NED2005001,5,10,34.46,19
NED2006001,5,10,1.06,1
NED2009841,5,10,7.4,5
NED2010001,5,10,4.35,2
NED2012002,5,10,1.418,2
NED2013002,5,10,5.76,8
NED2014002,5,10,11.25,1
NED2014101,5,10,0.446,3
NED2017002,5,10,1.832,1
NED2019002,5,10,3.46,1
TEL2016002,5,10,65.68,24
TEL2020002,5,10,4.08,2
TEL2020102,5,10,1.58,1
TEM1993134,5,10,46,38
TEM2004004,5,10,138.5,27
TEM2007685,5,10,87.75,64
TEM2008775,5,10,94.1,39
HAM1979013,6,10,9,4
HAM1979014,6,10,60,38
HAM1980034,6,10,17,13
HAM1981048,6,10,29,27
HAM1982072,6,10,1,4
HAM1983095,6,10,17,26
NED1984025,6,10,3,6
NED1986059,6,10,3,16
NED1988097,6,10,49,27
NED1990133,6,10,165,41
NED1991148,6,10,230,74
NED1992165,6,10,237,130
NED1994200,6,10,9,7
NED1995216,6,10,5,2
NED1996237,6,10,99.64,45
NED1997254,6,10,50.61,13
NED1998773,6,10,40.29,19
NED1999871,6,10,10.79,7
NED2000965,6,10,577.27,86
NED2001003,6,10,137.29,28
NED2002002,6,10,61.27,16
NED2003002,6,10,21.67,10
NED2006001,6,10,21.35,16
NED2009841,6,10,23.7,7
NED2012002,6,10,18,5
NED2013002,6,10,17.5,15
NED2014002,6,10,3.29,2
NED2014101,6,10,0.24,4
NED2019002,6,10,0.826,1
NED2019102,6,10,6.87,2
TEL2016002,6,10,9.75,2
TEM1993134,6,10,28,22
TEM2004004,6,10,11.95,4
TEM2008775,6,10,10,7
VEN2018002,6,10,0.078,1
HAM1979013,7,10,0,2
HAM1979014,7,10,1,1
HAM1980033,7,10,4,18
HAM1981048,7,10,4,23
HAM1981049,7,10,4,1
HAM1982071,7,10,34,15
HAM1982072,7,10,21,7
HAM1983094,7,10,11,22
NED1984024,7,10,10,2
NED1984025,7,10,42,20
NED1985041,7,10,10,6
NED1986059,7,10,1,1
NED1987077,7,10,47,11
NED1988097,7,10,83,36
NED1989116,7,10,89,51
NED1990133,7,10,329,91
NED1991148,7,10,1066,142
NED1992165,7,10,182,105
NED1994200,7,10,55,11
NED1995216,7,10,13,6
NED1996237,7,10,25.28,14
NED1997254,7,10,236.8,54
NED1998773,7,10,25.85,10
NED1999871,7,10,24.09,9
NED2001003,7,10,8.68,3
NED2002002,7,10,32.3,17
NED2003002,7,10,27.29,16
NED2005001,7,10,41.59,19
NED2009841,7,10,2673.05,782
NED2010001,7,10,65.65,31
NED2012002,7,10,2.656,1
NED2013002,7,10,13.06,12
NED2014002,7,10,35.6,19
NED2014101,7,10,1.105,4
TEL2016003,7,10,0.025,1
TEL2020102,7,10,0.29,1
TEM1993134,7,10,256,98
TEM2004004,7,10,8.8,3
TEM2007685,7,10,20.3,13
TEM2008775,7,10,47.15,23
VEN2018002,7,10,5.5,4
HAM1979013,8,10,31,14
HAM1979014,8,10,15,4
HAM1981048,8,10,9,46
HAM1982071,8,10,102,38
HAM1982072,8,10,1,1
HAM1983095,8,10,0,1
NED1984024,8,10,0,1
NED1985041,8,10,19,8
NED1987077,8,10,11,5
NED1988097,8,10,70,36
NED1989116,8,10,9,12
NED1990133,8,10,476,200
NED1991148,8,10,35,8
NED1992165,8,10,54,33
NED1994200,8,10,94,28
NED1995217,8,10,3831,8269
NED1997254,8,10,50.62,32
NED1998773,8,10,52.68,32
NED2000965,8,10,99.97,37
NED2001003,8,10,2.23,2
NED2002002,8,10,74.46,25
NED2003002,8,10,49.75,24
NED2005001,8,10,30.86,13
NED2006001,8,10,2.12,2
NED2009841,8,10,645.18,336
NED2010001,8,10,19.43,7
NED2011002,8,10,48.54,28
NED2012002,8,10,9.23,3
NED2013002,8,10,0.39,1
NED2014101,8,10,2.03,3
NED2019102,8,10,33.02,12
TEL2016002,8,10,9.6,5
TEL2017002,8,10,10.28,5
TEL2020102,8,10,0.656,1
TEM2004004,8,10,7.25,4
TEM2007685,8,10,19.45,15
TEM2008775,8,10,56.5,33
VEN2018002,8,10,11.73,6
HAM1979013,9,10,6,4
HAM1979014,9,10,18,9
HAM1980033,9,10,9,5
HAM1981049,9,10,7,3
HAM1982071,9,10,358,262
HAM1983094,9,10,1,5
HAM1983095,9,10,3,1
NED1984025,9,10,6,1
NED1985041,9,10,1,6
NED1986059,9,10,0,1
NED1989116,9,10,22,18
NED1990133,9,10,53,11
NED1991148,9,10,7,1
NED1992165,9,10,125,73
NED1994200,9,10,89,43
NED1995216,9,10,4,2
NED1995217,9,10,3,12
NED1996237,9,10,23.15,9
NED1997254,9,10,11.28,8
NED1998773,9,10,287.5,85
NED1999871,9,10,82.9,43
NED2001003,9,10,7.55,4
NED2002002,9,10,6.98,3
NED2003002,9,10,35.85,17
NED2005001,9,10,89.46,55
NED2006001,9,10,1.7,4
NED2009841,9,10,11.84,6
NED2010001,9,10,272.61,154
NED2011002,9,10,74.46,45
NED2012002,9,10,0.26,1
NED2013002,9,10,0.491,1
NED2014002,9,10,83.97,31
NED2019002,9,10,1.505,3
NED2019102,9,10,42.9,15
TEL2017002,9,10,44.12,13
TEM1993134,9,10,59,10
TEM2008775,9,10,10.25,7
VEN2018002,9,10,11.5,3
HAM1979013,10,10,121,32
HAM1979014,10,10,15,4
HAM1980033,10,10,2,2
HAM1980034,10,10,28,18
HAM1981049,10,10,0,1
HAM1982071,10,10,171,197
HAM1983095,10,10,5,1
NED1984025,10,10,28,9
NED1985041,10,10,4,24
NED1986059,10,10,15,10
NED1987077,10,10,5,1
NED1988097,10,10,25,15
NED1989116,10,10,97,50
NED1990133,10,10,8,1
NED1991148,10,10,6,5
NED1992165,10,10,73,19
NED1994200,10,10,137,86
NED1995216,10,10,2,1
NED1996237,10,10,38.77,27
NED1997254,10,10,0.73,1
NED1998773,10,10,22.8,14
NED1999871,10,10,128.42,67
NED2000965,10,10,25.79,13
NED2001003,10,10,38.7,12
NED2002002,10,10,29.71,7
NED2003002,10,10,45.78,18
NED2005001,10,10,83.87,35
NED2006001,10,10,117.14,44
NED2009841,10,10,9.98,4
NED2010001,10,10,29.71,15
NED2011002,10,10,66.66,33
NED2012002,10,10,2.914,2
NED2014002,10,10,16.89,13
NED2017002,10,10,3.65,3
NED2019002,10,10,7.345,6
TEL2017002,10,10,2.35,1
TEM1993134,10,10,10,3
TEM2004004,10,10,8.25,4
TEM2007685,10,10,18.95,10
TEM2008775,10,10,4.15,2
VEN2018002,10,10,45.63,19
HAM1980033,11,10,64,40
HAM1980034,11,10,5,2
HAM1981049,11,10,6,8
HAM1982071,11,10,1,1
