MISSION,SETNO,SPEC,TOTWGT,TOTNO
HAM1982072,11,10,40,15
HAM1983095,11,10,2,2
NED1984024,11,10,1,14
NED1984025,11,10,5,2
NED1985041,11,10,9,11
NED1986059,11,10,11,8
NED1988097,11,10,56,26
NED1989116,11,10,85,40
NED1990133,11,10,3,1
NED1992165,11,10,87,28
NED1994200,11,10,104,56
NED1995216,11,10,10,7
NED1996237,11,10,25.83,12
NED1997254,11,10,326.27,80
NED1999871,11,10,867.82,208
NED2000965,11,10,22.73,11
NED2001003,11,10,58.51,11
NED2002002,11,10,441.09,133
NED2003002,11,10,41.31,14
NED2006001,11,10,52.6,23
NED2009841,11,10,0.81,1
NED2010001,11,10,27.45,8
NED2011002,11,10,84.78,26
NED2012002,11,10,1.568,1
NED2014002,11,10,41.92,11
NED2017002,11,10,0.003,1
NED2019002,11,10,0.494,1
TEL2016002,11,10,14.2,3
TEL2016003,11,10,0.671,1
TEL2017002,11,10,22.96,11
TEM1993134,11,10,238,68
TEM2004004,11,10,34.6,7
TEM2008775,11,10,7.85,2
VEN2018002,11,10,155.42,70
HAM1979013,12,10,73,30
HAM1979014,12,10,7,6
HAM1980033,12,10,1,1
HAM1980034,12,10,1,1
HAM1981048,12,10,131,66
HAM1981049,12,10,6,3
HAM1982071,12,10,2,4
HAM1982072,12,10,78,39
HAM1983094,12,10,1611,4581
HAM1983095,12,10,2,2
NED1984025,12,10,7,4
NED1986059,12,10,3,2
NED1987077,12,10,5,1
NED1988097,12,10,73,28
NED1989116,12,10,67,39
NED1990133,12,10,2,1
NED1992165,12,10,104,27
NED1994200,12,10,118,71
NED1995216,12,10,4,1
NED1996237,12,10,26.31,16
NED1998773,12,10,6.93,4
NED1999871,12,10,236.5,88
NED2000965,12,10,18.82,10
NED2001003,12,10,45.26,11
NED2006001,12,10,38.1,14
NED2009841,12,10,6.03,4
NED2010001,12,10,1.29,1
NED2011002,12,10,96.32,30
NED2012002,12,10,12.11,4
NED2014002,12,10,10.15,7
NED2015002,12,10,2.622,1
NED2017002,12,10,2.37,2
NED2019002,12,10,18.95,14
TEL2016003,12,10,0.407,1
TEL2017002,12,10,1.31,2
TEM1993134,12,10,2,2
TEM2004004,12,10,27.4,9
TEM2007685,12,10,102.6,63
HAM1979013,13,10,131,45
HAM1980033,13,10,2,4
HAM1980034,13,10,11,6
HAM1981048,13,10,0,2
HAM1982071,13,10,6,3
HAM1983094,13,10,159,283
NED1984025,13,10,33,18
NED1985041,13,10,14,6
NED1986059,13,10,11,5
NED1987077,13,10,15,3
NED1988097,13,10,26,8
NED1989116,13,10,111,52
NED1990133,13,10,50,25
NED1991148,13,10,421,83
NED1992165,13,10,72,27
NED1994200,13,10,17,9
NED1995216,13,10,482,84
NED1997254,13,10,1,2
NED1998773,13,10,10.32,5
NED1999871,13,10,4.59,3
NED2000965,13,10,640.22,191
NED2001003,13,10,4.37,4
NED2003002,13,10,56.73,11
NED2005001,13,10,19.83,12
NED2006001,13,10,14.74,9
NED2009841,13,10,3.03,2
NED2011002,13,10,49.79,26
NED2012002,13,10,5.1,3
NED2013002,13,10,1.95,1
NED2014002,13,10,5.86,4
NED2019002,13,10,125.38,56
TEL2016003,13,10,1.12,1
TEL2020002,13,10,3.53,1
TEM1993134,13,10,4,2
TEM2004004,13,10,13.4,8
TEM2007685,13,10,71.35,29
VEN2018002,13,10,28.06,18
HAM1979013,14,10,3,2
HAM1980033,14,10,21,6
HAM1980034,14,10,5,1
HAM1981048,14,10,3,28
HAM1981049,14,10,72,898
HAM1982071,14,10,53,14
HAM1982072,14,10,21,14
HAM1983094,14,10,0,1
HAM1983095,14,10,2,1
NED1984024,14,10,8,3
NED1984025,14,10,12,7
NED1985041,14,10,9,2
NED1986059,14,10,25,5
NED1987077,14,10,12,1
NED1988097,14,10,2,1
NED1989116,14,10,81,29
NED1990133,14,10,12,9
NED1991148,14,10,47,12
NED1992165,14,10,69,47
NED1994200,14,10,64,28
NED1995216,14,10,5,7
NED1996237,14,10,14.5,7
NED1997254,14,10,63.91,24
NED1998773,14,10,7.4,7
NED2000965,14,10,4.49,2
NED2001003,14,10,33.25,12
NED2002002,14,10,1.52,1
NED2003002,14,10,4.07,1
NED2006001,14,10,16.91,16
NED2012002,14,10,1.06,2
NED2014002,14,10,1.862,1
NED2015002,14,10,29.42,18
NED2019002,14,10,4.68,2
TEL2020002,14,10,168.38,128
TEM1993134,14,10,2,1
TEM2004004,14,10,39.75,15
TEM2008775,14,10,1.6,1
VEN2018002,14,10,32.14,9
HAM1979013,15,10,62,24
HAM1979014,15,10,13,2
HAM1980033,15,10,8,1
HAM1980034,15,10,1,6
HAM1981048,15,10,1,7
HAM1982071,15,10,13,2
HAM1982072,15,10,75,24
NED1984024,15,10,0,2
NED1984025,15,10,4,3
NED1986059,15,10,54,18
NED1988097,15,10,9,2
NED1989116,15,10,45,15
NED1990133,15,10,47,41
NED1991148,15,10,29,9
NED1992165,15,10,12,7
NED1997254,15,10,4.46,3
NED1998773,15,10,3.9,3
NED1999871,15,10,6.34,4
NED2000965,15,10,2.97,1
NED2001003,15,10,8.84,2
NED2002002,15,10,41.52,13
NED2003002,15,10,48.63,26
NED2006001,15,10,3.2,3
NED2011002,15,10,8.31,4
NED2014002,15,10,42.03,22
NED2015002,15,10,1.085,2
NED2019002,15,10,26.1,12
TEL2005545,15,10,83.15,53
TEL2020102,15,10,4.8,1
TEM1993134,15,10,4,1
TEM2004004,15,10,66.9,20
TEM2007685,15,10,28,10
VEN2018002,15,10,55.84,38
HAM1979013,16,10,80,32
HAM1979014,16,10,2,2
HAM1980033,16,10,2,3
HAM1980034,16,10,1,2
HAM1981048,16,10,0,1
HAM1982072,16,10,59,28
HAM1983095,16,10,1,1
NED1984024,16,10,2,1
NED1984025,16,10,41,20
NED1985041,16,10,16,9
NED1986059,16,10,12,4
NED1987077,16,10,4,1
NED1988097,16,10,15,9
NED1989116,16,10,37,13
NED1990133,16,10,11,8
NED1991148,16,10,386,75
NED1992165,16,10,20,15
NED1994200,16,10,20,8
NED1996237,16,10,29.08,13
NED1997254,16,10,85.09,36
NED1999871,16,10,3.39,1
NED2000965,16,10,4.28,2
NED2001003,16,10,76.45,40
NED2002002,16,10,89.69,40
NED2003002,16,10,39.64,9
NED2006001,16,10,29.69,21
NED2011002,16,10,28.05,13
NED2013002,16,10,696.76,317
NED2014002,16,10,1.87,1
NED2015002,16,10,19.14,6
NED2019002,16,10,6.2,3
TEL2005545,16,10,194.6,136
TEM2004004,16,10,15,7
HAM1979013,17,10,11,3
HAM1980033,17,10,7,3
HAM1980034,17,10,1,1
HAM1981048,17,10,697,1721
HAM1982071,17,10,0,1
HAM1982072,17,10,133,49
HAM1983094,17,10,2,3
NED1984025,17,10,24,7
NED1985041,17,10,0,1
NED1986059,17,10,0,2
NED1988097,17,10,60,33
NED1989116,17,10,118,51
NED1990133,17,10,28,15
NED1992165,17,10,5,6
NED1996237,17,10,178.72,68
NED1997254,17,10,10.7,4
NED1998773,17,10,29.69,10
NED1999871,17,10,0.75,1
NED2000965,17,10,11.27,4
NED2001003,17,10,3.28,2
NED2003002,17,10,0.445,1
NED2009841,17,10,1.78,1
NED2011002,17,10,43.1,16
NED2013002,17,10,5.88,5
NED2014002,17,10,7.43,4
NED2014101,17,10,0.036,1
NED2015002,17,10,14.25,6
NED2019002,17,10,2.596,3
TEL2005545,17,10,413.95,214
TEM1993134,17,10,13,1
TEM2004004,17,10,20.65,12
TEM2007685,17,10,45.05,23
VEN2018002,17,10,3.46,3
HAM1979013,18,10,2,4
HAM1979014,18,10,10,10
HAM1981048,18,10,57,16
HAM1981049,18,10,0,1
HAM1982071,18,10,2,9
HAM1982072,18,10,198,69
HAM1983094,18,10,6,4
NED1984025,18,10,18,5
NED1988097,18,10,2,1
NED1989116,18,10,6,1
NED1990133,18,10,10,4
NED1991148,18,10,732,152
NED1992165,18,10,9,6
NED1996237,18,10,1145.15,165
NED1997254,18,10,128.96,32
NED1998773,18,10,1.62,1
NED2000965,18,10,4.93,2
NED2002002,18,10,74.47,25
NED2006001,18,10,16.88,8
NED2009841,18,10,6.88,1
NED2010001,18,10,3.13,1
NED2011002,18,10,29.08,17
NED2014002,18,10,30.6,19
NED2014101,18,10,1.898,3
NED2015002,18,10,55.91,22
TEL2005545,18,10,1657.25,606
TEM1993134,18,10,29,4
TEM2004004,18,10,40.65,19
TEM2007685,18,10,100.45,47
HAM1979014,19,10,4,1
HAM1980033,19,10,4,10
HAM1980034,19,10,5,1
HAM1981049,19,10,6,6
HAM1982071,19,10,2,4
HAM1982072,19,10,1,1
HAM1983094,19,10,9,10
HAM1983095,19,10,0,1
NED1984025,19,10,15,10
NED1985041,19,10,1,1
NED1988097,19,10,14,4
NED1990133,19,10,4,2
NED1991148,19,10,29,14
NED1992165,19,10,35,7
NED1994200,19,10,1,1
NED1996237,19,10,443.13,184
NED1997254,19,10,69.54,20
NED1998773,19,10,31,19
NED1999871,19,10,1.19,1
NED2000965,19,10,2.57,1
NED2001003,19,10,4.77,2
NED2002002,19,10,86.95,35
NED2003002,19,10,4.59,2
NED2006001,19,10,15.25,10
NED2010001,19,10,2.475,1
NED2011002,19,10,50.66,25
NED2014002,19,10,13.07,8
NED2015002,19,10,5.57,4
NED2019002,19,10,11.17,3
TEM1993134,19,10,199,25
TEM2004004,19,10,94.2,34
TEM2007685,19,10,48.55,36
TEM2008775,19,10,8.6,5
VEN2018002,19,10,0.712,1
HAM1979013,20,10,26,10
HAM1980033,20,10,407,215
HAM1980034,20,10,1,2
HAM1981048,20,10,852,1331
HAM1982071,20,10,1176,1566
HAM1982072,20,10,1,1
HAM1983094,20,10,2,1
HAM1983095,20,10,1,2
NED1984025,20,10,4,1
NED1985041,20,10,1,1
NED1989116,20,10,37,32
NED1991148,20,10,20,12
NED1992165,20,10,875,126
NED1994200,20,10,1719,307
NED1995216,20,10,26,7
NED1997254,20,10,42.25,14
NED1999871,20,10,11.4,5
NED2000965,20,10,9.82,3
NED2001003,20,10,0.655,1
NED2002002,20,10,2328.48,452
NED2003002,20,10,11.58,4
NED2006001,20,10,58.36,15
NED2010001,20,10,3.79,2
NED2011002,20,10,74.66,24
NED2012002,20,10,3.98,1
NED2013002,20,10,0.574,1
NED2014002,20,10,6.46,5
NED2014101,20,10,7.96,3
TEL2005545,20,10,2.35,2
TEM1993134,20,10,279,49
TEM2004004,20,10,448.05,90
TEM2007685,20,10,0.725,1
HAM1979013,21,10,15,4
HAM1979014,21,10,15,8
HAM1980033,21,10,0,1
HAM1981048,21,10,103,46
HAM1982071,21,10,2,7
HAM1983094,21,10,30,23
HAM1983095,21,10,12,2
NED1984024,21,10,1,3
NED1984025,21,10,26,7
NED1985041,21,10,3,3
NED1986059,21,10,6,2
NED1988097,21,10,3,2
NED1989116,21,10,26,5
NED1990133,21,10,2,1
NED1991148,21,10,30,27
NED1992165,21,10,3,4
NED1994200,21,10,70,19
NED1995216,21,10,23,8
NED1996237,21,10,7.49,4
NED1997254,21,10,1.34,1
NED1998773,21,10,9.6,4
NED1999871,21,10,2.85,2
NED2000965,21,10,2.63,2
NED2001003,21,10,344.6,122
NED2002002,21,10,159.65,73
NED2003002,21,10,2.81,2
NED2006001,21,10,67.53,20
NED2010001,21,10,1586.393,521
NED2011002,21,10,35.6,31
NED2013002,21,10,2.252,1
NED2015002,21,10,0.236,1
TEL2005545,21,10,4.5,4
TEL2016002,21,10,1.435,1
TEL2016003,21,10,2.2,3
TEM1993134,21,10,61,10
TEM2004004,21,10,12.75,5
VEN2018002,21,10,7.17,4
HAM1979013,22,10,14,6
HAM1980033,22,10,2,1
HAM1981048,22,10,39,17
HAM1982071,22,10,23,174
HAM1982072,22,10,60,28
HAM1983094,22,10,23,20
HAM1983095,22,10,24,38
NED1984024,22,10,1,3
NED1984025,22,10,18,3
NED1985041,22,10,7,5
NED1989116,22,10,24,4
NED1990133,22,10,2,1
NED1991148,22,10,69,46
NED1992165,22,10,6,3
NED1994200,22,10,180,69
NED1996237,22,10,465.42,168
NED1997254,22,10,0.75,1
NED1999871,22,10,27.18,12
NED2000965,22,10,1.25,1
NED2001003,22,10,860.52,198
NED2002002,22,10,20.82,11
NED2003002,22,10,23.84,8
NED2010001,22,10,47.43,22
NED2014101,22,10,1.344,1
TEL2005545,22,10,65.5,41
TEL2016002,22,10,1.005,1
TEL2016003,22,10,1.226,1
TEM1993134,22,10,42,5
VEN2018002,22,10,0.32,3
HAM1979014,23,10,5,2
HAM1980033,23,10,296,183
HAM1981048,23,10,47,35
HAM1981049,23,10,15,10
HAM1982071,23,10,28,74
HAM1982072,23,10,20,9
HAM1983094,23,10,1,2
HAM1983095,23,10,60,72
NED1984024,23,10,4,9
NED1984025,23,10,3,2
NED1985041,23,10,17,14
NED1989116,23,10,64,32
NED1991148,23,10,274,88
NED1992165,23,10,11,4
NED1994200,23,10,74,32
NED1995216,23,10,3,1
NED1996237,23,10,43.18,18
NED1997254,23,10,7.81,2
NED1999871,23,10,47.45,12
NED2000965,23,10,5.76,2
NED2001003,23,10,150.04,47
NED2002002,23,10,192.7,54
NED2006001,23,10,361.47,86
NED2010001,23,10,3.7,1
NED2011002,23,10,5.36,4
NED2013002,23,10,4.25,2
NED2014002,23,10,13.66,8
NED2015002,23,10,10.64,4
TEL2005545,23,10,29.7,11
TEL2016002,23,10,15.02,7
TEL2016003,23,10,1.224,1
TEM1993134,23,10,98,11
TEM2007685,23,10,2.45,1
TEM2008775,23,10,2.5,4
VEN2018002,23,10,1.98,1
HAM1979013,24,10,15,2
HAM1979014,24,10,7,1
HAM1980033,24,10,7,9
HAM1980034,24,10,10,2
HAM1981048,24,10,123,105
HAM1981049,24,10,8,9
HAM1982072,24,10,3,7
HAM1983094,24,10,14,7
HAM1983095,24,10,15,19
NED1984024,24,10,0,1
NED1987077,24,10,14,2
NED1989116,24,10,18,13
NED1991148,24,10,130,54
NED1992165,24,10,17,10
NED1994200,24,10,60,24
NED1995216,24,10,52,19
NED1996237,24,10,1773.54,455
NED1997254,24,10,2.88,1
NED1999871,24,10,16.26,6
NED2000965,24,10,9.53,3
NED2001003,24,10,54.91,11
NED2002002,24,10,38.7,13
NED2006001,24,10,237.33,58
NED2010001,24,10,3.36,1
NED2011002,24,10,19.39,14
NED2012002,24,10,0.534,1
NED2013002,24,10,0.736,1
NED2014002,24,10,2.35,1
NED2015002,24,10,35.12,11
NED2019102,24,10,0.358,3
TEL2005545,24,10,5.65,10
TEL2017002,24,10,0.61,1
TEM1993134,24,10,33,11
TEM2004004,24,10,10.15,4
TEM2007685,24,10,121.7,33
TEM2008775,24,10,0.25,2
HAM1979014,25,10,2,1
HAM1981048,25,10,15,7
HAM1981049,25,10,26,10
HAM1982071,25,10,31,36
HAM1982072,25,10,35,27
HAM1983095,25,10,15,5
NED1984024,25,10,6,4
NED1985041,25,10,212,53
NED1987077,25,10,2,1
NED1989116,25,10,14,6
NED1990133,25,10,37,21
NED1992165,25,10,16,4
NED1994200,25,10,4,2
NED1995216,25,10,323,67
NED1996237,25,10,28.27,12
NED1997254,25,10,3.49,3
NED1998773,25,10,1,1
NED1999871,25,10,25.53,19
NED2000965,25,10,1.74,1
NED2001003,25,10,45.13,11
NED2002002,25,10,52.04,20
NED2006001,25,10,6.95,2
NED2010001,25,10,12.15,5
NED2011002,25,10,14.16,6
NED2013002,25,10,116.63,117
NED2014002,25,10,2.6,3
NED2014101,25,10,4.47,2
NED2015002,25,10,9.84,8
NED2019002,25,10,4.21,1
TEL2005545,25,10,7.35,4
TEL2020102,25,10,0.3905,1
TEM1993134,25,10,80,22
TEM2004004,25,10,2.4,3
TEM2007685,25,10,149.5,51
TEM2008775,25,10,0.89,1
HAM1979013,26,10,35,15
HAM1979014,26,10,44,16
HAM1980033,26,10,1,1
HAM1980034,26,10,15,1
HAM1981048,26,10,4,1
HAM1981049,26,10,8,6
HAM1982071,26,10,0,1
HAM1982072,26,10,5,24
HAM1983094,26,10,63,26
HAM1983095,26,10,45,15
NED1985041,26,10,50,20
NED1987077,26,10,8,2
NED1988097,26,10,51,16
NED1989116,26,10,26,21
NED1990133,26,10,5,2
NED1992165,26,10,7,1
NED1994200,26,10,1,1
NED1996237,26,10,144.3,57
NED1997254,26,10,2.84,2
NED1999871,26,10,9.26,2
NED2000965,26,10,10.4,3
NED2001003,26,10,38.12,11
NED2002002,26,10,65.69,20
NED2010001,26,10,1.785,1
