MISSION,SETNO,SPEC,TOTWGT,TOTNO
HAM1982085,54,3,0,1
HAM1982084,11,6,0,1
HAM1982084,19,6,0,1
HAM1981064,25,6,0,1
HAM1982084,54,6,0,1
HAM1978009,1,10,0,3
HAM1978010,1,10,275,61
HAM1980043,1,10,0,1
NED1984037,1,10,2,2
HAM1978010,2,10,190,44
HAM1980043,2,10,44,25
HAM1981065,2,10,4,4
HAM1982084,2,10,3,2
NED1984036,2,10,14,6
HAM1978010,3,10,18,10
HAM1979026,3,10,30,15
HAM1979027,3,10,13,9
HAM1980042,3,10,45,21
HAM1980043,3,10,53,52
HAM1981065,3,10,41,27
HAM1982084,3,10,13,17
NED1984037,3,10,14,12
HAM1979026,4,10,92,29
HAM1979027,4,10,54,30
HAM1980043,4,10,47,51
NED1983017,4,10,5,5
NED1984036,4,10,1,1
NED1984037,4,10,7,13
HAM1978009,5,10,4,2
HAM1979026,5,10,100,67
HAM1980042,5,10,8,4
HAM1980043,5,10,35,29
HAM1982084,5,10,69,149
HAM1982085,5,10,7,2
NED1983017,5,10,52,33
NED1984036,5,10,0,3
NED1984037,5,10,2,1
HAM1978010,6,10,23,9
HAM1979026,6,10,112,73
HAM1980042,6,10,2,2
HAM1980043,6,10,22,20
HAM1982084,6,10,33,38
NED1983018,6,10,0,1
NED1984036,6,10,12,10
NED1984037,6,10,4,3
HAM1978010,7,10,20,1
HAM1979026,7,10,73,75
HAM1980042,7,10,35,11
HAM1980043,7,10,14,10
HAM1981064,7,10,54,23
HAM1981065,7,10,9,7
HAM1982084,7,10,62,169
NED1983017,7,10,20,27
NED1983018,7,10,11,5
NED1984036,7,10,57,44
NED1984037,7,10,4,4
HAM1978010,8,10,50,14
HAM1979026,8,10,46,33
HAM1980043,8,10,17,17
HAM1981064,8,10,29,12
HAM1981065,8,10,8,6
HAM1982084,8,10,33,80
NED1983017,8,10,13,18
NED1983018,8,10,2,2
NED1984036,8,10,8,7
NED1984037,8,10,7,6
HAM1978009,9,10,4,5
HAM1979026,9,10,30,22
HAM1979027,9,10,9,2
HAM1980043,9,10,13,12
HAM1981065,9,10,22,13
HAM1982084,9,10,11,13
HAM1982085,9,10,33,17
NED1983017,9,10,7,14
NED1983018,9,10,8,2
NED1984036,9,10,23,27
NED1984037,9,10,23,16
HAM1978009,10,10,11,4
HAM1978010,10,10,13,13
HAM1979027,10,10,22,15
HAM1980043,10,10,17,23
HAM1981064,10,10,5,1
HAM1981065,10,10,1,1
HAM1982084,10,10,23,13
HAM1982085,10,10,19,20
NED1983017,10,10,10,138
NED1983018,10,10,12,5
NED1984036,10,10,10,24
NED1984037,10,10,13,8
HAM1978009,11,10,24,10
HAM1978010,11,10,26,14
HAM1979026,11,10,15,25
HAM1979027,11,10,47,27
HAM1980043,11,10,2,2
HAM1981064,11,10,104,85
HAM1982084,11,10,0,4
