vessel_name,vessel_abbrev,country_of_origin,home_port,agency_name,length_overall_ft,construction,year_built
"ABEL-J","AJ",,,,,,
"ACTIVE","AC",,,,,,
"ACUSHNET","AH",,,,,,
"ADVANCE II","AV",,,,,,
"ADVENTUROUS","AU",,,,,,
"ALASKAN SEAHORSE","AK",,,,,,
"ALBATROS","AB",,,,,,
"ALBATROSS III","A3",,,,,,
"ALBATROSS IV","AL","USA","Woods Hole, MA","NMFS-NEFSC",176,,"1963"
"ALERT","AE",,,,,,
"ALFERAS","AF",,,,,,
"ALIOT","AI",,,,,,
"ALLEGIANCE","AG",,,,,,
"ANNANDALE","AN",,,,,,
"ANTELOPE/ANDERSON","ANT",,,,,,
"ANTONDOHRN","AD",,,,,,
"ARCISZEWSKI","AZ",,,,,,
"ARGO MAINE","AM",,,,,,
"ARGUS","AR",,,,,,
"ASTERIAS","AS",,,,,,
"ATLANT","A7",,,,,,
"ATLANTIC STAR","AST",,,,,,
"ATLANTIC TWIN","AT",,,,,,
"ATLANTIS","AA",,,,,,
"BAY STATE","BA",,,,,,
"BELOGORSK","BG",,,,,,
"BLESK","BL",,,,,,
"BLUEBACK","BB",,,,,,
"BLUENOSE","BN",,,,,,
"BOGUSLAV","BO",,,,,,
"C.S.S.  HUDSON","HD",,,,,,
"C.S.S. PARIZEAU","PU","CANADA","NOVA SCOTIA","BEDFORD INSTITUTE",,,
"CAMERON","CA",,,,,,
"CANSO CONDOR","CC",,,,,,
"CAP'N BILL IV","C4",,,,,,
"CAP'T BERT","CBT",,,,,,
"CAPE HATTERAS","CP",,,,,,
"CAPE HENLOPEN","CO",,,,,,
"CAPEMAY","CM",,,,,,
"CAPTAIN BILL II","C2",,,,,,
"CAPTAIN BILL III","C3",,,,,,
"CARIBOU REEFER","CU",,,,,,
"CARYN","CR",,,,,,
"CELTIC","CE",,,,,,
"CGC  EASTWIND","EW",,,,,,
"CGC EVERGREEN","EG",,,,,,
"CHAIN","CHA",,,,,,
"CHALLENGE","CG",,,,,,
"CHAPMAN","CH",,,,,,
"CHARLOTTE","CT",,,,,,
"CHASE","CHS",,,,,,
"CHEROKEE","CK",,,,,,
"CHILULA","CHI",,,,,,
"CHRISTIAN + ALEXA","CX",,,,,,
"CLEARVIEW IV","CLR",,,,,,
"CLUPEA","CL",,,,,,
"COLUMBUS ISELIN","CB",,,,,,
"CONNECTICUT","C1",,,,,,
"CONRAD","CN",,,,,,
"CORA MAY SNOW","CS",,,,,,
"CORVA","CV",,,,,,
"CRAWFORD","CW",,,,,,
"CRUSADER","CD",,,,,,
"CRYOS","CY",,,,,,
"DALLAS","DA",,,,,,
"DARTMOUTH","DT",,,,,,
"DAVID & KATY","DK",,,,,,
"DECISIVE","DC",,,,,,
"DELAWARE","D1",,,,,,
"DELAWARE II","DE",,,,,,
"DELTA ARGENTINA","DG",,,,,,
"DELTA EQUADOR","DQ",,,,,,
"DELTA MAR","DL",,,,,,
"DELTA NORTE","DN",,,,,,
"DELTA ORO","DO",,,,,,
"DELTA SUD","DS",,,,,,
"DIANE","DI",,,,,,
"DIANE MARIA","DM",,,,,,
"DISCOVERER","DV",,,,,,
"DOLPHIN","DP",,,,,,
