strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
"SHELLFISH","06710","GEO CULTIVATOR",146,4158,6743,4146,4206,6704,6807,,,,,,
"SHELLFISH","06720","GEO CULTIVATOR",504,4150,6740,4134,4203,6718,6806,,,,,,
"SHELLFISH","06730","GEO WINTR FISHNG",501,4135,6736,4115,4155,6709,6750,,,,,,
"SHELLFISH","06740","GEO WINTR FISHNG",433,4136,6709,4112,4204,6656,6723,,,,,,
"SHELLFISH","06800","MAB N CAROLINA",767,3600,7528,3530,3630,7512,7550,,,,,,
"SHELLFISH","06810","MAB VIRGINIA",360,3646,7546,3630,3700,7536,7558,,,,,,
"SHELLFISH","06820","MAB VIRGINIA",180,3704,7544,3655,3710,7534,7554,,,,,,
"SHELLFISH","06830","MAB VIRGINIA",241,3723,7534,3710,3733,7524,7545,,,,,,
"SHELLFISH","06840","MAB VIRGINIA",417,3747,7518,3733,3800,7459,7534,,,,,,
"SHELLFISH","06850","MAB MARYLAND",382,3817,7453,3800,3829,7448,7513,,,,,,
"SHELLFISH","06860","MAB MARYLAND",203,3839,7455,3829,3850,7446,7505,,,,,,
"SHELLFISH","06870","MAB NEW JERSEY",479,3854,7440,3843,3910,7409,7458,,,,,,
"SHELLFISH","06880","MAB NEW JERSEY",578,3925,7409,3910,3938,7352,7438,,,,,,
"SHELLFISH","06890","MAB NEW JERSEY",382,3957,7355,3938,4010,7346,7410,,,,,,
"SHELLFISH","06900","SNE HUDSON CANYN",182,4026,7338,4010,4029,7336,7401,,,,,,
"SHELLFISH","06910","SNE HUDSON CANYN",340,4042,7250,4015,4038,7312,7355,,,,,,
"SHELLFISH","06920","SNE LONG ISLAND",191,4054,7213,4031,4051,7226,7312,,,,,,
"SHELLFISH","06930","SNE LONG ISLAND",83,4103,7148,4048,4104,7148,7226,,,,,,
"SHELLFISH","06940","SNE BLOCK ISLAND",229,4125,7113,4105,4127,7048,7135,,,,,,
"SHELLFISH","06950","SNE NANTUCKET",446,4112,7016,4046,4120,7000,7051,,,,,,
"SHELLFISH","06960","SNE NANTUCKET",495,4110,6932,4047,4203,6921,7000,,,,,,
"INSHORE SOUTH","07500","    CAPE HATTRAS",48,3512,7542,3505,3516,7522,7558,13,2,,,,
"INSHORE SOUTH","07510","    CAPE HATTRAS",128,3510,7542,3502,3515,7519,7558,25,2,,,,
"INSHORE SOUTH","07520","    CAPE HATTRAS",163,3503,7544,3451,3510,7517,7556,40,2,,,,
"INSHORE SOUTH","07530","    CAPE LOOKOUT",53,3453,7617,3427,3506,7557,7632,12,2,,,,
"INSHORE SOUTH","07540","    CAPE LOOKOUT",198,3452,7614,3421,3505,7556,7629,41,2,,,,
"INSHORE SOUTH","07550","    CAPE LOOKOUT",352,3448,7612,3412,3502,7549,7626,80,3,,,,
"INSHORE SOUTH","07560","    CAPE LOOKOUT",26,3441,7650,3427,3442,7628,7706,10,2,,,,
"INSHORE SOUTH","07570","    CAPE LOOKOUT",304,3437,7650,3421,3441,7625,7705,70,3,,,,
"INSHORE SOUTH","07580","    CAPE LOOKOUT",400,3424,7650,3412,3433,7624,7703,90,3,,,,
"INSHORE SOUTH","07590","    ONSLOW BAY",53,3427,7730,3358,3439,7705,7755,11,2,,,,
"INSHORE SOUTH","07600","    ONSLOW BAY",502,3422,7727,3355,3438,7703,7754,133,3,,,,
"INSHORE SOUTH","07610","    ONSLOW BAY",691,3410,7717,3350,3429,7658,7743,156,4,,,,
"INSHORE SOUTH","07620","    CAPE FEAR",132,3352,7803,3336,3358,7746,7833,28,2,,,,
"INSHORE SOUTH","07630","    CAPE FEAR",664,3345,7810,3327,3358,7733,7832,141,3,,,,
"INSHORE SOUTH","07640","    CAPE FEAR",836,3330,7804,3319,3355,7720,7824,188,4,,,,
"INSHORE SOUTH","07650","    LONG BAY",180,3335,7857,3314,3351,7832,7910,,,,,,
"INSHORE SOUTH","07660","    LONG BAY",735,3328,7847,3259,3350,7824,7906,,,,,,
"INSHORE SOUTH","07670","    LONG BAY",629,3316,7833,3254,3337,7814,7852,,,,,,
"INSHORE SOUTH","07680","    CAPE ROMAIN",229,3259,7921,3242,3319,7905,7951,,,,,,
"INSHORE SOUTH","07690","    CAPE ROMAIN",484,3253,7917,3235,3311,7852,7944,,,,,,
"INSHORE SOUTH","07700","    CAPE ROMAIN",365,3249,7904,3231,3301,7848,7931,,,,,,
"INSHORE SOUTH","07710","CAPE HATTERAS",149,,,3223,,7944,8024,,,,,,
"INSHORE SOUTH","07720","CAPE HATTERAS",561,,,3212,3242,7930,8017,,,,,,
"INSHORE SOUTH","07730","CAPE HATTERAS",463,,,3202,3235,7922,8005,,,,,,
"INSHORE SOUTH","07740","CAPE HATTERAS",221,,,3159,3227,8018,8053,,,,,,
"INSHORE SOUTH","07750","CAPE HATTERAS",408,,,3151,3223,8006,8045,,,,,,
"INSHORE SOUTH","07760","CAPE HATTERAS",408,,,3145,3212,7952,8026,,,,,,
"INSHORE SOUTH","07770","CAPE HATTERAS",225,,,3124,3201,8046,8113,,,,,,
"INSHORE SOUTH","07780","CAPE HATTERAS",689,,,3117,3159,8026,8106,,,,,,
"INSHORE SOUTH","07790","CAPE HATTERAS",506,,,3112,3151,8013,8049,,,,,,
"INSHORE SOUTH","07800","CAPE HATTERAS",234,,,3045,3127,8107,8127,,,,,,
"INSHORE SOUTH","07810","CAPE HATTERAS",689,,,3045,3124,8047,8123,,,,,,
"INSHORE SOUTH","07820","CAPE HATTERAS",421,,,3045,3117,8032,8103,,,,,,
"INSHORE SOUTH","07830","CAPE HATTERAS",51,,,2958,3045,8117,8127,,,,,,
"INSHORE SOUTH","07840","CAPE HATTERAS",548,,,2958,3045,8101,8124,,,,,,
"INSHORE SOUTH","07850","CAPE HATTERAS",731,,,2958,3045,8044,8112,,,,,,
"INSHORE SOUTH","07860","CAPE HATTERAS",29,,,2912,2958,8059,8118,,,,,,
"INSHORE SOUTH","07870","CAPE HATTERAS",349,,,2912,2958,8048,8117,,,,,,
"INSHORE SOUTH","07880","CAPE HATTERAS",1016,,,2912,2959,8018,8107,,,,,,
"INSHORE SOUTH","07890","CAPE HATTERAS",23,,,2840,2912,8031,8100,,,,,,
"INSHORE SOUTH","07900","CAPE HATTERAS",323,,,2840,2912,8022,8059,,,,,,
"INSHORE SOUTH","07910","CAPE HATTERAS",366,,,2841,2912,8018,8050,,,,,,
"OFFSHORE SOUTH","08500","    CAPE HATTRAS",796,3455,7538,3429,3530,7453,7614,178,3,,,,
"OFFSHORE SOUTH","08510","    CAPE HATTRAS",268,3501,7521,3425,3530,7452,7557,62,2,,,,
"OFFSHORE SOUTH","08520","    CAPE HATTRAS",216,3442,7534,3424,3530,7451,7552,53,2,,,,
"OFFSHORE SOUTH","08530","    CAPE HATTRAS",150,3450,7523,3421,3530,7450,7550,37,2,,,,
"OFFSHORE SOUTH","08540","    CAPE LOOKOUT",1764,3358,7650,3328,3442,7557,7722,411,6,,,,
"OFFSHORE SOUTH","08550","    CAPE LOOKOUT",277,3358,7624,3325,3429,7551,7704,62,2,,,,
"OFFSHORE SOUTH","08560","    CAPE LOOKOUT",283,3400,7615,3322,3426,7549,7701,61,2,,,,
"OFFSHORE SOUTH","08570","    CAPE LOOKOUT",537,3354,7615,3317,3424,7545,7659,125,4,,,,
"OFFSHORE SOUTH","08580","    CAPE FEAR",1456,3315,7750,3252,3354,7703,7829,333,5,,,,
"OFFSHORE SOUTH","08590","    CAPE FEAR",211,3305,7748,3250,3328,7701,7816,47,2,,,,
"OFFSHORE SOUTH","08600","    CAPE FEAR",339,3300,7747,3244,3325,7659,7814,79,2,,,,
"OFFSHORE SOUTH","08770","    CAPE FEAR",1183,3300,7723,3227,3322,7655,7808,256,4,,,,
"OFFSHORE SOUTH","08780","CAPE HATTERAS",1777,,,3206,,,7935,,,,,,
"OFFSHORE SOUTH","08790","CAPE HATTERAS",293,,,3200,,,7922,,,,,,
"OFFSHORE SOUTH","08800","CAPE HATTERAS",259,,,3157,,,7915,,,,,,
"OFFSHORE SOUTH","08810","CAPE HATTERAS",,,,3152,,,7911,,,,,,
"OFFSHORE SOUTH","08820","CAPE HATTERAS",1857,,,3101,3212,7922,8033,,,,,,
"OFFSHORE SOUTH","08830","CAPE HATTERAS",476,,,3100,3207,7915,8001,,,,,,
"OFFSHORE SOUTH","08840","CAPE HATTERAS",242,,,3059,3200,7911,7959,,,,,,
"OFFSHORE SOUTH","08850","CAPE HATTERAS",451,,,3055,3157,7904,7956,,,,,,
"OFFSHORE SOUTH","08860","CAPE HATTERAS",2070,,,2959,3113,8002,8048,,,,,,
"OFFSHORE SOUTH","08870","CAPE HATTERAS",166,,,3001,3101,7959,8019,,,,,,
"OFFSHORE SOUTH","08880","CAPE HATTERAS",119,,,3001,3100,7956,8016,,,,,,
"OFFSHORE SOUTH","08890","CAPE HATTERAS",468,,,3001,3059,7944,8014,,,,,,
"OFFSHORE SOUTH","08900","CAPE HATTERAS",1003,,,2843,3000,8009,8047,,,,,,
"OFFSHORE SOUTH","08910","CAPE HATTERAS",327,,,2844,3000,8003,8021,,,,,,
"OFFSHORE SOUTH","08920","CAPE HATTERAS",149,,,2844,3000,8000,8016,,,,,,
"OFFSHORE SOUTH","08930","CAPE HATTERAS",327,,,2845,3001,7953,8014,,,,,,
"MASS INSHORE GF SURVEY","09110","BBV BUZZBAY/VIN",100,4142,7041,4114,4144,7018,7107,,,,,,
"MASS INSHORE GF SURVEY","09120","BBV BUZZBAY/VIN",168,4130,7049,4112,4141,7020,7108,,,,,,
"MASS INSHORE GF SURVEY","09130","BBV BUZZBAY/VIN",88,4127,7058,4111,4131,7028,7108,,,,,,
"MASS INSHORE GF SURVEY","09140","BBV BUZZBAY/VIN",20,4122,7055,4111,4127,7044,7102,,,,,,
"MASS INSHORE GF SURVEY","09150","NTS NANTUCKETSD",192,4130,7021,4118,4141,7000,7040,,,,,,
"MASS INSHORE GF SURVEY","09160","NTS NANTUCKETSD",210,4127,7008,4119,4138,6959,7040,,,,,,
"MASS INSHORE GF SURVEY","09170","ECC EASTCAPECOD",86,4123,7000,4111,4206,6953,7021,,,,,,
"MASS INSHORE GF SURVEY","09180","ECC EASTCAPECOD",89,4138,6954,4111,4206,6952,7021,,,,,,
"MASS INSHORE GF SURVEY","09190","ECC EASTCAPECOD",40,4156,6956,4111,4207,6951,7019,,,,,,
"MASS INSHORE GF SURVEY","09200","ECC EASTCAPECOD",21,4201,6959,4110,4208,6952,7015,,,,,,
"MASS INSHORE GF SURVEY","09210","ECC EASTCAPECOD",26,4206,7012,4113,4209,6952,7015,,,,,,
"MASS INSHORE GF SURVEY","09250","CCB CAPECOD BAY",62,4149,7005,4144,4210,7001,7043,,,,,,
"MASS INSHORE GF SURVEY","09260","CCB CAPECOD BAY",90,4147,7013,4144,4210,7005,7042,,,,,,
"MASS INSHORE GF SURVEY","09270","CCB CAPECOD BAY",92,4149,7022,4146,4210,7006,7040,,,,,,
"MASS INSHORE GF SURVEY","09280","CCB CAPECOD BAY",94,4154,7025,4151,4209,7008,7035,,,,,,
"MASS INSHORE GF SURVEY","09290","CCB CAPECOD BAY",105,4201,7025,4155,4208,7010,7033,,,,,,
"MASS INSHORE GF SURVEY","09300","CCB CAPECOD BAY",33,4205,7022,4202,4208,7014,7028,,,,,,
"MASS INSHORE GF SURVEY","09310","MSB MASS BAY",36,4224,7057,4209,4253,7033,7100,,,,,,
"MASS INSHORE GF SURVEY","09320","MSB MASS BAY",55,4223,7055,4209,4253,7033,7058,,,,,,
"MASS INSHORE GF SURVEY","09330","MSB MASS BAY",66,4221,7049,4209,4253,7033,7056,,,,,,
"MASS INSHORE GF SURVEY","09340","MSB MASS BAY",53,4225,7050,4216,4253,7032,7054,,,,,,
"MASS INSHORE GF SURVEY","09350","MSB MASS BAY",68,4228,7042,4218,4245,7030,7050,,,,,,
"MASS INSHORE GF SURVEY","09360","MSB MASS BAY",39,4230,7038,4220,4245,7030,7042,,,,,,
