MISSION,SETNO,SDATE,TIME,STRAT,SLAT,SLONG,ELAT,ELONG,DUR,DIST,SPEED,DEPTH,SURF_TEMP,BOTT_TEMP,BOTT_SAL,GEARDESC
NED1997255,38,1997-03-15,614,402,45.541333,-58.1225,45.525167,-58.087333,30,1.78,3.56,131.67,0.02,1.61,32.67,Western IIA trawl
NED1997255,39,1997-03-15,814,402,45.545667,-57.9125,45.568833,-57.934,30,1.69,3.38,267,0.21,7.46,34.858,Western IIA trawl
NED1997255,40,1997-03-15,1005,400,45.573333,-57.796333,45.549167,-57.7755,30,1.71,3.42,409.65,0.16,5.39,34.875,Western IIA trawl
NED1997255,41,1997-03-15,1227,397,45.5335,-57.568833,45.509667,-57.539333,30,1.9,3.8,462.69,0.55,4.98,34.924,Western IIA trawl
NED1997255,42,1997-03-15,1513,400,45.416333,-57.670167,45.394333,-57.642333,30,1.78,3.56,427.94,NA,NA,NA,Western IIA trawl
NED1997255,44,1997-03-15,2022,402,45.337,-57.769333,45.361333,-57.791667,30,1.75,3.5,145.39,NA,NA,NA,Western IIA trawl
NED1997255,45,1997-03-16,100,402,45.229667,-57.614833,45.256,-57.631833,30,1.76,3.52,338.33,0.63,5.85,34.851,Western IIA trawl
NED1997255,46,1997-03-16,333,402,45.158,-57.6185,45.140667,-57.582333,30,1.86,3.72,247.8,0.28,6.22,34.847,Western IIA trawl
NED1997255,47,1997-03-16,531,400,45.200167,-57.502167,45.227833,-57.491333,30,1.77,3.54,421.54,NA,NA,NA,Western IIA trawl
NED1997255,48,1997-03-16,756,400,45.300333,-57.544,45.323667,-57.563667,30,1.64,3.28,438,0.56,5.18,34.904,Western IIA trawl
NED1997255,49,1997-03-16,1026,397,45.429667,-57.430333,45.405667,-57.411167,30,1.66,3.32,459.94,0.53,5.05,34.917,Western IIA trawl
NED1997255,50,1997-03-16,1235,397,45.326167,-57.320833,45.303,-57.296,30,1.77,3.54,455.37,NA,NA,NA,Western IIA trawl
NED1997255,51,1997-03-16,1544,398,45.131667,-57.071167,45.105667,-57.051167,30,1.78,3.56,443.48,-0.01,5.08,34.922,Western IIA trawl
NED1997255,52,1997-03-16,1827,398,44.900667,-56.982,44.873333,-56.972833,30,1.7,3.4,429.77,-0.24,5.42,34.922,Western IIA trawl
NED1997255,53,1997-03-17,2115,399,44.8735,-57.230167,44.897333,-57.248833,30,1.68,3.36,431.6,NA,NA,NA,Western IIA trawl
NED1997255,54,1997-03-17,2337,402,44.806333,-57.293333,44.782667000000004,-57.272,30,1.68,3.36,368.5,0.13,5.91,34.92,Western IIA trawl
NED1997255,55,1997-03-17,137,399,44.736833,-57.165667,44.7135,-57.143167,30,1.69,3.38,405.99,0.13,5.87,34.918,Western IIA trawl
NED1989117,1,1989-03-14,2325,406,44.766667,-61.883333,NA,NA,30,1.7,3.4,113.39,-0.29,0.3,NA,Western IIA trawl
NED1989117,2,1989-03-14,145,406,44.766667,-61.516667,NA,NA,30,1.8,3.6,111.56,-0.9,1.4,NA,Western IIA trawl
NED1989117,4,1989-03-14,645,406,44.916667,-61.366667,NA,NA,30,1.8,3.6,142.65,-0.8,1.68,NA,Western IIA trawl
NED1989117,6,1989-03-14,1125,406,44.65,-60.8,NA,NA,30,1.8,3.6,62.18,-0.7,0.05,NA,Western IIA trawl
NED1989117,7,1989-03-14,1405,407,44.95,-60.616667,NA,NA,30,1.8,3.6,109.73,-0.8,-1.53,NA,Western IIA trawl
NED1989117,8,1989-03-14,1705,407,44.783333,-60.283333,NA,NA,30,1.5,3,243.23,-0.4,2.45,NA,Western IIA trawl
NED1989117,9,1989-03-14,1835,407,44.833333,-60.166667,NA,NA,30,1.7,3.4,142.65,-0.7,1.22,NA,Western IIA trawl
NED1989117,10,1989-03-15,2305,403,44.166667,-59.966667,NA,NA,30,1.7,3.4,124.36,1.1,3.12,NA,Western IIA trawl
NED1989117,12,1989-03-15,345,405,44.266667,-59.383333,NA,NA,30,1.7,3.4,210.31,0.8,4.01,NA,Western IIA trawl
NED1989117,13,1989-03-15,655,405,44.266667,-59.316667,NA,NA,30,1.7,3.4,246.89,0.59,4.12,NA,Western IIA trawl
NED1989117,14,1989-03-15,835,405,44.4,-59.366667,NA,NA,30,1.7,3.4,126.19,1.5,3.19,NA,Western IIA trawl
NED1989117,15,1989-03-15,1145,403,44.55,-59.816667,NA,NA,30,1.8,3.6,91.44,0.29,0.73,NA,Western IIA trawl
NED1989117,17,1989-03-15,1545,402,44.766667,-59.616667,NA,NA,30,1.6,3.2,120.7,-0.4,0.76,NA,Western IIA trawl
NED1989117,18,1989-03-15,1815,402,44.766667,-59.433333,NA,NA,30,1.6,3.2,155.45,-0.7,1.16,NA,Western IIA trawl
NED1989117,19,1989-03-15,1945,402,44.75,-59.3,NA,NA,30,1.6,3.2,126.19,0.1,1.15,NA,Western IIA trawl
NED1989117,20,1989-03-16,2315,403,44.533333,-58.9,NA,NA,30,1.6,3.2,53.04,0.5,-0.32,NA,Western IIA trawl
NED1989117,22,1989-03-16,415,403,44.666667,-58.133333,NA,NA,30,1.8,3.6,67.67,0.2,-0.66,NA,Western IIA trawl
NED1989117,23,1989-03-16,645,403,44.85,-57.666667,NA,NA,30,1.8,3.6,38.4,0,-1.18,NA,Western IIA trawl
NED1989117,24,1989-03-16,905,402,45,-57.45,NA,NA,30,1.7,3.4,334.67,-0.29,5.13,NA,Western IIA trawl
NED1989117,25,1989-03-16,1205,403,44.75,-57.516667,NA,NA,30,1.7,3.4,49.38,-0.1,-1.26,NA,Western IIA trawl
NED1989117,26,1989-03-16,1335,403,44.65,-57.566667,NA,NA,30,1.8,3.6,53.04,-0.1,-0.89,NA,Western IIA trawl
NED1989117,27,1989-03-16,1445,403,44.616667,-57.516667,NA,NA,30,1.7,3.4,56.69,0.29,-0.79,NA,Western IIA trawl
NED1989117,29,1989-03-16,2045,404,44.183333,-58.266667,NA,NA,30,1.7,3.4,148.13,0.29,1.03,NA,Western IIA trawl
NED1989117,30,1989-03-17,2225,404,44.1,-58.45,NA,NA,30,1.7,3.4,193.85,0.5,2.85,NA,Western IIA trawl
NED1989117,31,1989-03-17,35,402,44.05,-58.7,NA,NA,30,1.8,3.6,102.41,0.8,0.15,NA,Western IIA trawl
NED1989117,32,1989-03-17,215,402,44.1,-58.816667,NA,NA,30,1.7,3.4,93.27,0.59,-0.23,NA,Western IIA trawl
NED1989117,33,1989-03-17,345,402,44.116667,-58.933333,NA,NA,30,1.8,3.6,120.7,1.1,0.3,NA,Western IIA trawl
NED1989117,35,1989-03-17,715,405,44.383333,-59.066667,NA,NA,30,1.8,3.6,89.61,0.4,0.38,NA,Western IIA trawl
NED1989117,36,1989-03-17,855,405,44.383333,-59.25,NA,NA,30,1.8,3.6,184.71,1.6,3.32,NA,Western IIA trawl
NED1989117,37,1989-03-17,1025,405,44.316667,-59.333333,NA,NA,30,1.7,3.4,232.26,0.7,3.72,NA,Western IIA trawl
NED1989117,40,1989-03-17,1635,408,43.816667,-59.1,NA,NA,30,1.7,3.4,93.27,1.1,0.91,NA,Western IIA trawl
NED1989117,41,1989-03-17,1815,408,43.8,-59.333333,NA,NA,30,1.6,3.2,71.32,0.9,0.63,NA,Western IIA trawl
NED1989117,42,1989-03-17,1955,408,43.8,-59.5,NA,NA,30,1.7,3.4,56.69,0.9,0.42,NA,Western IIA trawl
NED1989117,43,1989-03-18,2125,409,43.716667,-59.583333,NA,NA,30,1.8,3.6,74.98,0.8,0.3,NA,Western IIA trawl
NED1989117,44,1989-03-18,2255,409,43.683333,-59.766667,NA,NA,30,1.8,3.6,82.3,1.19,0.47,NA,Western IIA trawl
NED1989117,45,1989-03-18,5,409,43.716667,-59.95,NA,NA,30,1.8,3.6,58.52,1.3,0.37,NA,Western IIA trawl
NED1989117,46,1989-03-18,255,409,43.8,-60.25,NA,NA,30,1.7,3.4,47.55,1.5,0.35,NA,Western IIA trawl
