test.spp,region,exclude,contact_name,date,comment
Belonella borealis,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Henricia,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Hyalonema,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Japetella diaphana,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Lillipathes,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Peprilus simillimus,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Primnoa,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Scomber japonicus,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Strongylocentrotus pallidus,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Suberites domuncula latus,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
Xeneretmus triacanthus,Canadian Pacific,FALSE,Maria Cornwaithe,3/29/21,I have no information to provide on these particular species.
