region,spp,common,flagged
Aleutian Islands,Decapodiformes spp.,squids,FALSE
Aleutian Islands,Diaphus theta,California headlightfish,FALSE
Aleutian Islands,Diplopteraster multipes,cushion star,FALSE
Aleutian Islands,Dipsacaster borealis,northern sand star,FALSE
Aleutian Islands,Enteroctopus dofleini,North Pacific giant octopus,FALSE
Aleutian Islands,Erimacrus isenbeckii,hair crab,FALSE
Aleutian Islands,Eumicrotremus orbis,Pacific spiny lumpsucker,FALSE
Aleutian Islands,Eunoe sp.,NA,FALSE
Aleutian Islands,Fusitriton oregonensis,Oregon triton,FALSE
Aleutian Islands,Gadus chalcogrammus,walleye pollock,FALSE
Aleutian Islands,Gadus macrocephalus,Pacific cod,FALSE
Aleutian Islands,Gastropoda spp.,gastropods,FALSE
Aleutian Islands,Gephyreaster swifti,Gunpowder Star,FALSE
Aleutian Islands,Glebocarcinus oregonensis,pygmy rock crab,FALSE
Aleutian Islands,Glyptocephalus zachirus,rex sole,FALSE
Aleutian Islands,Gonatopsis borealis,Boreopacific gonate squid,FALSE
Aleutian Islands,Gorgonacea spp.,soft corals,FALSE
Aleutian Islands,Gorgonocephalus eucnemis,basket star,FALSE
Aleutian Islands,Gymnocanthus galeatus,armorhead sculpin,FALSE
Aleutian Islands,Halichondria panicea,breadcrumb sponge,FALSE
Aleutian Islands,Halocynthia aurantium,sea peach,FALSE
Aleutian Islands,Hemilepidotus jordani,yellow Irish lord,FALSE
Aleutian Islands,Hemilepidotus zapus,longfin Irish lord,FALSE
Aleutian Islands,Hemitripterus bolini,bigmouth sculpin,FALSE
Aleutian Islands,Henricia spp.,sea star,FALSE
Aleutian Islands,Hexagrammos decagrammus,kelp greenling,FALSE
Aleutian Islands,Hiatella arctica,Arctic hiatella,FALSE
Aleutian Islands,Hippasteria phrygiana,trojan star,FALSE
Aleutian Islands,Hippasteria sp.,NA,FALSE
Aleutian Islands,Hippoglossoides elassodon,flathead sole,FALSE
Aleutian Islands,Hippoglossus stenolepis,Pacific halibut,FALSE
Aleutian Islands,Hirudinea,NA,FALSE
Aleutian Islands,Holothuroidea spp.,sea cucumbers,FALSE
Aleutian Islands,Hyas lyratus,Pacific lyre crab,FALSE
Aleutian Islands,Hydroidolina,NA,FALSE
Aleutian Islands,Hypsagonus quadricornis,fourhorn poacher,FALSE
Aleutian Islands,Icelus spiniger,thorny sculpin,FALSE
Aleutian Islands,Isopoda spp.,"pill bugs, wood lice and sea slaters",FALSE
Aleutian Islands,Isopsetta isolepis,butter sole,FALSE
Aleutian Islands,Lebbeus groenlandicus,spiny lebbeid,FALSE
Aleutian Islands,Lepidopsetta spp.,rock soles,FALSE
Aleutian Islands,Leptasterias spp.,six-rayed sea stars,FALSE
Aleutian Islands,Leptychaster arcticus,NA,FALSE
Aleutian Islands,Lethasterias nanimensis,black spined star,FALSE
Aleutian Islands,Lethotremus muticus,docked snailfish,FALSE
Aleutian Islands,Leuroglossus schmidti,northern smoothtongue,FALSE
Aleutian Islands,Limanda aspera,yellowfin sole,FALSE
Aleutian Islands,Liparidae spp.,snailfishes,FALSE
Aleutian Islands,Lithodes aequispinus,golden king crab,FALSE
Aleutian Islands,Lycodes beringi,Bering eelpout,FALSE
Aleutian Islands,Lycodes brevipes,shortfin eelpout,FALSE
Aleutian Islands,Lycodes concolor,ebony eelpout,FALSE
Aleutian Islands,Lycodes palearis,wattled eelpout,FALSE
Aleutian Islands,Malacocottus zonurus,darkfin sculpin,FALSE
Aleutian Islands,Mallotus villosus,capelin,FALSE
Aleutian Islands,Microstomus pacificus,Dover sole,FALSE
Aleutian Islands,Modiolus modiolus,northern horsemussel,FALSE
Aleutian Islands,Mycale loveni,tree sponge,FALSE
Aleutian Islands,Myctophidae spp.,lanternfishes,FALSE
Aleutian Islands,Myoxocephalus spp.,daddy sculpins,FALSE
Aleutian Islands,Nautichthys oculofasciatus,sailfin sculpin,FALSE
Aleutian Islands,Neptunea spp.,true whelks,FALSE
Aleutian Islands,Notostomum cyclostomum,annelid,FALSE
Aleutian Islands,Nudibranchia spp.,nudibranchs,FALSE
Aleutian Islands,Octopodidae spp.,octopuses,FALSE
Aleutian Islands,Oncorhynchus keta,chum salmon,FALSE
Aleutian Islands,Ophiopholis aculeata,daisy brittle star,FALSE
Aleutian Islands,Ophiura sarsii,NA,FALSE
Aleutian Islands,Ophiuroidea spp.,brittle stars,FALSE
Aleutian Islands,Opisthoteuthis californiana,flapjack octopus,FALSE
Aleutian Islands,Oregonia gracilis,graceful decorator crab,FALSE
Aleutian Islands,Pagurus aleuticus,Aleutian hermit,FALSE
Aleutian Islands,Pagurus brandti,sponge hermit,FALSE
Aleutian Islands,Pandalopsis dispar,sidestripe shrimp,FALSE
Aleutian Islands,Pandalus eous,Alaskan pink shrimp,FALSE
Aleutian Islands,Pandalus tridens,yellowleg pandalid,FALSE
Aleutian Islands,Paragorgia arborea,bubblegum coral,FALSE
Aleutian Islands,Paralithodes camtschaticus,red king crab,FALSE
Aleutian Islands,Parophrys vetulus,English sole,FALSE
Aleutian Islands,Placetron wosnessenskii,scaled crab,FALSE
Aleutian Islands,Platichthys stellatus,starry flounder,FALSE
Aleutian Islands,Pleurogrammus monopterygius,Atka mackerel,FALSE
Aleutian Islands,Pododesmus macrochisma,green falsejingle,FALSE
Aleutian Islands,Podothecus accipenserinus,sturgeon poacher,FALSE
Aleutian Islands,Polychaeta spp.,polychaetes,FALSE
Aleutian Islands,Polynoidae spp.,scaleworms,FALSE
Aleutian Islands,Porella compressa,NA,FALSE
Aleutian Islands,Porifera spp.,sponges,FALSE
Aleutian Islands,Poromitra curilensis,NA,FALSE
Aleutian Islands,Protomyctophum thompsoni,bigeye lanternfish,FALSE
Aleutian Islands,Pseudarchaster parelii,northern scarlet star,FALSE
Aleutian Islands,Psolus spp.,sea cucumber,FALSE
Aleutian Islands,Pteraster militaris,wrinkled star,FALSE
Aleutian Islands,Pteraster spp.,slime stars,FALSE
Aleutian Islands,Pteraster tesselatus,cushion star,FALSE
Aleutian Islands,Pycnopodia helianthoides,sunflower sea star,FALSE
Aleutian Islands,Rastrinus scutiger,roughskin sculpin,FALSE
Aleutian Islands,Reinhardtius hippoglossoides,Greenland halibut,FALSE
Aleutian Islands,Rhamphostomella costata,NA,FALSE
Aleutian Islands,Rhinolithodes wosnessenskii,rhinoceros crab,FALSE
Aleutian Islands,Rossia pacifica,eastern pacific bobtail,FALSE
Aleutian Islands,Sarritor frenatus,sawback poacher,FALSE
Aleutian Islands,Sclerocrangon boreas,sculptured shrimp,FALSE
Aleutian Islands,Scyphozoa spp.,jellyfishes,FALSE
Aleutian Islands,Sebastes alutus,Pacific ocean perch,FALSE
Aleutian Islands,Sebastes babcocki,redbanded rockfish,FALSE
Aleutian Islands,Sebastes borealis,shortraker rockfish,FALSE
Aleutian Islands,Sebastes polyspinis,northern rockfish,FALSE
Aleutian Islands,Sebastes spp.,rockfishes,FALSE
Aleutian Islands,Sebastes variegatus,harlequin rockfish,FALSE
Aleutian Islands,Sebastolobus alascanus,shortspine thornyhead,FALSE
Aleutian Islands,Sipuncula spp.,peanut worms,FALSE
Aleutian Islands,Solaster hypothrissus,NA,FALSE
Aleutian Islands,Solaster sp.,NA,FALSE
Aleutian Islands,Solaster spp.,sea stars,FALSE
Aleutian Islands,Somniosus pacificus,Pacific sleeper shark,FALSE
Aleutian Islands,Stegophiura ponderosa,sea star,FALSE
Aleutian Islands,Stenobrachius leucopsarus,northern lampfish,FALSE
Aleutian Islands,Stenobrachius sp.,NA,FALSE
Aleutian Islands,Strongylocentrotus droebachiensis,green sea urchin,FALSE
Aleutian Islands,Styela rustica,sea potato,FALSE
Aleutian Islands,Stylaster sp.,NA,FALSE
Aleutian Islands,Thaleichthys pacificus,eulachon,FALSE
Aleutian Islands,Thaliacea spp.,pelagic tunicates,FALSE
Aleutian Islands,Thyriscus anoplus,sponge sculpin,FALSE
Aleutian Islands,Triglops forficatus,scissortail sculpin,FALSE
Aleutian Islands,Triglops macellus,roughspine sculpin,FALSE
Aleutian Islands,Triglops pingelii,ribbed sculpin,FALSE
Aleutian Islands,Triglops scepticus,spectacled sculpin,FALSE
Aleutian Islands,Tunicata spp.,tunicates,FALSE
Aleutian Islands,Volutopsius spp.,true whelks,FALSE
Aleutian Islands,Zaprora silenus,prowfish,FALSE
Canadian Pacific,Actiniaria spp.,anemones,FALSE
Canadian Pacific,Allocentrotus fragilis,fragile urchin,FALSE
Canadian Pacific,Ammodytes personatus,Pacific sandlance,FALSE
Canadian Pacific,Anarrhichthys ocellatus,wolf-eel,FALSE
Canadian Pacific,Anoplopoma fimbria,sablefish,FALSE
Canadian Pacific,Apostichopus californicus,California sea cucumber,FALSE
Canadian Pacific,Apostichopus leukothele,NA,FALSE
Canadian Pacific,Apristurus brunneus,brown cat shark,FALSE
Canadian Pacific,Asterozoa spp.,sea stars,FALSE
Canadian Pacific,Atheresthes stomias,arrowtooth flounder,FALSE
Canadian Pacific,Bathyagonus pentacanthus,bigeye poacher,FALSE
Canadian Pacific,Bathyraja aleutica,Aleutian skate,FALSE
Canadian Pacific,Bathyraja interrupta,sandpaper skate,FALSE
Canadian Pacific,Beringraja binoculata,NA,FALSE
Canadian Pacific,Berryteuthis magister,magister armhook squid,FALSE
Canadian Pacific,Bryozoichthys marjorius,pearly prickleback,FALSE
Canadian Pacific,Careproctus melanurus,blacktail snailfish,FALSE
Canadian Pacific,Cheiraster dawsoni,sea star,FALSE
Canadian Pacific,Chlamys rubida,reddish scallop,FALSE
Canadian Pacific,Citharichthys sordidus,Pacific sanddab,FALSE
Canadian Pacific,Clupea pallasii,Pacific herring,FALSE
Canadian Pacific,Crossaster papposus,common sunstar,FALSE
Canadian Pacific,Ctenodiscus crispatus,mud star,FALSE
Canadian Pacific,Cyanea capillata,lion's mane,FALSE
Canadian Pacific,Cymatogaster aggregata,shiner perch,FALSE
Canadian Pacific,Demospongiae,NA,FALSE
Canadian Pacific,Doryteuthis opalescens,opalescent inshore squid,FALSE
Canadian Pacific,Enteroctopus dofleini,North Pacific giant octopus,FALSE
Canadian Pacific,Eopsetta jordani,petrale sole,FALSE
Canadian Pacific,Fusitriton oregonensis,Oregon triton,FALSE
Canadian Pacific,Gadus chalcogrammus,walleye pollock,FALSE
Canadian Pacific,Gadus macrocephalus,Pacific cod,FALSE
Canadian Pacific,Glyptocephalus zachirus,rex sole,FALSE
Canadian Pacific,Gorgonocephalus eucnemis,basket star,FALSE
Canadian Pacific,Hemitripterus bolini,bigmouth sculpin,FALSE
Canadian Pacific,Hexactinellida spp.,sea sponge,FALSE
Canadian Pacific,Hexagrammos decagrammus,kelp greenling,FALSE
Canadian Pacific,Hippasteria spinosa,spiny star,FALSE
Canadian Pacific,Hippoglossoides elassodon,flathead sole,FALSE
Canadian Pacific,Hippoglossus stenolepis,Pacific halibut,FALSE
Canadian Pacific,Holothuroidea spp.,sea cucumbers,FALSE
Canadian Pacific,Hydrolagus colliei,spotted ratfish,FALSE
Canadian Pacific,Icelinus filamentosus,threadfin sculpin,FALSE
Canadian Pacific,Isopsetta isolepis,butter sole,FALSE
Canadian Pacific,Lopholithodes foraminatus,brown box crab,FALSE
Canadian Pacific,Luidia foliolata,sand star,FALSE
Canadian Pacific,Lumpenus sagitta,snake prickleback,FALSE
Canadian Pacific,Lycodes cortezianus,bigfin eelpout,FALSE
Canadian Pacific,Lycodes diapterus,black eelpout,FALSE
Canadian Pacific,Lycodes pacificus,blackbelly eelpout,FALSE
Canadian Pacific,Lyopsetta exilis,slender sole,FALSE
Canadian Pacific,Mediaster aequalis,Vermilion star,FALSE
Canadian Pacific,Merluccius productus,Pacific hake,FALSE
Canadian Pacific,Metacarcinus magister,Dungeness crab,FALSE
Canadian Pacific,Metridium,NA,FALSE
Canadian Pacific,Microgadus proximus,Pacific tomcod,FALSE
Canadian Pacific,Microstomus pacificus,Dover sole,FALSE
Canadian Pacific,Oncorhynchus keta,chum salmon,FALSE
Canadian Pacific,Oncorhynchus tshawytscha,Chinook salmon,FALSE
Canadian Pacific,Ophiodon elongatus,lingcod,FALSE
Canadian Pacific,Pandalopsis dispar,sidestripe shrimp,FALSE
Canadian Pacific,Pandalus jordani,ocean shrimp,FALSE
Canadian Pacific,Pandalus platyceros,spot shrimp,FALSE
Canadian Pacific,Parophrys vetulus,English sole,FALSE
Canadian Pacific,Pasiphaea pacifica,Pacific glass shrimp,FALSE
Canadian Pacific,Platichthys stellatus,starry flounder,FALSE
Canadian Pacific,Pleuronichthys decurrens,curlfin sole,FALSE
Canadian Pacific,Porifera spp.,sponges,FALSE
Canadian Pacific,Psettichthys melanostictus,Pacific sand sole,FALSE
Canadian Pacific,Pseudostichopus mollis,sea cucumber,FALSE
Canadian Pacific,Pteraster tesselatus,cushion star,FALSE
Canadian Pacific,Pycnopodia helianthoides,sunflower sea star,FALSE
Canadian Pacific,Raja rhina,longnose skate,FALSE
Canadian Pacific,Ronquilus jordani,northern ronquil,FALSE
Canadian Pacific,Rossia pacifica,eastern pacific bobtail,FALSE
Canadian Pacific,Scyphozoa spp.,jellyfishes,FALSE
Canadian Pacific,Sebastes alutus,Pacific ocean perch,FALSE
Canadian Pacific,Sebastes aurora,aurora rockfish,FALSE
Canadian Pacific,Sebastes babcocki,redbanded rockfish,FALSE
Canadian Pacific,Sebastes borealis,shortraker rockfish,FALSE
Canadian Pacific,Sebastes brevispinis,silvergray rockfish,FALSE
Canadian Pacific,Sebastes caurinus,copper rockfish,FALSE
Canadian Pacific,Sebastes crameri,darkblotched rockfish,FALSE
Canadian Pacific,Sebastes diploproa,splitnose rockfish,FALSE
Canadian Pacific,Sebastes elongatus,greenstriped rockfish,FALSE
Canadian Pacific,Sebastes emphaeus,Puget Sound rockfish,FALSE
Canadian Pacific,Sebastes entomelas,widow rockfish,FALSE
Canadian Pacific,Sebastes flavidus,yellowtail rockfish,FALSE
Canadian Pacific,Sebastes helvomaculatus,rosethorn rockfish,FALSE
Canadian Pacific,Sebastes jordani,shortbelly rockfish,FALSE
Canadian Pacific,Sebastes maliger,quillback rockfish,FALSE
Canadian Pacific,Sebastes paucispinis,bocaccio,FALSE
Canadian Pacific,Sebastes pinniger,canary rockfish,FALSE
Canadian Pacific,Sebastes proriger,redstripe rockfish,FALSE
Canadian Pacific,Sebastes reedi,yellowmouth rockfish,FALSE
Canadian Pacific,Sebastes ruberrimus,rasphead rockfish,FALSE
Canadian Pacific,Sebastes saxicola,stripetail rockfish,FALSE
Canadian Pacific,Sebastes variabilis,dusky rockfish,FALSE
Canadian Pacific,Sebastes variegatus,harlequin rockfish,FALSE
Canadian Pacific,Sebastes wilsoni,pygmy rockfish,FALSE
Canadian Pacific,Sebastes zacentrus,sharpchin rockfish,FALSE
Canadian Pacific,Sebastolobus alascanus,shortspine thornyhead,FALSE
Canadian Pacific,Sebastolobus altivelis,longspine thornyhead,FALSE
Canadian Pacific,Squalus suckleyi,Pacific spiny dogfish,FALSE
Canadian Pacific,Stenobrachius leucopsarus,northern lampfish,FALSE
Canadian Pacific,Strongylocentrotus pallidus,NA,TRUE
Canadian Pacific,Stylasterias forreri,velcro star,FALSE
Canadian Pacific,Thaleichthys pacificus,eulachon,FALSE
Canadian Pacific,Tunicata spp.,tunicates,FALSE
Canadian Pacific,Zaprora silenus,prowfish,FALSE
Canadian Pacific,NA,NA,FALSE
Eastern Bering Sea,Actiniaria spp.,anemones,FALSE
Eastern Bering Sea,Aforia circinata,keeled aforia,FALSE
Eastern Bering Sea,Ammodytes sp.,NA,FALSE
Eastern Bering Sea,Anarhichas orientalis,Bering wolffish,FALSE
Eastern Bering Sea,Aphroditidae spp.,sea mice,FALSE
Eastern Bering Sea,Aplidium spp.,ascidians,FALSE
Eastern Bering Sea,Arctomelon stearnsii,Alaska volute,FALSE
Eastern Bering Sea,Argis dentata,Artic argid,FALSE
Eastern Bering Sea,Argis lar,kuro shrimp,FALSE
Eastern Bering Sea,Argis spp.,argid shrimps,FALSE
Eastern Bering Sea,Aspidophoroides monopterygius,Alligatorfish,FALSE
Eastern Bering Sea,Asterias amurensis,North Pacific seastar,FALSE
Eastern Bering Sea,Atheresthes spp.,arrowtooth and Kamchatka flounders,FALSE
Eastern Bering Sea,Bathymaster signatus,searcher,FALSE
Eastern Bering Sea,Bathyraja spp.,roughtail skate,FALSE
Eastern Bering Sea,Beringius behringi,true whelk,FALSE
Eastern Bering Sea,Beringius spp.,true whelks,FALSE
Eastern Bering Sea,Bivalvia spp.,bivalves,FALSE
Eastern Bering Sea,Boltenia ovifera,stalked sea squirt,FALSE
Eastern Bering Sea,Boltenia spp.,sea squirt,FALSE
Eastern Bering Sea,Boreogadus saida,Arctic cod,FALSE
Eastern Bering Sea,Bryozoa spp.,bryozoan shrimp,FALSE
Eastern Bering Sea,Buccinum angulosum,angular whelk,FALSE
Eastern Bering Sea,Buccinum plectrum,sinuous whelk,FALSE
Eastern Bering Sea,Buccinum polare,polar whelk,FALSE
Eastern Bering Sea,Buccinum scalariforme,ladder whelk,FALSE
Eastern Bering Sea,Buccinum spp.,true whelks,FALSE
Eastern Bering Sea,Ceramaster japonicus,red cookie star,FALSE
Eastern Bering Sea,Chionoecetes bairdi,tanner crab,FALSE
Eastern Bering Sea,Chionoecetes opilio,snow crab,FALSE
Eastern Bering Sea,Chionoecetes spp.,snow crabs,FALSE
Eastern Bering Sea,Chirona evermanni,NA,FALSE
Eastern Bering Sea,Chlamys spp.,scallops,FALSE
Eastern Bering Sea,Ciliatoclinocardium ciliatum,NA,FALSE
Eastern Bering Sea,Clinocardium spp.,Nuttall cockle,FALSE
Eastern Bering Sea,Clinopegma magnum,helmet whelk,FALSE
Eastern Bering Sea,Clupea pallasii,Pacific herring,FALSE
Eastern Bering Sea,Colus halli,snail,FALSE
Eastern Bering Sea,Colus herendeenii,thin-ribbed whelk,FALSE
Eastern Bering Sea,Colus spp.,true whelks,FALSE
Eastern Bering Sea,Crangon spp.,shrimps,FALSE
Eastern Bering Sea,Crossaster papposus,common sunstar,FALSE
Eastern Bering Sea,Cryptonatica russa,NA,FALSE
Eastern Bering Sea,Ctenodiscus crispatus,mud star,FALSE
Eastern Bering Sea,Cucumaria fallax,sea cucumber,FALSE
Eastern Bering Sea,Dasycottus setiger,spinyhead sculpin,FALSE
Eastern Bering Sea,Diplopteraster multipes,cushion star,FALSE
Eastern Bering Sea,Echinarachnius parma,common sand dollar,FALSE
Eastern Bering Sea,Eleginus gracilis,saffron cod,FALSE
Eastern Bering Sea,Erimacrus isenbeckii,hair crab,FALSE
Eastern Bering Sea,Eunoe depressa,polychaete worm,FALSE
Eastern Bering Sea,Eunoe nodosa,polychaete worm,FALSE
Eastern Bering Sea,Evasterias echinosoma,sea star,FALSE
Eastern Bering Sea,Flustra serrulata,bryozoan,FALSE
Eastern Bering Sea,Fusitriton oregonensis,Oregon triton,FALSE
Eastern Bering Sea,Gadus chalcogrammus,walleye pollock,FALSE
Eastern Bering Sea,Gadus macrocephalus,Pacific cod,FALSE
Eastern Bering Sea,Gastropoda spp.,gastropods,FALSE
Eastern Bering Sea,Gersemia spp.,sea strawberry,FALSE
Eastern Bering Sea,Glebocarcinus oregonensis,pygmy rock crab,FALSE
Eastern Bering Sea,Glyptocephalus zachirus,rex sole,FALSE
Eastern Bering Sea,Gorgonocephalus eucnemis,basket star,FALSE
Eastern Bering Sea,Grandicrepidula grandis,NA,FALSE
Eastern Bering Sea,Gymnocanthus galeatus,armorhead sculpin,FALSE
Eastern Bering Sea,Gymnocanthus pistilliger,threaded sculpin,FALSE
Eastern Bering Sea,Halocynthia aurantium,sea peach,FALSE
Eastern Bering Sea,Halocynthia spp.,tunicates,FALSE
Eastern Bering Sea,Hemilepidotus jordani,yellow Irish lord,FALSE
Eastern Bering Sea,Hemilepidotus papilio,butterfly sculpin,FALSE
Eastern Bering Sea,Hemitripterus bolini,bigmouth sculpin,FALSE
Eastern Bering Sea,Henricia spp.,sea star,FALSE
Eastern Bering Sea,Hexagrammos stelleri,whitespotted greenling,FALSE
Eastern Bering Sea,Hippoglossoides spp.,flounders,FALSE
Eastern Bering Sea,Hippoglossus stenolepis,Pacific halibut,FALSE
Eastern Bering Sea,Holothuroidea spp.,sea cucumbers,FALSE
Eastern Bering Sea,Hyas coarctatus,Arctic lyre crab,FALSE
Eastern Bering Sea,Hyas lyratus,Pacific lyre crab,FALSE
Eastern Bering Sea,Hydroidolina,NA,FALSE
Eastern Bering Sea,Icelus spiniger,thorny sculpin,FALSE
Eastern Bering Sea,Isopsetta isolepis,butter sole,FALSE
Eastern Bering Sea,Lepidopsetta spp.,rock soles,FALSE
Eastern Bering Sea,Leptasterias arctica,sea star,FALSE
Eastern Bering Sea,Leptasterias polaris,polar six-rayed star,FALSE
Eastern Bering Sea,Leptasterias spp.,six-rayed sea stars,FALSE
Eastern Bering Sea,Leptoclinus maculatus,Daubed shanny,FALSE
Eastern Bering Sea,Lethasterias nanimensis,black spined star,FALSE
Eastern Bering Sea,Limanda aspera,yellowfin sole,FALSE
Eastern Bering Sea,Limanda proboscidea,longhead dab,FALSE
Eastern Bering Sea,Limanda sakhalinensis,Sakhalin sole,FALSE
Eastern Bering Sea,Liparis spp.,snailfishes,FALSE
Eastern Bering Sea,Lunatia pallida,NA,FALSE
Eastern Bering Sea,Lycodes brevipes,shortfin eelpout,FALSE
Eastern Bering Sea,Lycodes palearis,wattled eelpout,FALSE
Eastern Bering Sea,Lycodes raridens,sparse-toothed lycod,FALSE
Eastern Bering Sea,Macoma spp.,tellins,FALSE
Eastern Bering Sea,Mactromeris polynyma,Arctic surfclam,FALSE
Eastern Bering Sea,Malacocottus zonurus,darkfin sculpin,FALSE
Eastern Bering Sea,Mallotus villosus,capelin,FALSE
Eastern Bering Sea,Metridium spp.,plumose anemones,FALSE
Eastern Bering Sea,Microstomus pacificus,Dover sole,FALSE
Eastern Bering Sea,Modiolus modiolus,northern horsemussel,FALSE
Eastern Bering Sea,Musculus discors,discordant mussel,FALSE
Eastern Bering Sea,Myoxocephalus spp.,daddy sculpins,FALSE
Eastern Bering Sea,Neptunea borealis,true whelk,FALSE
Eastern Bering Sea,Neptunea heros,true whelk,FALSE
Eastern Bering Sea,Neptunea lyrata,lyre whelk,FALSE
Eastern Bering Sea,Neptunea pribiloffensis,Pribilof whelk,FALSE
Eastern Bering Sea,Neptunea spp.,true whelks,FALSE
Eastern Bering Sea,Neptunea ventricosa,fat whelk,FALSE
Eastern Bering Sea,Nudibranchia spp.,nudibranchs,FALSE
Eastern Bering Sea,Occella dodecaedron,Bering poacher,FALSE
Eastern Bering Sea,Octopodidae spp.,octopuses,FALSE
Eastern Bering Sea,Oncorhynchus keta,chum salmon,FALSE
Eastern Bering Sea,Ophiura sarsii,NA,FALSE
Eastern Bering Sea,Ophiuroidea spp.,brittle stars,FALSE
Eastern Bering Sea,Oregonia gracilis,graceful decorator crab,FALSE
Eastern Bering Sea,Osmerus mordax,rainbow smelt,FALSE
Eastern Bering Sea,Paguridae spp.,right-handed hermit crabs,FALSE
Eastern Bering Sea,Pagurus aleuticus,Aleutian hermit,FALSE
Eastern Bering Sea,Pagurus ochotensis,Alaskan hermit crab,FALSE
Eastern Bering Sea,Pandalus eous,Alaskan pink shrimp,FALSE
Eastern Bering Sea,Pandalus goniurus,humpy shrimp,FALSE
Eastern Bering Sea,Paralithodes camtschaticus,red king crab,FALSE
Eastern Bering Sea,Paralithodes platypus,blue king crab,FALSE
Eastern Bering Sea,Patinopecten caurinus,weathervane scallop,FALSE
Eastern Bering Sea,Pennatulacea spp.,sea panzies,FALSE
Eastern Bering Sea,Platichthys stellatus,starry flounder,FALSE
Eastern Bering Sea,Pleurogrammus monopterygius,Atka mackerel,FALSE
Eastern Bering Sea,Pleuronectes quadrituberculatus,Alaska plaice,FALSE
Eastern Bering Sea,Plicifusus kroeyeri,true whelk,FALSE
Eastern Bering Sea,Plicifusus sp.,NA,FALSE
Eastern Bering Sea,Pododesmus macrochisma,green falsejingle,FALSE
Eastern Bering Sea,Podothecus accipenserinus,sturgeon poacher,FALSE
Eastern Bering Sea,Polychaeta spp.,polychaetes,FALSE
Eastern Bering Sea,Porifera spp.,sponges,FALSE
Eastern Bering Sea,Poroclinus rothrocki,whitebarred prickleback,FALSE
Eastern Bering Sea,Pseudarchaster parelii,northern scarlet star,FALSE
Eastern Bering Sea,Psolus spp.,sea cucumber,FALSE
Eastern Bering Sea,Pteraster obscurus,obscure cushion star,FALSE
Eastern Bering Sea,Pteraster spp.,slime stars,FALSE
Eastern Bering Sea,Pteraster tesselatus,cushion star,FALSE
Eastern Bering Sea,Pyrulofusus deformis,warped whelk,FALSE
Eastern Bering Sea,Pyrulofusus melonis,melon shaped whelk,FALSE
Eastern Bering Sea,Reinhardtius hippoglossoides,Greenland halibut,FALSE
Eastern Bering Sea,Rossia pacifica,eastern pacific bobtail,FALSE
Eastern Bering Sea,Sarritor frenatus,sawback poacher,FALSE
Eastern Bering Sea,Scyphozoa spp.,jellyfishes,FALSE
Eastern Bering Sea,Sebastes alutus,Pacific ocean perch,FALSE
Eastern Bering Sea,Sebastes polyspinis,northern rockfish,FALSE
