region,spp,common,flagged
Aleutian Islands,Acantholithodes hispidus,spiny lithode crab,FALSE
Aleutian Islands,Actiniaria spp.,anemones,FALSE
Aleutian Islands,Ammodytes sp.,NA,FALSE
Aleutian Islands,Anoplopoma fimbria,sablefish,FALSE
Aleutian Islands,Anthomastus sp.,NA,FALSE
Aleutian Islands,Aphrocallistes vastus,cloud sponge,FALSE
Aleutian Islands,Aptocyclus ventricosus,smooth lumpsucker,FALSE
Aleutian Islands,Arctomelon stearnsii,Alaska volute,FALSE
Aleutian Islands,Asterozoa spp.,sea stars,FALSE
Aleutian Islands,Atheresthes spp.,arrowtooth and Kamchatka flounders,FALSE
Aleutian Islands,Balanus spp.,barnacle,FALSE
Aleutian Islands,Bathyagonus nigripinnis,blackfin poacher,FALSE
Aleutian Islands,Bathymaster caeruleofasciatus,Alaskan ronquil,FALSE
Aleutian Islands,Bathymaster signatus,searcher,FALSE
Aleutian Islands,Bathyplotes spp.,sea cucumber,FALSE
Aleutian Islands,Bathyraja spp.,roughtail skate,FALSE
Aleutian Islands,Beringius spp.,true whelks,FALSE
Aleutian Islands,Beringraja binoculata,NA,FALSE
Aleutian Islands,Berryteuthis magister,magister armhook squid,FALSE
Aleutian Islands,Bolinia euryptera,sculpin,FALSE
Aleutian Islands,Bryozoa spp.,bryozoan shrimp,FALSE
Aleutian Islands,Bryozoichthys marjorius,pearly prickleback,FALSE
Aleutian Islands,Buccinum spp.,true whelks,FALSE
Aleutian Islands,Careproctus melanurus,blacktail snailfish,FALSE
Aleutian Islands,Careproctus rastrinus,salmon snailfish,FALSE
Aleutian Islands,Careproctus spp.,snailfishes,FALSE
Aleutian Islands,Ceramaster japonicus,red cookie star,FALSE
Aleutian Islands,Ceramaster patagonicus,cookie star,FALSE
Aleutian Islands,Ceramaster spp.,cookie star,FALSE
Aleutian Islands,Chauliodus macouni,Pacific viperfish,FALSE
Aleutian Islands,Cheiraster dawsoni,sea star,FALSE
Aleutian Islands,Chionoecetes bairdi,tanner crab,FALSE
Aleutian Islands,Chirona evermanni,NA,FALSE
Aleutian Islands,Chlamys spp.,scallops,FALSE
Aleutian Islands,Chorilia longipes,longhorn decorator crab,FALSE
Aleutian Islands,Cladaster validus,NA,FALSE
Aleutian Islands,Coryphaenoides pectoralis,NA,FALSE
Aleutian Islands,Crossaster papposus,common sunstar,FALSE
Aleutian Islands,Crystallichthys cyclospilus,blotched snailfish,FALSE
Aleutian Islands,Ctenodiscus crispatus,mud star,FALSE
Aleutian Islands,Cucumaria fallax,sea cucumber,FALSE
Aleutian Islands,Dasycottus setiger,spinyhead sculpin,FALSE
